 , , ,log2019-04-26_17-24-25,ep ,254,step ,63,r ,4.220
 , , ,,,s,a,s_,--,"Q[s, a0]","Q[s, a1]","Q[s, a2]","Q[s, a3]","Q[s, a4]","Q[s, a5]","Q[s, a6]","Q[s, a7]","Q[s, a8]",--,"ST[s, a0]","ST[s, a1]","ST[s, a2]","ST[s, a3]","ST[s, a4]","ST[s, a5]","ST[s, a6]","ST[s, a7]","ST[s, a8]",--,policy,reward
Episode,254,step,1,state,"(1, 0)",7,"(1, 0)",--,0.221,0.210,0.228,0.218,0.227,0.155,0.209,0.235,0.074,--,370,482,455,586,601,645,586,564,598,--,Greedy,0
Episode,254,step,4,state,"(1, 0)",7,"(2, 0)",--,0.221,0.210,0.228,0.218,0.227,0.155,0.209,0.236,0.074,--,370,482,455,586,601,645,586,567,598,--,Greedy,0.1
Episode,254,step,5,state,"(2, 0)",0,"(1, 0)",--,0.182,0.153,0.139,0.118,0.228,0.054,0.073,0.101,0.122,--,595,523,635,712,591,495,364,322,352,--,Epsilon = 0.32,0.1
Episode,254,step,7,state,"(1, 0)",7,"(2, 0)",--,0.221,0.210,0.228,0.218,0.227,0.155,0.209,0.235,0.074,--,370,482,455,586,601,645,586,569,598,--,Greedy,0.1
Episode,254,step,10,state,"(2, 0)",4,"(1, 0)",--,0.205,0.153,0.139,0.118,0.231,0.054,0.073,0.101,0.122,--,596,523,635,712,593,495,364,322,352,--,Greedy,0.1
Episode,254,step,12,state,"(1, 0)",3,"(0, 0)",--,0.221,0.210,0.228,0.226,0.227,0.155,0.209,0.234,0.074,--,370,482,455,587,601,645,586,570,598,--,Epsilon = 0.32,0.1
Episode,254,step,13,state,"(0, 0)",8,"(1, 0)",--,0.182,0.094,0.119,0.150,0.141,0.152,0.182,-0.230,0.221,--,270,264,279,351,458,480,434,639,497,--,Greedy,0.1
Episode,254,step,14,state,"(1, 0)",7,"(2, 0)",--,0.221,0.210,0.228,0.227,0.227,0.155,0.209,0.234,0.074,--,370,482,455,588,601,645,586,570,598,--,Greedy,0.1
Episode,254,step,16,state,"(2, 0)",4,"(1, 0)",--,0.205,0.153,0.179,0.118,0.233,0.054,0.073,0.101,0.122,--,596,523,636,712,594,495,364,322,352,--,Greedy,0.1
Episode,254,step,17,state,"(1, 0)",7,"(2, 0)",--,0.221,0.210,0.228,0.227,0.227,0.155,0.209,0.234,0.074,--,370,482,455,588,601,645,586,571,598,--,Greedy,0.1
Episode,254,step,22,state,"(2, 0)",4,"(1, 0)",--,0.205,0.153,0.179,0.118,0.236,0.054,0.142,0.101,0.122,--,596,523,636,712,598,495,365,322,352,--,Greedy,0.1
Episode,254,step,23,state,"(1, 0)",1,"(0, 0)",--,0.221,0.210,0.228,0.227,0.227,0.155,0.209,0.235,0.074,--,370,482,455,588,601,645,586,572,598,--,Epsilon = 0.32,0.1
Episode,254,step,25,state,"(0, 0)",8,"(2, 0)",--,0.182,0.094,0.119,0.150,0.141,0.152,0.182,-0.230,0.229,--,270,264,279,351,458,480,434,639,499,--,Greedy,0.1
Episode,254,step,27,state,"(2, 0)",4,"(1, 0)",--,0.205,0.153,0.179,0.168,0.236,0.054,0.142,0.101,0.122,--,596,523,636,713,599,495,365,322,352,--,Greedy,0.1
Episode,254,step,28,state,"(1, 0)",7,"(2, 0)",--,0.221,0.219,0.228,0.227,0.227,0.155,0.209,0.235,0.074,--,370,483,455,588,601,645,586,572,598,--,Greedy,0.1
Episode,254,step,30,state,"(2, 0)",4,"(1, 0)",--,0.205,0.153,0.179,0.197,0.236,0.054,0.142,0.101,0.122,--,596,523,636,714,600,495,365,322,352,--,Greedy,0.1
Episode,254,step,32,state,"(1, 0)",7,"(2, 0)",--,0.221,0.219,0.228,0.227,0.231,0.155,0.209,0.236,0.074,--,370,483,455,588,602,645,586,573,598,--,Greedy,0.1
Episode,254,step,33,state,"(2, 0)",4,"(2, 1)",--,0.205,0.153,0.179,0.197,0.236,0.054,0.142,0.101,0.122,--,596,523,636,714,601,495,365,322,352,--,Greedy,-0.12
Episode,254,step,35,state,"(2, 1)",2,"(0, 1)",--,-0.058,-0.336,0.116,-0.224,-0.102,-0.169,-0.101,-0.017,-0.245,--,97,102,102,118,88,47,58,55,76,--,Greedy,0.1
Episode,254,step,37,state,"(0, 1)",3,"(0, 0)",--,0.283,0.284,0.284,0.439,0.268,0.278,0.277,0.282,0.226,--,72,128,91,146,75,50,72,47,54,--,Greedy,0.4
Episode,254,step,38,state,"(0, 0)",8,"(1, 0)",--,0.182,0.094,0.119,0.150,0.141,0.152,0.182,-0.230,0.232,--,270,264,279,351,458,480,434,639,500,--,Epsilon = 0.32,0.1
Episode,254,step,39,state,"(1, 0)",7,"(2, 0)",--,0.221,0.219,0.228,0.227,0.231,0.155,0.209,0.236,0.074,--,370,483,455,588,602,645,586,574,598,--,Greedy,0.1
Episode,254,step,40,state,"(2, 0)",2,"(2, 1)",--,0.205,0.153,0.179,0.197,0.109,0.054,0.142,0.101,0.122,--,596,523,636,714,602,495,365,322,352,--,Epsilon = 0.32,-0.12
Episode,254,step,41,state,"(2, 1)",2,"(0, 1)",--,-0.058,-0.336,0.227,-0.224,-0.102,-0.169,-0.101,-0.017,-0.245,--,97,102,103,118,88,47,58,55,76,--,Greedy,0.1
Episode,254,step,43,state,"(0, 1)",3,"(0, 0)",--,0.283,0.284,0.284,0.436,0.268,0.278,0.277,0.282,0.226,--,72,128,91,148,75,50,72,47,54,--,Greedy,0.4
Episode,254,step,45,state,"(0, 0)",8,"(2, 0)",--,0.182,0.094,0.119,0.150,0.141,0.152,0.182,-0.230,0.235,--,270,264,279,351,458,480,434,639,502,--,Greedy,0.1
Episode,254,step,46,state,"(2, 0)",0,"(2, 1)",--,0.205,0.153,0.109,0.197,0.109,0.054,0.142,0.101,0.122,--,596,523,637,714,602,495,365,322,352,--,Greedy,-0.12
Episode,254,step,47,state,"(2, 1)",2,"(1, 1)",--,-0.058,-0.336,0.290,-0.224,-0.102,-0.169,-0.101,-0.017,-0.245,--,97,102,104,118,88,47,58,55,76,--,Greedy,0.1
Episode,254,step,48,state,"(1, 1)",2,"(0, 1)",--,0.194,0.249,0.333,-0.121,0.240,0.156,0.180,0.225,0.109,--,50,85,121,58,28,28,37,28,40,--,Epsilon = 0.32,0.1
Episode,254,step,49,state,"(0, 1)",3,"(0, 0)",--,0.283,0.284,0.284,0.478,0.268,0.278,0.277,0.282,0.226,--,72,128,91,149,75,50,72,47,54,--,Greedy,0.4
Episode,254,step,51,state,"(0, 0)",8,"(1, 0)",--,0.182,0.094,0.119,0.150,0.141,0.152,0.182,-0.230,0.230,--,270,264,279,351,458,480,434,639,504,--,Greedy,0.1
