 , , ,log2019-04-25_09-29-15,ep ,60,step ,27,r ,-2.820
 , , ,,,s,a,s_,--,"Q[s, a0]","Q[s, a1]","Q[s, a2]","Q[s, a3]","Q[s, a4]","Q[s, a5]","Q[s, a6]","Q[s, a7]","Q[s, a8]",--,"ST[s, a0]","ST[s, a1]","ST[s, a2]","ST[s, a3]","ST[s, a4]","ST[s, a5]","ST[s, a6]","ST[s, a7]","ST[s, a8]",--,policy,reward
Episode,60,step,1,state,"(1, 0)",6,"(1, 0)",--,0.205,0.195,0.202,0.174,0.234,0.202,0.232,0.218,0.238,--,163,103,117,88,120,183,171,130,146,--,Epsilon = 0.32,0
Episode,60,step,2,state,"(1, 0)",8,"(2, 0)",--,0.205,0.195,0.202,0.174,0.234,0.202,0.232,0.218,0.238,--,163,103,117,88,120,183,172,130,146,--,Greedy,0.1
Episode,60,step,12,state,"(2, 0)",7,"(2, 1)",--,0.060,0.163,0.153,0.126,0.207,0.197,0.167,0.228,0.201,--,130,167,174,150,168,109,93,77,80,--,Greedy,-0.12
Episode,60,step,16,state,"(2, 1)",6,"(2, 2)",--,-0.003,-0.015,-0.057,0.011,-0.251,-0.009,0.232,-0.324,-0.163,--,11,23,6,62,6,28,23,1,10,--,Epsilon = 0.32,-0.8
Episode,60,step,17,state,"(2, 2)",4,"(2, 18)",--,-0.387,-0.197,-0.115,-0.212,-0.170,-0.235,-0.135,-0.214,-0.136,--,3,3,11,3,7,4,15,4,9,--,Epsilon = 0.32,-0.2
Episode,60,step,18,state,"(2, 18)",1,"(2, 22)",--,-0.006,0.496,-0.008,-0.005,-0.009,-0.006,-0.087,-0.049,-0.024,--,0,3,0,0,0,0,1,1,2,--,Greedy,-0.2
Episode,60,step,19,state,"(2, 22)",7,"(1, 22)",--,-0.292,-0.007,-0.008,-0.172,-0.088,-0.007,-0.009,-0.087,-0.081,--,4,0,0,1,1,0,0,1,4,--,Epsilon = 0.32,-0.2
Episode,60,step,20,state,"(1, 22)",5,"(2, 22)",--,-0.009,-0.085,-0.085,-0.005,-0.009,0.398,-0.169,-0.007,-0.009,--,0,1,1,0,1,1,1,0,0,--,Greedy,-0.2
Episode,60,step,21,state,"(2, 22)",1,"(1, 22)",--,-0.292,-0.007,-0.008,-0.172,-0.088,-0.007,-0.009,-0.037,-0.081,--,4,0,0,1,1,0,0,2,4,--,Greedy,-0.2
Episode,60,step,22,state,"(1, 22)",5,"(0, 36)",--,-0.009,-0.085,-0.085,-0.005,-0.009,0.145,-0.169,-0.007,-0.009,--,0,1,1,0,1,2,1,0,0,--,Greedy,-0.2
Episode,60,step,25,state,"(0, 36)",1,"(0, 40)",--,-0.086,-0.003,-0.003,-0.009,-0.007,-0.009,-0.003,-0.090,-0.004,--,1,0,0,0,0,0,0,1,0,--,Epsilon = 0.32,-0.4
Episode,60,step,27,state,"(0, 40)",3,"(2, 40)",--,-0.212,-0.243,-0.202,-0.195,-0.244,-0.224,-0.367,-0.211,-0.201,--,3,5,3,2,3,4,2,3,3,--,Greedy,-1
end
