 , , ,log2019-04-26_17-19-33,ep ,222,step ,143,r ,14.560
 , , ,,,s,a,s_,--,"Q[s, a0]","Q[s, a1]","Q[s, a2]","Q[s, a3]","Q[s, a4]","Q[s, a5]","Q[s, a6]","Q[s, a7]","Q[s, a8]",--,"ST[s, a0]","ST[s, a1]","ST[s, a2]","ST[s, a3]","ST[s, a4]","ST[s, a5]","ST[s, a6]","ST[s, a7]","ST[s, a8]",--,policy,reward
Episode,222,step,1,state,"(1, 0)",1,"(1, 0)",--,0.235,0.234,-0.040,0.231,-0.224,0.177,0.222,0.221,0.213,--,293,423,364,540,557,549,498,511,545,--,Epsilon = 0.32,0
Episode,222,step,3,state,"(1, 0)",0,"(0, 0)",--,0.236,0.234,-0.040,0.231,-0.224,0.177,0.222,0.221,0.213,--,294,424,364,540,557,549,498,511,545,--,Greedy,0.1
Episode,222,step,6,state,"(0, 0)",4,"(1, 0)",--,0.213,0.171,0.172,0.211,0.164,0.237,0.159,0.215,0.212,--,228,226,250,316,406,431,402,488,445,--,Epsilon = 0.32,0.1
Episode,222,step,7,state,"(1, 0)",0,"(0, 0)",--,0.236,0.234,-0.040,0.231,-0.224,0.177,0.222,0.221,0.213,--,295,424,364,540,557,549,498,511,545,--,Greedy,0.1
Episode,222,step,8,state,"(0, 0)",5,"(0, 4)",--,0.213,0.171,0.172,0.211,0.195,0.237,0.159,0.215,0.212,--,228,226,250,316,407,431,402,488,445,--,Greedy,-0.12
Episode,222,step,9,state,"(0, 4)",3,"(1, 4)",--,0.062,0.061,0.056,0.064,0.064,0.068,0.049,0.082,0.188,--,15,28,32,30,27,31,31,12,46,--,Epsilon = 0.32,0.1
Episode,222,step,10,state,"(1, 4)",5,"(1, 20)",--,0.172,0.174,0.071,0.152,0.180,0.383,0.182,0.289,0.251,--,8,4,14,3,6,20,90,9,4,--,Epsilon = 0.32,-0.12
Episode,222,step,11,state,"(1, 20)",8,"(2, 20)",--,0.162,0.205,-0.186,0.122,0.275,0.227,0.278,0.218,0.394,--,32,30,37,45,39,93,73,145,194,--,Epsilon = 0.32,0.1
Episode,222,step,12,state,"(2, 20)",4,"(2, 4)",--,0.313,0.351,0.324,0.315,0.356,0.318,0.472,0.340,0.344,--,142,50,164,134,124,146,156,221,250,--,Epsilon = 0.32,0.4
Episode,222,step,13,state,"(2, 4)",4,"(1, 4)",--,0.471,0.335,0.435,0.347,0.416,0.437,0.425,0.447,0.532,--,21,37,15,31,20,40,41,76,26,--,Epsilon = 0.32,0.1
Episode,222,step,14,state,"(1, 4)",7,"(2, 0)",--,0.172,0.174,0.071,0.152,0.180,0.268,0.182,0.289,0.251,--,8,4,14,3,6,21,90,9,4,--,Epsilon = 0.32,0.4
Episode,222,step,18,state,"(2, 0)",3,"(1, 0)",--,0.203,0.184,0.100,0.183,0.238,0.141,0.214,0.231,0.162,--,555,460,541,630,477,463,324,269,296,--,Epsilon = 0.32,0.1
Episode,222,step,19,state,"(1, 0)",0,"(0, 0)",--,0.237,0.234,-0.040,0.231,-0.224,0.177,0.222,0.221,0.213,--,296,424,364,540,557,549,498,511,545,--,Greedy,0.1
Episode,222,step,22,state,"(0, 0)",7,"(1, 0)",--,0.219,0.171,0.172,0.211,0.195,0.133,0.159,0.219,0.212,--,229,226,250,316,407,432,402,489,445,--,Greedy,0.1
Episode,222,step,24,state,"(1, 0)",1,"(0, 0)",--,0.232,0.234,-0.040,0.231,-0.224,0.177,0.222,0.221,0.213,--,297,425,364,540,557,549,498,511,545,--,Greedy,0.1
Episode,222,step,26,state,"(0, 0)",5,"(0, 20)",--,0.219,0.171,0.172,0.219,0.195,0.133,0.159,0.226,0.212,--,229,226,250,317,407,432,402,490,445,--,Epsilon = 0.32,-0.12
Episode,222,step,27,state,"(0, 20)",6,"(1, 20)",--,0.238,0.269,0.255,0.255,0.275,0.265,0.297,0.268,0.165,--,49,38,57,60,50,112,110,141,169,--,Greedy,0.1
Episode,222,step,28,state,"(1, 20)",5,"(2, 20)",--,0.162,0.205,-0.186,0.122,0.275,0.227,0.278,0.218,0.385,--,32,30,37,45,39,93,73,145,195,--,Epsilon = 0.32,0.1
Episode,222,step,31,state,"(2, 20)",4,"(2, 4)",--,0.313,0.351,0.324,0.315,0.457,0.318,0.431,0.340,0.344,--,142,50,164,134,126,146,157,221,250,--,Greedy,0.4
Episode,222,step,33,state,"(2, 4)",8,"(2, 0)",--,0.471,0.335,0.435,0.347,0.354,0.437,0.425,0.447,0.480,--,21,37,15,31,21,40,41,76,27,--,Greedy,0.4
Episode,222,step,36,state,"(2, 0)",4,"(1, 0)",--,0.203,0.184,0.100,0.219,0.238,0.141,0.214,0.231,0.162,--,555,460,541,632,478,463,324,269,296,--,Greedy,0.1
Episode,222,step,37,state,"(1, 0)",1,"(0, 0)",--,0.232,0.233,-0.040,0.231,-0.224,0.177,0.222,0.221,0.213,--,297,426,364,540,557,549,498,511,545,--,Greedy,0.1
Episode,222,step,38,state,"(0, 0)",7,"(1, 0)",--,0.219,0.171,0.172,0.219,0.195,0.099,0.159,0.226,0.212,--,229,226,250,317,407,433,402,490,445,--,Greedy,0.1
Episode,222,step,39,state,"(1, 0)",1,"(0, 0)",--,0.232,0.232,-0.040,0.231,-0.224,0.177,0.222,0.221,0.213,--,297,427,364,540,557,549,498,511,545,--,Greedy,0.1
Episode,222,step,41,state,"(0, 0)",7,"(2, 0)",--,0.219,0.171,0.172,0.219,0.195,0.099,0.159,0.231,0.212,--,229,226,250,317,407,433,402,492,445,--,Greedy,0.1
