 , , ,log2019-04-25_10-05-02,ep ,275,step ,75,r ,6.080
 , , ,,,s,a,s_,--,"Q[s, a0]","Q[s, a1]","Q[s, a2]","Q[s, a3]","Q[s, a4]","Q[s, a5]","Q[s, a6]","Q[s, a7]","Q[s, a8]",--,"ST[s, a0]","ST[s, a1]","ST[s, a2]","ST[s, a3]","ST[s, a4]","ST[s, a5]","ST[s, a6]","ST[s, a7]","ST[s, a8]",--,policy,reward
Episode,275,step,1,state,"(1, 0)",1,"(1, 0)",--,0.229,0.223,0.223,0.224,0.230,0.204,0.203,0.206,0.218,--,528,421,585,653,845,662,644,739,580,--,Epsilon = 0.32,0
Episode,275,step,4,state,"(1, 0)",0,"(0, 0)",--,0.229,0.223,0.223,0.224,0.232,0.204,0.203,0.206,0.218,--,528,422,585,653,847,662,644,739,580,--,Epsilon = 0.32,0.1
Episode,275,step,6,state,"(0, 0)",5,"(1, 0)",--,0.145,0.139,0.090,0.150,0.144,0.166,0.166,0.183,0.145,--,234,240,254,404,636,584,573,674,451,--,Epsilon = 0.32,0.1
Episode,275,step,7,state,"(1, 0)",4,"(2, 0)",--,0.217,0.223,0.223,0.224,0.232,0.204,0.203,0.206,0.218,--,529,422,585,653,847,662,644,739,580,--,Greedy,0.1
Episode,275,step,8,state,"(2, 0)",0,"(1, 0)",--,0.232,0.195,0.175,-0.025,0.206,0.212,0.202,0.199,0.201,--,497,854,715,744,600,423,424,374,315,--,Greedy,0.1
Episode,275,step,9,state,"(1, 0)",4,"(0, 0)",--,0.217,0.223,0.223,0.224,0.233,0.204,0.203,0.206,0.218,--,529,422,585,653,848,662,644,739,580,--,Greedy,0.1
Episode,275,step,10,state,"(0, 0)",5,"(1, 0)",--,0.145,0.139,0.090,0.150,0.144,0.195,0.166,0.183,0.145,--,234,240,254,404,636,585,573,674,451,--,Greedy,0.1
Episode,275,step,19,state,"(1, 0)",8,"(2, 0)",--,0.217,0.223,0.223,0.224,0.235,0.204,0.203,0.206,0.218,--,529,422,585,653,857,662,644,739,580,--,Epsilon = 0.32,0.1
Episode,275,step,22,state,"(2, 0)",0,"(1, 0)",--,0.234,0.195,0.175,-0.025,0.206,0.212,0.216,0.199,0.201,--,499,854,715,744,600,423,425,374,315,--,Greedy,0.1
Episode,275,step,23,state,"(1, 0)",4,"(0, 0)",--,0.217,0.223,0.223,0.224,0.235,0.204,0.203,0.206,0.225,--,529,422,585,653,857,662,644,739,581,--,Greedy,0.1
Episode,275,step,24,state,"(0, 0)",5,"(1, 0)",--,0.145,0.139,0.090,0.150,0.144,0.210,0.166,0.183,0.145,--,234,240,254,404,636,586,573,674,451,--,Greedy,0.1
Episode,275,step,25,state,"(1, 0)",8,"(2, 0)",--,0.217,0.223,0.223,0.224,0.230,0.204,0.203,0.206,0.225,--,529,422,585,653,858,662,644,739,581,--,Epsilon = 0.32,0.1
Episode,275,step,29,state,"(2, 0)",0,"(0, 0)",--,0.236,0.195,0.175,-0.025,0.206,0.212,0.216,0.215,0.201,--,502,854,715,744,600,423,425,375,315,--,Epsilon = 0.32,0.1
Episode,275,step,31,state,"(0, 0)",5,"(1, 0)",--,0.145,0.139,0.090,0.150,0.144,0.223,0.166,0.183,0.145,--,234,240,254,404,636,588,573,674,451,--,Greedy,0.1
Episode,275,step,32,state,"(1, 0)",8,"(2, 0)",--,0.217,0.223,0.223,0.224,0.230,0.204,0.203,0.206,0.230,--,529,422,585,653,858,662,644,739,582,--,Greedy,0.1
Episode,275,step,36,state,"(2, 0)",3,"(1, 0)",--,0.233,0.195,0.200,-0.025,0.206,0.212,0.216,0.215,0.215,--,504,854,716,744,600,423,425,375,316,--,Epsilon = 0.32,0.1
Episode,275,step,37,state,"(1, 0)",8,"(2, 0)",--,0.217,0.223,0.223,0.224,0.230,0.204,0.203,0.206,0.232,--,529,422,585,653,858,662,644,739,583,--,Greedy,0.1
Episode,275,step,39,state,"(2, 0)",0,"(0, 0)",--,0.234,0.195,0.200,0.084,0.206,0.212,0.216,0.215,0.215,--,505,854,716,745,600,423,425,375,316,--,Greedy,0.1
Episode,275,step,41,state,"(0, 0)",6,"(1, 0)",--,0.145,0.139,0.090,0.150,0.144,0.227,0.166,0.203,0.145,--,234,240,254,404,636,589,573,675,451,--,Epsilon = 0.32,0.1
Episode,275,step,42,state,"(1, 0)",8,"(2, 0)",--,0.217,0.223,0.223,0.224,0.230,0.204,0.203,0.206,0.233,--,529,422,585,653,858,662,644,739,584,--,Greedy,0.1
Episode,275,step,44,state,"(2, 0)",0,"(1, 0)",--,0.234,0.195,0.200,0.084,0.206,0.212,0.216,0.215,0.215,--,507,854,716,745,600,423,425,375,316,--,Greedy,0.1
Episode,275,step,46,state,"(1, 0)",8,"(2, 0)",--,0.217,0.223,0.223,0.224,0.230,0.204,0.203,0.206,0.235,--,529,422,585,653,858,662,644,739,586,--,Epsilon = 0.32,0.1
Episode,275,step,49,state,"(2, 0)",0,"(2, 1)",--,0.235,0.195,0.200,0.084,0.206,0.212,0.224,0.224,0.215,--,508,854,716,745,600,423,426,376,316,--,Greedy,-0.12
Episode,275,step,50,state,"(2, 1)",0,"(1, 1)",--,-0.009,-0.375,-0.158,-0.091,-0.103,-0.215,-0.327,-0.038,-0.446,--,65,125,67,151,94,82,86,80,52,--,Greedy,0.1
Episode,275,step,51,state,"(1, 1)",2,"(0, 1)",--,0.251,0.181,0.255,0.130,0.057,0.085,0.048,0.143,0.010,--,90,100,93,26,22,60,40,32,32,--,Greedy,0.1
Episode,275,step,53,state,"(0, 1)",6,"(1, 1)",--,0.154,0.020,0.189,0.135,0.260,0.261,0.376,0.278,0.262,--,107,66,103,106,118,39,55,37,78,--,Greedy,0.1
Episode,275,step,55,state,"(1, 1)",1,"(0, 1)",--,0.251,0.181,0.274,0.130,0.057,0.085,0.048,0.143,0.010,--,90,100,95,26,22,60,40,32,32,--,Epsilon = 0.32,0.1
Episode,275,step,57,state,"(0, 1)",6,"(2, 1)",--,0.154,0.020,0.189,0.135,0.260,0.261,0.329,0.278,0.274,--,107,66,103,106,118,39,56,37,79,--,Greedy,0.1
Episode,275,step,58,state,"(2, 1)",0,"(1, 1)",--,0.099,-0.375,-0.158,-0.091,-0.103,-0.215,-0.327,-0.038,-0.446,--,66,125,67,151,94,82,86,80,52,--,Greedy,0.1
Episode,275,step,59,state,"(1, 1)",2,"(0, 1)",--,0.251,0.227,0.274,0.130,0.057,0.085,0.048,0.143,0.010,--,90,101,95,26,22,60,40,32,32,--,Greedy,0.1
Episode,275,step,61,state,"(0, 1)",1,"(1, 1)",--,0.154,0.020,0.189,0.135,0.260,0.261,0.257,0.271,0.274,--,107,66,103,106,118,39,57,38,79,--,Epsilon = 0.32,0.1
Episode,275,step,62,state,"(1, 1)",2,"(0, 1)",--,0.251,0.227,0.269,0.130,0.057,0.085,0.048,0.143,0.010,--,90,101,96,26,22,60,40,32,32,--,Greedy,0.1
Episode,275,step,66,state,"(0, 1)",8,"(1, 1)",--,0.197,0.119,0.189,0.135,0.260,0.261,0.257,0.265,0.268,--,108,67,103,106,118,39,57,39,80,--,Greedy,0.1
Episode,275,step,67,state,"(1, 1)",3,"(2, 1)",--,0.251,0.227,0.264,0.130,0.057,0.085,0.048,0.143,0.010,--,90,101,97,26,22,60,40,32,32,--,Epsilon = 0.32,0.1
