 , , ,log2019-04-26_17-05-59,ep ,132,step ,50,r ,3.880
 , , ,,,s,a,s_,--,"Q[s, a0]","Q[s, a1]","Q[s, a2]","Q[s, a3]","Q[s, a4]","Q[s, a5]","Q[s, a6]","Q[s, a7]","Q[s, a8]",--,"ST[s, a0]","ST[s, a1]","ST[s, a2]","ST[s, a3]","ST[s, a4]","ST[s, a5]","ST[s, a6]","ST[s, a7]","ST[s, a8]",--,policy,reward
Episode,132,step,1,state,"(1, 0)",5,"(1, 0)",--,0.131,0.234,0.232,0.172,0.237,0.230,0.149,0.144,0.238,--,181,234,242,356,410,363,295,335,260,--,Epsilon = 0.32,0
Episode,132,step,4,state,"(1, 0)",8,"(2, 0)",--,0.131,0.234,0.235,0.200,0.237,0.230,0.149,0.144,0.238,--,181,234,243,357,410,364,295,335,260,--,Greedy,0.1
Episode,132,step,8,state,"(2, 0)",0,"(0, 0)",--,0.227,0.183,0.222,0.082,0.150,0.234,0.200,0.133,0.231,--,282,198,383,381,324,279,183,160,154,--,Epsilon = 0.32,0.1
Episode,132,step,9,state,"(0, 0)",6,"(1, 0)",--,0.089,0.207,0.161,0.182,0.104,0.205,0.226,-0.224,-0.037,--,122,140,149,246,224,234,206,311,318,--,Greedy,0.1
Episode,132,step,10,state,"(1, 0)",8,"(2, 0)",--,0.131,0.234,0.235,0.200,0.237,0.230,0.149,0.144,0.237,--,181,234,243,357,410,364,295,335,261,--,Greedy,0.1
Episode,132,step,21,state,"(2, 0)",7,"(2, 1)",--,0.229,0.183,0.222,0.082,0.187,0.237,0.200,0.133,0.234,--,283,198,383,381,325,287,183,160,155,--,Epsilon = 0.32,-0.12
Episode,132,step,23,state,"(2, 1)",2,"(1, 1)",--,0.013,-0.296,0.054,-0.477,-0.092,-0.046,-0.065,-0.006,-0.638,--,61,42,40,44,39,37,27,29,40,--,Greedy,0.1
Episode,132,step,24,state,"(1, 1)",2,"(0, 1)",--,0.184,-0.174,0.281,-0.187,0.036,0.207,-0.025,-0.173,0.219,--,17,76,33,32,7,8,11,7,19,--,Greedy,0.1
Episode,132,step,28,state,"(0, 1)",4,"(1, 1)",--,0.265,0.131,0.130,0.228,0.286,0.234,0.285,0.278,0.248,--,29,42,76,43,35,29,44,16,27,--,Greedy,0.1
Episode,132,step,29,state,"(1, 1)",2,"(0, 1)",--,0.184,-0.174,0.277,-0.187,0.036,0.207,-0.025,-0.173,0.219,--,17,76,34,32,7,8,11,7,19,--,Greedy,0.1
Episode,132,step,30,state,"(0, 1)",6,"(1, 1)",--,0.265,0.131,0.130,0.228,0.275,0.234,0.285,0.278,0.248,--,29,42,76,43,36,29,44,16,27,--,Greedy,0.1
Episode,132,step,32,state,"(1, 1)",4,"(0, 1)",--,0.184,-0.174,0.266,-0.187,0.036,0.207,-0.025,-0.173,0.219,--,17,76,36,32,7,8,11,7,19,--,Epsilon = 0.32,0.1
Episode,132,step,33,state,"(0, 1)",7,"(1, 1)",--,0.265,0.131,0.130,0.228,0.275,0.234,0.273,0.278,0.248,--,29,42,76,43,36,29,45,16,27,--,Greedy,0.1
Episode,132,step,37,state,"(1, 1)",2,"(0, 1)",--,0.184,-0.174,0.257,-0.187,0.131,0.207,-0.025,-0.173,0.232,--,17,76,38,32,8,8,11,7,20,--,Greedy,0.1
Episode,132,step,39,state,"(0, 1)",4,"(1, 1)",--,0.265,0.131,0.130,0.228,0.275,0.234,0.268,0.268,0.248,--,29,42,76,43,36,29,46,17,27,--,Greedy,0.1
Episode,132,step,41,state,"(1, 1)",2,"(0, 1)",--,0.184,-0.174,0.255,-0.187,0.131,0.207,-0.025,-0.173,0.232,--,17,76,40,32,8,8,11,7,20,--,Greedy,0.1
Episode,132,step,43,state,"(0, 1)",7,"(0, 0)",--,0.265,0.183,0.130,0.228,0.264,0.234,0.268,0.268,0.248,--,29,43,76,43,37,29,46,17,27,--,Greedy,0.4
Episode,132,step,45,state,"(0, 0)",4,"(1, 0)",--,0.089,0.207,0.161,0.182,0.104,0.205,0.232,-0.224,-0.037,--,122,140,149,246,224,234,208,311,318,--,Epsilon = 0.32,0.1
Episode,132,step,50,state,"(1, 0)",4,"(1, 0)",--,0.131,0.234,0.235,0.200,0.237,0.230,0.149,0.144,0.236,--,181,234,243,357,414,364,295,335,262,--,Greedy,-1
end
