 , , ,log2019-04-26_17-05-22,ep ,129,step ,125,r ,9.120
 , , ,,,s,a,s_,--,"Q[s, a0]","Q[s, a1]","Q[s, a2]","Q[s, a3]","Q[s, a4]","Q[s, a5]","Q[s, a6]","Q[s, a7]","Q[s, a8]",--,"ST[s, a0]","ST[s, a1]","ST[s, a2]","ST[s, a3]","ST[s, a4]","ST[s, a5]","ST[s, a6]","ST[s, a7]","ST[s, a8]",--,policy,reward
Episode,129,step,1,state,"(1, 0)",3,"(1, 0)",--,0.105,0.164,0.232,0.232,0.219,0.203,0.226,-0.238,0.231,--,178,228,235,305,405,360,280,332,249,--,Greedy,0
Episode,129,step,6,state,"(1, 0)",3,"(0, 0)",--,0.105,0.194,0.232,0.233,0.219,0.216,0.226,-0.039,0.231,--,178,229,235,307,405,361,280,333,249,--,Greedy,0.1
Episode,129,step,8,state,"(0, 0)",4,"(1, 0)",--,0.211,0.213,0.226,0.143,0.232,0.069,0.207,0.209,-0.235,--,121,131,144,245,219,229,204,286,317,--,Greedy,0.1
Episode,129,step,10,state,"(1, 0)",3,"(0, 0)",--,0.105,0.194,0.232,0.234,0.219,0.216,0.226,-0.039,0.231,--,178,229,235,309,405,361,280,333,249,--,Greedy,0.1
Episode,129,step,12,state,"(0, 0)",0,"(0, 4)",--,0.211,0.213,0.226,0.143,0.234,0.069,0.207,0.209,-0.235,--,121,131,144,245,221,229,204,286,317,--,Epsilon = 0.32,-0.12
Episode,129,step,14,state,"(0, 4)",3,"(1, 20)",--,0.038,0.059,0.066,0.068,0.039,0.060,0.067,0.010,0.061,--,9,19,26,10,23,27,20,2,15,--,Greedy,-0.12
Episode,129,step,15,state,"(1, 20)",8,"(2, 20)",--,0.274,0.271,0.285,0.295,0.286,0.207,0.026,0.315,0.336,--,20,18,25,32,29,66,63,117,76,--,Greedy,0.1
Episode,129,step,16,state,"(2, 20)",2,"(1, 20)",--,0.471,0.270,0.237,0.334,0.228,0.296,0.326,0.303,0.281,--,83,27,98,107,59,100,59,118,139,--,Epsilon = 0.32,0.1
Episode,129,step,17,state,"(1, 20)",8,"(2, 20)",--,0.274,0.271,0.285,0.295,0.286,0.207,0.026,0.315,0.352,--,20,18,25,32,29,66,63,117,77,--,Greedy,0.1
Episode,129,step,18,state,"(2, 20)",1,"(1, 20)",--,0.471,0.270,0.265,0.334,0.228,0.296,0.326,0.303,0.281,--,83,27,99,107,59,100,59,118,139,--,Epsilon = 0.32,0.1
Episode,129,step,19,state,"(1, 20)",8,"(2, 20)",--,0.274,0.271,0.285,0.295,0.286,0.207,0.026,0.315,0.361,--,20,18,25,32,29,66,63,117,78,--,Greedy,0.1
Episode,129,step,20,state,"(2, 20)",0,"(1, 20)",--,0.471,0.287,0.265,0.334,0.228,0.296,0.326,0.303,0.281,--,83,28,99,107,59,100,59,118,139,--,Greedy,0.1
Episode,129,step,21,state,"(1, 20)",3,"(0, 20)",--,0.274,0.271,0.285,0.295,0.286,0.207,0.026,0.315,0.366,--,20,18,25,32,29,66,63,117,79,--,Epsilon = 0.32,0.1
Episode,129,step,22,state,"(0, 20)",7,"(1, 20)",--,0.252,0.224,0.209,0.258,0.123,0.253,0.221,0.330,0.240,--,36,24,34,41,35,50,32,101,126,--,Greedy,0.1
Episode,129,step,23,state,"(1, 20)",8,"(2, 20)",--,0.274,0.271,0.285,0.293,0.286,0.207,0.026,0.315,0.366,--,20,18,25,33,29,66,63,117,79,--,Greedy,0.1
Episode,129,step,25,state,"(2, 20)",4,"(1, 4)",--,0.375,0.287,0.265,0.334,0.228,0.296,0.326,0.303,0.281,--,85,28,99,107,59,100,59,118,139,--,Epsilon = 0.32,0.4
Episode,129,step,26,state,"(1, 4)",6,"(2, 4)",--,0.142,0.200,0.291,0.052,0.154,0.178,0.375,0.033,-0.003,--,7,3,11,1,3,2,63,4,0,--,Greedy,0.1
Episode,129,step,28,state,"(2, 4)",7,"(2, 0)",--,0.310,0.456,0.493,0.339,0.398,0.409,0.414,0.501,0.405,--,13,28,9,14,6,26,39,42,3,--,Greedy,0.4
Episode,129,step,31,state,"(2, 0)",4,"(1, 0)",--,0.080,0.183,0.159,0.207,0.236,0.186,0.125,0.133,0.177,--,277,198,380,372,275,273,181,160,150,--,Greedy,0.1
Episode,129,step,33,state,"(1, 0)",3,"(0, 0)",--,0.105,0.194,0.232,0.235,0.219,0.216,0.226,-0.039,0.231,--,178,229,235,311,405,361,280,333,249,--,Greedy,0.1
Episode,129,step,36,state,"(0, 0)",4,"(1, 0)",--,0.089,0.213,0.226,0.182,0.235,0.069,0.207,0.209,-0.235,--,122,131,144,246,222,229,204,286,317,--,Greedy,0.1
Episode,129,step,38,state,"(1, 0)",2,"(0, 0)",--,0.105,0.194,0.232,0.236,0.219,0.216,0.226,-0.039,0.231,--,178,229,235,313,405,361,280,333,249,--,Epsilon = 0.32,0.1
Episode,129,step,40,state,"(0, 0)",4,"(0, 4)",--,0.089,0.223,0.226,0.182,0.236,0.069,0.207,0.209,-0.235,--,122,132,144,246,223,229,204,286,317,--,Greedy,-0.12
Episode,129,step,41,state,"(0, 4)",3,"(0, 20)",--,0.038,0.059,0.066,0.071,0.039,0.060,0.067,0.010,0.061,--,9,19,26,11,23,27,20,2,15,--,Greedy,-0.12
Episode,129,step,42,state,"(0, 20)",7,"(1, 20)",--,0.252,0.224,0.209,0.258,0.123,0.253,0.221,0.323,0.240,--,36,24,34,41,35,50,32,102,126,--,Greedy,0.1
Episode,129,step,43,state,"(1, 20)",8,"(2, 20)",--,0.274,0.271,0.285,0.293,0.286,0.207,0.026,0.315,0.353,--,20,18,25,33,29,66,63,117,80,--,Greedy,0.1
Episode,129,step,46,state,"(2, 20)",4,"(1, 20)",--,0.351,0.287,0.265,0.334,0.365,0.296,0.326,0.303,0.281,--,86,28,99,107,61,100,59,118,139,--,Epsilon = 0.32,0.1
Episode,129,step,48,state,"(1, 20)",8,"(2, 20)",--,0.274,0.271,0.285,0.293,0.286,0.207,0.026,0.315,0.324,--,20,18,25,33,29,66,63,117,82,--,Greedy,0.1
Episode,129,step,49,state,"(2, 20)",0,"(2, 4)",--,0.351,0.287,0.265,0.334,0.337,0.296,0.326,0.303,0.281,--,86,28,99,107,62,100,59,118,139,--,Greedy,0.4
Episode,129,step,50,state,"(2, 4)",0,"(1, 0)",--,0.310,0.456,0.493,0.339,0.398,0.409,0.414,0.516,0.405,--,13,28,9,14,6,26,39,43,3,--,Epsilon = 0.32,0.4
Episode,129,step,51,state,"(1, 0)",3,"(0, 0)",--,0.105,0.194,0.234,0.236,0.219,0.216,0.226,-0.039,0.231,--,178,229,236,313,405,361,280,333,249,--,Greedy,0.1
Episode,129,step,52,state,"(0, 0)",5,"(1, 4)",--,0.089,0.223,0.226,0.182,0.104,0.069,0.207,0.209,-0.235,--,122,132,144,246,224,229,204,286,317,--,Epsilon = 0.32,-0.12
Episode,129,step,53,state,"(1, 4)",6,"(2, 4)",--,0.142,0.200,0.291,0.052,0.154,0.178,0.382,0.033,-0.003,--,7,3,11,1,3,2,64,4,0,--,Greedy,0.1
Episode,129,step,55,state,"(2, 4)",5,"(2, 0)",--,0.406,0.456,0.493,0.339,0.398,0.409,0.414,0.467,0.405,--,14,28,9,14,6,26,39,44,3,--,Epsilon = 0.32,0.4
Episode,129,step,57,state,"(2, 0)",4,"(1, 0)",--,0.080,0.183,0.159,0.219,0.236,0.186,0.125,0.133,0.177,--,277,198,380,373,276,273,181,160,150,--,Greedy,0.1
Episode,129,step,58,state,"(1, 0)",0,"(0, 0)",--,0.105,0.194,0.234,0.234,0.219,0.216,0.226,-0.039,0.231,--,178,229,236,314,405,361,280,333,249,--,Epsilon = 0.32,0.1
Episode,129,step,63,state,"(0, 0)",2,"(0, 20)",--,0.089,0.223,0.233,0.182,0.104,0.083,0.207,0.209,-0.235,--,122,132,148,246,224,230,204,286,317,--,Greedy,-0.12
Episode,129,step,65,state,"(0, 20)",7,"(1, 20)",--,0.252,0.224,0.209,0.258,0.123,0.253,0.221,0.302,0.240,--,36,24,34,41,35,50,32,104,126,--,Greedy,0.1
Episode,129,step,66,state,"(1, 20)",8,"(2, 20)",--,0.274,0.271,0.285,0.293,0.286,0.207,0.026,0.315,0.315,--,20,18,25,33,29,66,63,117,83,--,Greedy,0.1
Episode,129,step,69,state,"(2, 20)",0,"(1, 20)",--,0.452,0.287,0.265,0.334,0.337,0.296,0.341,0.303,0.281,--,88,28,99,107,62,100,60,118,139,--,Greedy,0.1
Episode,129,step,70,state,"(1, 20)",8,"(2, 20)",--,0.274,0.271,0.285,0.293,0.286,0.207,0.026,0.315,0.346,--,20,18,25,33,29,66,63,117,84,--,Greedy,0.1
Episode,129,step,72,state,"(2, 20)",0,"(1, 20)",--,0.362,0.287,0.265,0.334,0.337,0.296,0.341,0.303,0.281,--,90,28,99,107,62,100,60,118,139,--,Greedy,0.1
Episode,129,step,74,state,"(1, 20)",8,"(2, 20)",--,0.274,0.271,0.285,0.293,0.286,0.207,0.026,0.315,0.320,--,20,18,25,33,29,66,63,117,86,--,Greedy,0.1
Episode,129,step,76,state,"(2, 20)",4,"(2, 4)",--,0.334,0.287,0.265,0.334,0.337,0.296,0.323,0.303,0.281,--,91,28,99,107,62,100,61,118,139,--,Epsilon = 0.32,0.4
Episode,129,step,77,state,"(2, 4)",2,"(1, 0)",--,0.406,0.456,0.493,0.339,0.398,0.463,0.414,0.467,0.405,--,14,28,9,14,6,27,39,44,3,--,Greedy,0.4
Episode,129,step,79,state,"(1, 0)",3,"(0, 0)",--,0.158,0.194,0.234,0.235,0.219,0.216,0.226,-0.039,0.231,--,179,229,236,315,405,361,280,333,249,--,Greedy,0.1
Episode,129,step,81,state,"(0, 0)",5,"(0, 20)",--,0.089,0.225,0.161,0.182,0.104,0.083,0.207,0.209,-0.235,--,122,133,149,246,224,230,204,286,317,--,Epsilon = 0.32,-0.12
Episode,129,step,82,state,"(0, 20)",6,"(1, 20)",--,0.252,0.224,0.209,0.258,0.123,0.253,0.221,0.294,0.240,--,36,24,34,41,35,50,32,105,126,--,Epsilon = 0.32,0.1
Episode,129,step,83,state,"(1, 20)",7,"(2, 20)",--,0.274,0.271,0.285,0.293,0.286,0.207,0.026,0.315,0.311,--,20,18,25,33,29,66,63,117,87,--,Greedy,0.1
Episode,129,step,85,state,"(2, 20)",0,"(2, 4)",--,0.334,0.287,0.265,0.334,0.483,0.331,0.323,0.303,0.281,--,91,28,99,107,63,101,61,118,139,--,Epsilon = 0.32,0.4
Episode,129,step,86,state,"(2, 4)",2,"(1, 4)",--,0.406,0.456,0.511,0.339,0.398,0.463,0.414,0.467,0.405,--,14,28,10,14,6,27,39,44,3,--,Greedy,0.1
Episode,129,step,87,state,"(1, 4)",6,"(0, 4)",--,0.142,0.200,0.291,0.052,0.154,0.178,0.389,0.033,-0.003,--,7,3,11,1,3,2,65,4,0,--,Greedy,0.1
Episode,129,step,89,state,"(0, 4)",1,"(0, 20)",--,0.038,0.093,0.066,0.069,0.039,0.060,0.067,0.010,0.061,--,9,20,26,12,23,27,20,2,15,--,Greedy,-0.12
Episode,129,step,91,state,"(0, 20)",7,"(1, 20)",--,0.252,0.224,0.209,0.258,0.123,0.253,0.247,0.284,0.240,--,36,24,34,41,35,50,33,106,126,--,Greedy,0.1
Episode,129,step,92,state,"(1, 20)",5,"(2, 20)",--,0.274,0.271,0.285,0.293,0.286,0.207,0.026,0.342,0.311,--,20,18,25,33,29,66,63,118,87,--,Epsilon = 0.32,0.1
Episode,129,step,93,state,"(2, 20)",0,"(1, 20)",--,0.486,0.287,0.265,0.334,0.483,0.331,0.323,0.303,0.281,--,92,28,99,107,63,101,61,118,139,--,Greedy,0.1
Episode,129,step,95,state,"(1, 20)",7,"(2, 20)",--,0.274,0.271,0.285,0.293,0.286,0.280,0.026,0.324,0.311,--,20,18,25,33,29,67,63,119,87,--,Greedy,0.1
Episode,129,step,96,state,"(2, 20)",8,"(2, 4)",--,0.407,0.287,0.265,0.334,0.483,0.331,0.323,0.303,0.281,--,93,28,99,107,63,101,61,118,139,--,Epsilon = 0.32,0.4
Episode,129,step,97,state,"(2, 4)",7,"(2, 0)",--,0.406,0.456,0.433,0.339,0.398,0.463,0.414,0.467,0.405,--,14,28,11,14,6,27,39,44,3,--,Greedy,0.4
Episode,129,step,100,state,"(2, 0)",4,"(1, 0)",--,0.080,0.183,0.159,0.219,0.236,0.186,0.125,0.133,0.177,--,277,198,380,373,279,273,181,160,150,--,Greedy,0.1
Episode,129,step,102,state,"(1, 0)",2,"(0, 0)",--,0.158,0.194,0.235,0.232,0.219,0.216,0.226,-0.039,0.231,--,179,229,237,316,405,361,280,333,249,--,Greedy,0.1
Episode,129,step,107,state,"(0, 0)",1,"(0, 20)",--,0.089,0.232,0.161,0.182,0.104,0.069,0.207,0.209,-0.235,--,122,137,149,246,224,231,204,286,317,--,Greedy,-0.12
Episode,129,step,110,state,"(0, 20)",8,"(2, 21)",--,0.252,0.224,0.209,0.258,0.123,0.253,0.247,0.273,0.240,--,36,24,34,41,35,50,33,109,126,--,Epsilon = 0.32,0.1
Episode,129,step,111,state,"(2, 21)",0,"(1, 21)",--,0.198,0.169,0.132,0.076,0.097,-0.281,0.055,-0.015,-0.003,--,8,3,2,1,1,12,13,11,0,--,Greedy,0.1
Episode,129,step,113,state,"(1, 21)",3,"(0, 21)",--,-0.005,0.091,-0.104,0.188,-0.226,-0.279,-0.082,-0.339,0.128,--,0,1,2,4,20,6,5,1,2,--,Greedy,0.1
Episode,129,step,114,state,"(0, 21)",8,"(1, 21)",--,-0.275,0.091,-0.143,-0.491,-0.228,-0.111,-0.346,-0.454,0.208,--,3,13,2,14,8,3,1,3,6,--,Greedy,0.1
Episode,129,step,117,state,"(1, 21)",3,"(0, 25)",--,-0.005,0.091,-0.104,0.213,-0.226,-0.279,-0.082,-0.339,0.128,--,0,1,2,7,20,6,5,1,2,--,Greedy,-0.8
Episode,129,step,118,state,"(0, 25)",6,"(1, 41)",--,-0.008,-0.254,-0.214,-0.007,-0.003,-0.007,-0.002,-0.191,-0.247,--,0,1,1,0,0,0,0,1,1,--,Greedy,-0.4
Episode,129,step,121,state,"(1, 41)",5,"(2, 41)",--,-0.351,-0.555,-0.364,-0.476,-0.353,-0.341,-0.478,-0.365,-0.435,--,6,6,7,8,6,6,6,17,7,--,Greedy,-0.2
Episode,129,step,124,state,"(2, 41)",1,"(1, 41)",--,-0.349,-0.331,-0.355,-0.337,-0.462,-0.353,-0.344,-0.348,-0.351,--,9,9,23,14,9,10,18,8,8,--,Greedy,-0.2
Episode,129,step,125,state,"(1, 41)",7,"(1, 42)",--,-0.351,-0.555,-0.364,-0.476,-0.353,-0.359,-0.478,-0.365,-0.435,--,6,6,7,8,6,7,6,17,7,--,Epsilon = 0.32,-1
end
