 , , ,log2019-04-26_16-50-39,ep ,41,step ,130,r ,11.660
 , , ,,,s,a,s_,--,"Q[s, a0]","Q[s, a1]","Q[s, a2]","Q[s, a3]","Q[s, a4]","Q[s, a5]","Q[s, a6]","Q[s, a7]","Q[s, a8]",--,"ST[s, a0]","ST[s, a1]","ST[s, a2]","ST[s, a3]","ST[s, a4]","ST[s, a5]","ST[s, a6]","ST[s, a7]","ST[s, a8]",--,policy,reward
Episode,41,step,1,state,"(1, 0)",5,"(1, 0)",--,0.223,0.208,0.220,0.237,0.238,0.186,0.231,0.232,0.229,--,31,70,29,57,101,112,53,97,59,--,Epsilon = 0.32,0
Episode,41,step,6,state,"(1, 0)",2,"(0, 0)",--,0.223,0.208,0.220,0.237,0.238,0.186,0.231,0.232,0.229,--,31,70,29,57,105,113,53,97,59,--,Epsilon = 0.32,0.1
Episode,41,step,7,state,"(0, 0)",8,"(1, 0)",--,0.154,-0.035,0.175,0.153,0.159,0.113,0.157,0.175,0.237,--,34,26,19,48,45,56,32,47,73,--,Greedy,0.1
Episode,41,step,8,state,"(1, 0)",7,"(2, 0)",--,0.223,0.208,0.228,0.237,0.238,0.186,0.231,0.232,0.229,--,31,70,30,57,105,113,53,97,59,--,Epsilon = 0.32,0.1
Episode,41,step,11,state,"(2, 0)",0,"(1, 0)",--,0.238,-0.043,0.233,-0.253,-0.019,0.187,0.225,0.223,0.225,--,68,35,58,97,42,67,41,53,37,--,Greedy,0.1
Episode,41,step,14,state,"(1, 0)",5,"(2, 0)",--,0.223,0.208,0.228,0.237,0.238,0.186,0.234,0.235,0.229,--,31,70,30,57,106,113,54,98,59,--,Epsilon = 0.32,0.1
Episode,41,step,16,state,"(2, 0)",0,"(0, 0)",--,0.238,-0.043,0.233,-0.253,-0.019,0.187,0.225,0.223,0.225,--,70,35,58,97,42,67,41,53,37,--,Greedy,0.1
Episode,41,step,18,state,"(0, 0)",8,"(2, 0)",--,0.154,-0.035,0.175,0.153,0.159,0.113,0.157,0.175,0.238,--,34,26,19,48,45,56,32,47,75,--,Greedy,0.1
Episode,41,step,21,state,"(2, 0)",0,"(0, 0)",--,0.238,-0.043,0.233,-0.253,-0.019,0.187,0.231,0.223,0.225,--,72,35,58,97,42,67,42,53,37,--,Greedy,0.1
Episode,41,step,22,state,"(0, 0)",8,"(1, 0)",--,0.154,-0.035,0.175,0.153,0.159,0.113,0.157,0.175,0.238,--,34,26,19,48,45,56,32,47,76,--,Greedy,0.1
Episode,41,step,24,state,"(1, 0)",4,"(0, 0)",--,0.223,0.221,0.228,0.237,0.238,0.208,0.234,0.235,0.229,--,31,71,30,57,106,114,54,98,59,--,Greedy,0.1
Episode,41,step,25,state,"(0, 0)",8,"(1, 0)",--,0.154,-0.035,0.175,0.153,0.159,0.113,0.157,0.175,0.238,--,34,26,19,48,45,56,32,47,77,--,Greedy,0.1
Episode,41,step,35,state,"(1, 0)",4,"(2, 0)",--,0.223,0.221,0.228,0.237,0.238,0.208,0.236,0.235,0.229,--,31,71,30,58,114,114,55,98,59,--,Greedy,0.1
Episode,41,step,36,state,"(2, 0)",0,"(1, 0)",--,0.238,-0.043,0.233,-0.253,-0.019,0.187,0.231,0.223,0.225,--,73,35,58,97,42,67,42,53,37,--,Greedy,0.1
