 , , ,log2019-04-26_17-18-55,ep ,218,step ,77,r ,5.420
 , , ,,,s,a,s_,--,"Q[s, a0]","Q[s, a1]","Q[s, a2]","Q[s, a3]","Q[s, a4]","Q[s, a5]","Q[s, a6]","Q[s, a7]","Q[s, a8]",--,"ST[s, a0]","ST[s, a1]","ST[s, a2]","ST[s, a3]","ST[s, a4]","ST[s, a5]","ST[s, a6]","ST[s, a7]","ST[s, a8]",--,policy,reward
Episode,218,step,1,state,"(1, 0)",8,"(1, 0)",--,0.206,0.233,0.194,0.224,0.215,0.230,0.210,0.153,0.233,--,288,417,360,537,544,524,497,508,519,--,Greedy,0
Episode,218,step,3,state,"(1, 0)",8,"(2, 0)",--,0.206,0.233,0.194,0.224,0.215,0.230,0.210,0.153,0.234,--,288,417,360,537,544,524,497,508,521,--,Greedy,0.1
Episode,218,step,5,state,"(2, 0)",2,"(1, 0)",--,0.077,0.184,0.222,0.162,0.217,0.117,0.118,0.202,0.148,--,552,460,526,627,425,459,321,259,293,--,Greedy,0.1
Episode,218,step,6,state,"(1, 0)",1,"(0, 0)",--,0.206,0.233,0.194,0.224,0.215,0.230,0.210,0.153,0.231,--,288,417,360,537,544,524,497,508,522,--,Greedy,0.1
Episode,218,step,8,state,"(0, 0)",4,"(1, 0)",--,0.165,0.123,0.124,0.157,0.226,0.189,0.201,-0.057,0.162,--,226,225,249,314,402,403,400,483,443,--,Greedy,0.1
Episode,218,step,9,state,"(1, 0)",1,"(0, 0)",--,0.206,0.232,0.194,0.224,0.215,0.230,0.210,0.153,0.231,--,288,418,360,537,544,524,497,508,522,--,Greedy,0.1
Episode,218,step,11,state,"(0, 0)",4,"(1, 0)",--,0.165,0.123,0.124,0.157,0.229,0.189,0.201,0.065,0.162,--,226,225,249,314,403,403,400,484,443,--,Greedy,0.1
Episode,218,step,12,state,"(1, 0)",1,"(0, 0)",--,0.206,0.232,0.194,0.224,0.215,0.230,0.210,0.153,0.231,--,288,419,360,537,544,524,497,508,522,--,Greedy,0.1
Episode,218,step,13,state,"(0, 0)",4,"(0, 4)",--,0.165,0.123,0.124,0.157,0.232,0.189,0.201,0.065,0.162,--,226,225,249,314,404,403,400,484,443,--,Greedy,-0.12
Episode,218,step,14,state,"(0, 4)",8,"(1, 4)",--,0.062,0.061,0.056,0.064,0.064,0.068,0.049,0.082,0.112,--,15,28,32,30,27,31,31,12,45,--,Greedy,0.1
Episode,218,step,15,state,"(1, 4)",5,"(2, 4)",--,0.172,0.174,0.071,0.152,0.180,0.334,0.182,0.289,0.251,--,8,4,14,3,6,18,90,9,4,--,Greedy,0.1
Episode,218,step,16,state,"(2, 4)",8,"(2, 0)",--,0.471,0.335,0.435,0.347,0.416,0.437,0.425,0.447,0.530,--,21,37,15,31,20,40,41,76,24,--,Greedy,0.4
Episode,218,step,18,state,"(2, 0)",2,"(1, 0)",--,0.077,0.184,0.229,0.162,0.217,0.117,0.118,0.202,0.148,--,552,460,528,627,425,459,321,259,293,--,Greedy,0.1
Episode,218,step,19,state,"(1, 0)",1,"(0, 0)",--,0.206,0.233,0.194,0.224,0.215,0.230,0.210,0.153,0.231,--,288,420,360,537,544,524,497,508,522,--,Greedy,0.1
Episode,218,step,21,state,"(0, 0)",6,"(1, 4)",--,0.165,0.123,0.124,0.157,0.111,0.189,0.207,0.065,0.162,--,226,225,249,314,405,403,401,484,443,--,Greedy,-0.12
Episode,218,step,22,state,"(1, 4)",5,"(2, 4)",--,0.172,0.174,0.071,0.152,0.180,0.365,0.182,0.289,0.251,--,8,4,14,3,6,19,90,9,4,--,Greedy,0.1
Episode,218,step,23,state,"(2, 4)",8,"(2, 0)",--,0.471,0.335,0.435,0.347,0.416,0.437,0.425,0.447,0.531,--,21,37,15,31,20,40,41,76,25,--,Epsilon = 0.32,0.4
Episode,218,step,26,state,"(2, 0)",2,"(0, 0)",--,0.077,0.184,0.234,0.162,0.217,0.117,0.118,0.202,0.148,--,552,460,531,627,425,459,321,259,293,--,Greedy,0.1
