 , , ,log2019-04-25_09-29-04,ep ,58,step ,79,r ,4.540
 , , ,,,s,a,s_,--,"Q[s, a0]","Q[s, a1]","Q[s, a2]","Q[s, a3]","Q[s, a4]","Q[s, a5]","Q[s, a6]","Q[s, a7]","Q[s, a8]",--,"ST[s, a0]","ST[s, a1]","ST[s, a2]","ST[s, a3]","ST[s, a4]","ST[s, a5]","ST[s, a6]","ST[s, a7]","ST[s, a8]",--,policy,reward
Episode,58,step,1,state,"(1, 0)",3,"(0, 0)",--,0.205,0.114,0.133,0.220,0.212,0.188,0.235,0.205,0.232,--,163,101,115,87,116,182,160,129,128,--,Epsilon = 0.32,0
Episode,58,step,2,state,"(0, 0)",7,"(1, 0)",--,0.156,-0.251,0.168,0.147,0.184,0.161,-0.032,0.191,0.124,--,55,29,47,78,182,151,141,89,136,--,Greedy,0.1
Episode,58,step,4,state,"(1, 0)",6,"(2, 0)",--,0.205,0.114,0.133,0.174,0.212,0.188,0.235,0.218,0.232,--,163,101,115,88,116,182,160,130,128,--,Greedy,0.1
Episode,58,step,14,state,"(2, 0)",7,"(2, 1)",--,0.232,0.163,0.092,0.178,0.164,0.128,0.107,0.237,0.133,--,123,167,173,125,166,107,89,68,78,--,Greedy,-0.12
Episode,58,step,16,state,"(2, 1)",3,"(1, 1)",--,-0.214,0.225,-0.248,-0.186,-0.251,-0.009,0.022,-0.324,-0.163,--,10,20,5,61,6,28,15,1,10,--,Epsilon = 0.32,0.1
Episode,58,step,18,state,"(1, 1)",0,"(0, 1)",--,0.310,-0.551,0.304,0.048,0.301,0.109,0.131,0.218,0.231,--,21,31,14,12,7,1,7,6,5,--,Greedy,0.1
Episode,58,step,21,state,"(0, 1)",2,"(0, 0)",--,0.392,0.382,0.226,0.263,0.252,0.317,0.331,0.260,0.312,--,66,7,12,2,20,4,21,11,7,--,Epsilon = 0.32,0.4
Episode,58,step,26,state,"(0, 0)",7,"(2, 0)",--,0.183,-0.251,0.168,0.147,0.184,0.188,-0.032,0.219,0.124,--,56,29,47,78,182,152,141,92,136,--,Greedy,0.1
Episode,58,step,27,state,"(2, 0)",0,"(1, 0)",--,0.232,0.163,0.092,0.178,0.164,0.128,0.107,0.141,0.133,--,123,167,173,125,166,107,89,69,78,--,Greedy,0.1
Episode,58,step,28,state,"(1, 0)",6,"(2, 0)",--,0.205,0.114,0.133,0.174,0.212,0.188,0.235,0.218,0.232,--,163,101,115,88,116,182,161,130,128,--,Greedy,0.1
Episode,58,step,29,state,"(2, 0)",0,"(1, 0)",--,0.233,0.163,0.092,0.178,0.164,0.128,0.107,0.141,0.133,--,124,167,173,125,166,107,89,69,78,--,Greedy,0.1
Episode,58,step,31,state,"(1, 0)",6,"(2, 0)",--,0.205,0.114,0.133,0.174,0.212,0.188,0.236,0.218,0.232,--,163,101,115,88,116,182,163,130,128,--,Greedy,0.1
Episode,58,step,33,state,"(2, 0)",0,"(0, 0)",--,0.235,0.163,0.092,0.178,0.164,0.128,0.107,0.141,0.133,--,126,167,173,125,166,107,89,69,78,--,Greedy,0.1
Episode,58,step,34,state,"(0, 0)",7,"(1, 0)",--,0.183,-0.251,0.168,0.147,0.184,0.188,-0.032,0.225,0.124,--,56,29,47,78,182,152,141,93,136,--,Greedy,0.1
Episode,58,step,38,state,"(1, 0)",6,"(2, 0)",--,0.205,0.114,0.177,0.174,0.212,0.188,0.237,0.218,0.232,--,163,101,116,88,116,182,166,130,128,--,Greedy,0.1
Episode,58,step,41,state,"(2, 0)",0,"(2, 1)",--,0.235,0.163,0.092,0.178,0.164,0.128,0.161,0.141,0.177,--,127,167,173,125,166,107,90,69,79,--,Greedy,-0.12
Episode,58,step,42,state,"(2, 1)",0,"(1, 1)",--,-0.214,0.225,-0.248,0.011,-0.251,-0.009,0.022,-0.324,-0.163,--,10,20,5,62,6,28,15,1,10,--,Epsilon = 0.32,0.1
Episode,58,step,43,state,"(1, 1)",0,"(0, 1)",--,0.325,-0.551,0.304,0.048,0.301,0.109,0.131,0.218,0.231,--,22,31,14,12,7,1,7,6,5,--,Epsilon = 0.32,0.1
Episode,58,step,47,state,"(0, 1)",0,"(0, 0)",--,0.365,0.356,0.350,0.263,0.252,0.317,0.331,0.260,0.316,--,67,8,13,2,20,4,21,11,8,--,Greedy,0.4
Episode,58,step,50,state,"(0, 0)",7,"(1, 0)",--,0.183,-0.251,0.168,0.147,0.184,0.188,-0.032,0.233,0.124,--,56,29,47,78,182,152,141,96,136,--,Greedy,0.1
