 , , ,log2019-04-26_17-26-31,ep ,268,step ,81,r ,6.920
 , , ,,,s,a,s_,--,"Q[s, a0]","Q[s, a1]","Q[s, a2]","Q[s, a3]","Q[s, a4]","Q[s, a5]","Q[s, a6]","Q[s, a7]","Q[s, a8]",--,"ST[s, a0]","ST[s, a1]","ST[s, a2]","ST[s, a3]","ST[s, a4]","ST[s, a5]","ST[s, a6]","ST[s, a7]","ST[s, a8]",--,policy,reward
Episode,268,step,1,state,"(1, 0)",6,"(1, 0)",--,0.228,0.229,0.234,0.225,0.219,0.226,0.148,0.230,0.237,--,405,498,493,615,643,649,612,587,652,--,Epsilon = 0.32,0
Episode,268,step,5,state,"(1, 0)",2,"(2, 0)",--,0.228,0.229,0.234,0.230,0.219,0.226,0.186,0.230,0.237,--,405,498,493,616,643,649,614,587,653,--,Epsilon = 0.32,0.1
Episode,268,step,6,state,"(2, 0)",2,"(0, 0)",--,0.237,0.157,0.102,0.200,-0.341,0.228,0.086,0.118,0.184,--,610,536,664,763,676,501,370,337,366,--,Epsilon = 0.32,0.1
Episode,268,step,8,state,"(0, 0)",5,"(1, 0)",--,0.209,0.059,0.203,0.146,0.214,0.238,0.192,0.219,0.183,--,293,276,289,367,466,503,481,645,543,--,Greedy,0.1
Episode,268,step,9,state,"(1, 0)",8,"(2, 0)",--,0.228,0.229,0.236,0.230,0.219,0.226,0.186,0.230,0.237,--,405,498,494,616,643,649,614,587,653,--,Greedy,0.1
Episode,268,step,11,state,"(2, 0)",4,"(1, 0)",--,0.237,0.157,0.159,0.200,-0.341,0.228,0.086,0.118,0.184,--,611,536,665,763,676,501,370,337,366,--,Epsilon = 0.32,0.1
Episode,268,step,13,state,"(1, 0)",8,"(2, 0)",--,0.228,0.229,0.236,0.230,0.219,0.226,0.186,0.233,0.237,--,405,498,494,616,643,649,614,588,654,--,Greedy,0.1
Episode,268,step,15,state,"(2, 0)",0,"(1, 0)",--,0.237,0.157,0.159,0.200,-0.098,0.228,0.086,0.118,0.184,--,612,536,665,763,677,501,370,337,366,--,Greedy,0.1
Episode,268,step,17,state,"(1, 0)",7,"(2, 0)",--,0.228,0.229,0.236,0.230,0.219,0.226,0.186,0.233,0.238,--,405,498,494,616,643,649,614,588,656,--,Epsilon = 0.32,0.1
Episode,268,step,19,state,"(2, 0)",3,"(1, 0)",--,0.238,0.157,0.159,0.200,-0.098,0.228,0.086,0.118,0.184,--,614,536,665,763,677,501,370,337,366,--,Epsilon = 0.32,0.1
Episode,268,step,21,state,"(1, 0)",8,"(2, 0)",--,0.228,0.229,0.236,0.230,0.219,0.226,0.186,0.235,0.238,--,405,498,494,616,643,649,614,589,657,--,Greedy,0.1
Episode,268,step,23,state,"(2, 0)",0,"(1, 0)",--,0.238,0.157,0.159,0.216,-0.098,0.228,0.086,0.118,0.184,--,615,536,665,764,677,501,370,337,366,--,Greedy,0.1
Episode,268,step,24,state,"(1, 0)",2,"(0, 1)",--,0.228,0.229,0.236,0.230,0.219,0.226,0.186,0.235,0.238,--,405,498,494,616,643,649,614,589,658,--,Epsilon = 0.32,-0.12
Episode,268,step,25,state,"(0, 1)",0,"(0, 0)",--,0.452,0.313,0.381,0.052,-0.260,0.293,0.277,0.282,0.248,--,74,130,97,152,76,52,72,47,56,--,Greedy,0.4
Episode,268,step,28,state,"(0, 0)",5,"(1, 0)",--,0.209,0.059,0.203,0.146,0.214,0.238,0.192,0.219,0.183,--,293,276,289,367,466,506,481,645,543,--,Greedy,0.1
Episode,268,step,29,state,"(1, 0)",7,"(2, 0)",--,0.228,0.229,0.196,0.230,0.219,0.226,0.186,0.235,0.238,--,405,498,495,616,643,649,614,589,658,--,Epsilon = 0.32,0.1
