 , , ,log2019-04-25_09-56-57,ep ,234,step ,168,r ,-15.690
 , , ,,,s,a,s_,--,"Q[s, a0]","Q[s, a1]","Q[s, a2]","Q[s, a3]","Q[s, a4]","Q[s, a5]","Q[s, a6]","Q[s, a7]","Q[s, a8]",--,"ST[s, a0]","ST[s, a1]","ST[s, a2]","ST[s, a3]","ST[s, a4]","ST[s, a5]","ST[s, a6]","ST[s, a7]","ST[s, a8]",--,policy,reward
Episode,234,step,1,state,"(1, 0)",2,"(1, 0)",--,0.221,0.232,0.237,0.229,0.233,0.200,0.236,0.237,0.211,--,454,296,518,495,686,546,587,616,518,--,Greedy,0
Episode,234,step,4,state,"(1, 0)",3,"(2, 0)",--,0.221,0.232,0.237,0.229,0.233,0.200,0.236,0.237,0.222,--,454,296,520,495,686,546,587,616,519,--,Epsilon = 0.32,0.1
Episode,234,step,6,state,"(2, 0)",1,"(1, 0)",--,0.210,0.233,0.180,0.201,0.204,0.179,0.127,0.211,0.229,--,460,724,624,616,454,389,362,332,247,--,Greedy,0.1
Episode,234,step,7,state,"(1, 0)",2,"(0, 0)",--,0.221,0.232,0.237,0.231,0.233,0.200,0.236,0.237,0.222,--,454,296,520,496,686,546,587,616,519,--,Greedy,0.1
Episode,234,step,12,state,"(0, 0)",1,"(0, 4)",--,0.174,0.224,0.220,0.185,0.183,0.192,0.208,0.146,0.196,--,201,187,192,301,548,471,459,558,377,--,Greedy,-0.12
Episode,234,step,13,state,"(0, 4)",7,"(0, 20)",--,0.051,0.050,0.031,0.049,0.018,0.053,0.067,0.119,0.047,--,12,28,14,25,29,34,10,60,49,--,Greedy,-0.12
Episode,234,step,14,state,"(0, 20)",5,"(1, 20)",--,-0.385,0.253,0.205,0.217,0.258,0.255,0.253,0.076,0.252,--,95,75,57,53,125,133,65,197,172,--,Epsilon = 0.32,0.1
Episode,234,step,16,state,"(1, 20)",6,"(2, 20)",--,0.254,0.092,0.250,0.233,-0.016,0.117,0.256,0.201,0.249,--,53,71,60,61,106,130,226,147,218,--,Greedy,0.1
Episode,234,step,21,state,"(2, 20)",5,"(1, 20)",--,0.264,0.261,0.112,0.263,0.215,0.269,0.148,0.261,0.035,--,173,172,180,165,183,321,181,238,206,--,Greedy,0.1
Episode,234,step,22,state,"(1, 20)",6,"(2, 20)",--,0.254,0.092,0.250,0.233,-0.016,0.117,0.259,0.201,0.249,--,53,71,60,61,106,130,227,147,218,--,Greedy,0.1
Episode,234,step,24,state,"(2, 20)",3,"(0, 20)",--,0.259,0.261,0.112,0.263,0.215,0.261,0.148,0.261,0.035,--,174,172,180,165,183,322,181,238,206,--,Greedy,0.1
Episode,234,step,26,state,"(0, 20)",7,"(1, 20)",--,-0.385,0.253,0.205,0.217,0.255,0.252,0.253,0.076,0.252,--,95,75,57,53,126,134,65,197,172,--,Epsilon = 0.32,0.1
Episode,234,step,27,state,"(1, 20)",6,"(2, 20)",--,0.254,0.092,0.250,0.233,-0.016,0.117,0.257,0.201,0.249,--,53,71,60,61,106,130,228,147,218,--,Greedy,0.1
Episode,234,step,29,state,"(2, 20)",1,"(1, 20)",--,0.259,0.261,0.112,0.255,0.215,0.261,0.148,0.261,0.035,--,174,172,180,167,183,322,181,238,206,--,Greedy,0.1
Episode,234,step,32,state,"(1, 20)",1,"(0, 20)",--,0.252,0.092,0.250,0.233,-0.016,0.117,0.252,0.201,0.249,--,54,71,60,61,106,130,230,147,218,--,Epsilon = 0.32,0.1
Episode,234,step,34,state,"(0, 20)",6,"(1, 20)",--,-0.385,0.253,0.205,0.217,0.252,0.252,0.253,0.149,0.252,--,95,75,57,53,127,134,65,198,172,--,Greedy,0.1
Episode,234,step,35,state,"(1, 20)",0,"(0, 20)",--,0.252,0.157,0.250,0.233,-0.016,0.117,0.252,0.201,0.249,--,54,72,60,61,106,130,230,147,218,--,Epsilon = 0.32,0.1
Episode,234,step,38,state,"(0, 20)",8,"(1, 20)",--,-0.385,0.250,0.205,0.217,0.252,0.250,0.250,0.149,0.252,--,95,76,57,53,127,135,66,198,172,--,Greedy,0.1
Episode,234,step,39,state,"(1, 20)",6,"(2, 24)",--,0.249,0.157,0.250,0.233,-0.016,0.117,0.252,0.201,0.249,--,55,72,60,61,106,130,230,147,218,--,Greedy,-0.8
Episode,234,step,41,state,"(2, 24)",1,"(2, 20)",--,0.464,0.831,0.342,0.637,0.006,0.484,0.114,0.106,0.430,--,8,4,2,13,2,17,1,5,2,--,Greedy,0.8
Episode,234,step,45,state,"(2, 20)",5,"(1, 20)",--,0.255,0.256,0.112,0.255,0.215,0.257,0.148,0.257,0.035,--,175,173,180,167,183,323,181,239,206,--,Greedy,0.1
Episode,234,step,46,state,"(1, 20)",7,"(2, 20)",--,0.249,0.157,0.250,0.233,-0.016,0.117,0.012,0.201,0.249,--,55,72,60,61,106,130,231,147,218,--,Epsilon = 0.32,0.1
Episode,234,step,50,state,"(2, 20)",0,"(1, 20)",--,0.255,0.252,0.112,0.255,0.229,0.252,0.148,0.254,0.035,--,175,174,180,167,184,324,181,240,206,--,Greedy,0.1
Episode,234,step,51,state,"(1, 20)",2,"(0, 20)",--,0.249,0.157,0.250,0.233,-0.016,0.117,0.012,0.221,0.249,--,55,72,60,61,106,130,231,148,218,--,Greedy,0.1
