 , , ,log2019-04-26_17-06-46,ep ,138,step ,43,r ,-2.490
 , , ,,,s,a,s_,--,"Q[s, a0]","Q[s, a1]","Q[s, a2]","Q[s, a3]","Q[s, a4]","Q[s, a5]","Q[s, a6]","Q[s, a7]","Q[s, a8]",--,"ST[s, a0]","ST[s, a1]","ST[s, a2]","ST[s, a3]","ST[s, a4]","ST[s, a5]","ST[s, a6]","ST[s, a7]","ST[s, a8]",--,policy,reward
Episode,138,step,1,state,"(1, 0)",1,"(1, 0)",--,0.214,0.226,0.157,0.214,0.147,0.118,0.220,0.144,0.225,--,184,247,252,358,418,380,298,336,284,--,Greedy,0
Episode,138,step,4,state,"(1, 0)",1,"(0, 0)",--,0.214,0.230,0.157,0.214,0.147,0.118,0.220,0.144,0.225,--,184,250,252,358,418,380,298,336,284,--,Greedy,0.1
Episode,138,step,7,state,"(0, 0)",4,"(1, 0)",--,0.186,0.193,0.206,0.111,0.230,0.105,0.199,-0.036,0.027,--,124,144,151,255,245,240,231,312,322,--,Greedy,0.1
Episode,138,step,8,state,"(1, 0)",1,"(0, 4)",--,0.214,0.230,0.157,0.214,0.147,0.118,0.220,0.144,0.225,--,184,251,252,358,418,380,298,336,284,--,Greedy,-0.12
Episode,138,step,10,state,"(0, 4)",3,"(0, 20)",--,0.038,0.075,0.066,0.184,0.039,0.060,0.057,0.010,0.061,--,9,21,26,18,23,27,21,2,15,--,Greedy,-0.12
Episode,138,step,11,state,"(0, 20)",7,"(1, 20)",--,0.252,0.224,0.209,0.258,0.123,0.253,0.247,0.319,0.230,--,36,24,34,41,35,50,33,123,127,--,Greedy,0.1
Episode,138,step,12,state,"(1, 20)",1,"(0, 20)",--,0.310,0.271,0.289,0.282,0.280,0.276,0.211,-0.255,-0.150,--,22,18,28,36,32,68,65,129,101,--,Epsilon = 0.32,0.1
Episode,138,step,13,state,"(0, 20)",7,"(1, 20)",--,0.252,0.224,0.209,0.258,0.123,0.253,0.247,0.303,0.230,--,36,24,34,41,35,50,33,124,127,--,Epsilon = 0.32,0.1
Episode,138,step,17,state,"(1, 20)",2,"(0, 20)",--,0.287,0.273,0.289,0.282,0.280,0.275,0.211,-0.255,-0.150,--,24,19,28,36,32,69,65,129,101,--,Greedy,0.1
Episode,138,step,21,state,"(0, 20)",7,"(1, 20)",--,0.257,0.224,0.209,0.258,0.123,0.258,0.247,0.283,0.230,--,37,24,34,41,35,51,33,126,127,--,Greedy,0.1
Episode,138,step,23,state,"(1, 20)",3,"(0, 24)",--,0.278,0.273,0.281,0.282,0.280,0.275,0.211,-0.255,-0.150,--,25,19,29,36,32,69,65,129,101,--,Greedy,-0.8
Episode,138,step,24,state,"(0, 24)",7,"(1, 40)",--,-0.305,-0.192,-0.173,-0.192,-0.220,-0.193,-0.180,-0.008,-0.171,--,2,1,1,1,2,1,1,0,1,--,Greedy,-0.4
Episode,138,step,25,state,"(1, 40)",7,"(2, 40)",--,-0.235,-0.247,-0.177,-0.157,-0.510,-0.533,-0.372,-0.142,-0.215,--,4,2,2,2,3,6,5,2,4,--,Greedy,-0.2
Episode,138,step,27,state,"(2, 40)",1,"(1, 40)",--,-0.323,-0.113,-0.332,-0.220,-0.216,-0.553,-0.213,-0.509,-0.408,--,6,5,2,9,5,17,3,6,4,--,Greedy,-0.2
Episode,138,step,28,state,"(1, 40)",3,"(0, 40)",--,-0.235,-0.247,-0.177,-0.157,-0.510,-0.533,-0.372,-0.175,-0.215,--,4,2,2,2,3,6,5,3,4,--,Greedy,-0.2
Episode,138,step,29,state,"(0, 40)",3,"(0, 41)",--,-0.257,-0.228,-0.201,-0.197,-0.423,-0.239,-0.219,-0.253,-0.493,--,4,3,2,3,1,3,4,4,5,--,Greedy,-0.2
Episode,138,step,31,state,"(0, 41)",8,"(1, 41)",--,-0.426,-0.443,-0.608,-0.484,-0.383,-0.371,-0.565,-0.360,-0.358,--,5,14,11,8,10,15,5,18,14,--,Greedy,-0.2
Episode,138,step,33,state,"(1, 41)",0,"(0, 41)",--,-0.373,-0.555,-0.364,-0.476,-0.353,-0.359,-0.478,-0.632,-0.435,--,7,6,7,8,6,7,6,18,7,--,Epsilon = 0.32,-0.2
Episode,138,step,35,state,"(0, 41)",5,"(1, 34)",--,-0.426,-0.443,-0.608,-0.484,-0.383,-0.371,-0.565,-0.380,-0.377,--,5,14,11,8,10,15,5,19,15,--,Greedy,-0.2
Episode,138,step,36,state,"(1, 34)",2,"(1, 2)",--,-0.006,-0.005,-0.003,-0.004,-0.003,-0.005,-0.006,-0.009,-0.007,--,0,0,0,0,0,0,0,0,0,--,Greedy,0.15
Episode,138,step,37,state,"(1, 2)",0,"(0, 2)",--,-0.047,-0.135,-0.239,-0.217,-0.129,-0.169,-0.556,-0.198,-0.270,--,7,17,6,10,9,7,3,15,6,--,Greedy,-0.2
Episode,138,step,41,state,"(0, 2)",4,"(1, 0)",--,-0.024,0.048,-0.500,-0.260,0.073,-0.259,-0.344,-0.320,-0.156,--,11,27,9,4,43,8,19,4,9,--,Greedy,0.8
Episode,138,step,42,state,"(1, 0)",8,"(2, 0)",--,0.214,0.125,0.157,0.214,0.147,0.118,0.220,0.144,0.225,--,184,252,252,358,418,380,298,336,284,--,Greedy,0.1
Episode,138,step,43,state,"(2, 0)",4,"(2, 0)",--,0.202,0.190,0.188,0.201,0.222,0.170,0.210,0.117,0.205,--,299,221,389,384,328,295,190,162,166,--,Greedy,-1
end
