 , , ,log2019-04-25_10-07-51,ep ,296,step ,31,r ,-1.220
 , , ,,,s,a,s_,--,"Q[s, a0]","Q[s, a1]","Q[s, a2]","Q[s, a3]","Q[s, a4]","Q[s, a5]","Q[s, a6]","Q[s, a7]","Q[s, a8]",--,"ST[s, a0]","ST[s, a1]","ST[s, a2]","ST[s, a3]","ST[s, a4]","ST[s, a5]","ST[s, a6]","ST[s, a7]","ST[s, a8]",--,policy,reward
Episode,296,step,1,state,"(1, 0)",3,"(1, 0)",--,0.233,-0.040,0.223,0.234,0.080,0.224,0.161,0.233,0.232,--,550,440,631,666,911,718,675,769,675,--,Epsilon = 0.32,0
Episode,296,step,5,state,"(1, 0)",0,"(0, 0)",--,0.233,-0.040,0.223,0.235,0.080,0.229,0.161,0.233,0.232,--,550,440,631,669,911,719,675,769,675,--,Epsilon = 0.32,0.1
Episode,296,step,7,state,"(0, 0)",8,"(2, 0)",--,0.202,0.167,0.228,0.117,0.209,0.180,0.219,0.207,0.237,--,251,255,278,414,661,604,622,702,525,--,Greedy,0.1
Episode,296,step,14,state,"(2, 0)",8,"(2, 1)",--,0.190,0.217,0.084,0.105,0.162,0.178,0.141,0.222,0.227,--,576,899,769,808,632,450,455,411,345,--,Greedy,-0.12
Episode,296,step,16,state,"(2, 1)",3,"(1, 1)",--,-0.246,-0.369,-0.127,0.200,-0.312,-0.215,-0.134,-0.050,-0.272,--,87,130,70,159,104,82,90,89,54,--,Greedy,0.1
Episode,296,step,19,state,"(1, 1)",5,"(2, 1)",--,-0.217,-0.111,-0.069,0.200,0.057,0.225,0.180,0.143,0.126,--,97,112,110,28,22,64,42,32,33,--,Greedy,0.1
Episode,296,step,21,state,"(2, 1)",3,"(1, 2)",--,-0.246,-0.369,-0.127,0.216,-0.312,-0.215,-0.134,-0.050,-0.272,--,87,130,70,161,104,82,90,89,54,--,Greedy,-0.8
Episode,296,step,25,state,"(1, 2)",5,"(2, 2)",--,-0.545,-0.662,-0.238,-0.461,-0.333,-0.402,-0.379,-0.252,-0.434,--,21,47,15,8,30,13,16,20,31,--,Epsilon = 0.32,-0.2
Episode,296,step,26,state,"(2, 2)",5,"(2, 18)",--,-0.786,-0.304,-0.548,-0.438,-0.358,-0.406,-0.438,-0.506,-0.548,--,25,29,55,22,44,24,31,53,64,--,Epsilon = 0.32,-0.2
Episode,296,step,27,state,"(2, 18)",8,"(2, 20)",--,-0.156,-0.088,-0.168,-0.144,-0.134,-0.130,-0.087,-0.125,0.028,--,2,6,5,2,1,1,1,3,7,--,Greedy,0.8
Episode,296,step,29,state,"(2, 20)",2,"(2, 40)",--,0.338,0.284,0.337,0.299,0.332,0.314,0.267,0.514,0.365,--,220,195,221,211,242,391,235,256,301,--,Epsilon = 0.32,-0.8
Episode,296,step,31,state,"(2, 40)",2,"(2, 0)",--,-0.113,-0.637,-0.222,-0.288,-0.212,-0.258,-0.195,-0.214,-0.197,--,24,27,16,11,31,25,46,60,18,--,Epsilon = 0.32,-1
end
