 , , ,log2019-04-26_17-17-26,ep ,211,step ,164,r ,14.360
 , , ,,,s,a,s_,--,"Q[s, a0]","Q[s, a1]","Q[s, a2]","Q[s, a3]","Q[s, a4]","Q[s, a5]","Q[s, a6]","Q[s, a7]","Q[s, a8]",--,"ST[s, a0]","ST[s, a1]","ST[s, a2]","ST[s, a3]","ST[s, a4]","ST[s, a5]","ST[s, a6]","ST[s, a7]","ST[s, a8]",--,policy,reward
Episode,211,step,1,state,"(1, 0)",1,"(1, 0)",--,0.069,0.225,0.143,0.176,0.131,0.210,0.190,-0.227,0.192,--,284,335,357,534,541,510,475,500,502,--,Greedy,0
Episode,211,step,4,state,"(1, 0)",1,"(0, 0)",--,0.069,0.227,0.143,0.176,0.131,0.219,0.190,-0.227,0.192,--,284,337,357,534,541,511,475,500,502,--,Greedy,0.1
Episode,211,step,7,state,"(0, 0)",3,"(0, 20)",--,0.220,0.183,0.050,0.174,0.112,0.127,0.187,0.167,0.180,--,205,206,231,301,393,383,381,471,378,--,Epsilon = 0.32,-0.12
Episode,211,step,10,state,"(0, 20)",6,"(1, 20)",--,0.161,0.269,0.255,0.185,0.260,0.265,0.303,0.268,0.114,--,47,38,57,58,41,112,84,141,167,--,Epsilon = 0.32,0.1
Episode,211,step,11,state,"(1, 20)",8,"(2, 20)",--,0.162,-0.026,-0.186,0.122,0.249,0.227,0.239,0.116,0.349,--,32,28,37,45,38,93,72,144,167,--,Greedy,0.1
Episode,211,step,14,state,"(2, 20)",8,"(2, 0)",--,0.325,0.325,0.369,0.288,0.335,0.360,0.326,0.386,0.420,--,141,47,149,129,113,137,126,195,236,--,Greedy,0.4
Episode,211,step,20,state,"(2, 0)",7,"(2, 1)",--,0.217,0.219,-0.050,-0.227,0.199,0.190,0.212,0.234,0.137,--,514,423,520,592,415,450,297,251,278,--,Greedy,-0.12
Episode,211,step,22,state,"(2, 1)",1,"(1, 1)",--,0.207,0.299,0.105,-0.041,0.060,-0.162,-0.428,-0.061,-0.192,--,81,86,62,100,62,41,47,48,63,--,Greedy,0.1
Episode,211,step,26,state,"(1, 1)",2,"(0, 1)",--,-0.005,-0.040,0.157,-0.021,0.073,-0.112,-0.028,-0.040,-0.052,--,48,81,56,53,26,26,35,21,38,--,Greedy,0.1
Episode,211,step,31,state,"(0, 1)",3,"(0, 0)",--,0.358,0.334,0.220,0.299,0.370,-0.174,0.359,0.308,0.312,--,58,87,81,86,60,44,54,32,40,--,Epsilon = 0.32,0.4
Episode,211,step,43,state,"(0, 0)",2,"(0, 4)",--,0.232,0.183,0.050,0.172,0.112,0.172,0.187,0.209,0.202,--,211,206,231,303,393,384,381,473,379,--,Epsilon = 0.32,-0.12
Episode,211,step,44,state,"(0, 4)",8,"(0, 20)",--,0.067,0.044,0.056,0.066,0.047,0.064,0.049,0.114,0.143,--,13,27,32,29,25,30,31,10,34,--,Greedy,-0.12
Episode,211,step,46,state,"(0, 20)",6,"(2, 20)",--,0.161,0.269,0.255,0.185,0.260,0.265,0.291,0.268,0.114,--,47,38,57,58,41,112,86,141,167,--,Greedy,0.1
Episode,211,step,51,state,"(2, 20)",8,"(2, 4)",--,0.325,0.325,0.369,0.323,0.335,0.360,0.326,0.380,0.393,--,141,47,149,130,113,137,126,196,239,--,Greedy,0.4
Episode,211,step,52,state,"(2, 4)",7,"(2, 0)",--,0.425,0.335,0.435,0.347,0.531,0.363,0.425,0.459,0.440,--,20,37,15,31,15,39,41,71,11,--,Epsilon = 0.32,0.4
Episode,211,step,56,state,"(2, 0)",1,"(0, 0)",--,0.217,0.228,-0.050,-0.227,0.199,0.190,0.212,0.158,0.137,--,514,426,520,592,415,450,297,252,278,--,Greedy,0.1
Episode,211,step,61,state,"(0, 0)",0,"(0, 4)",--,0.235,0.183,0.013,0.198,0.112,0.172,0.187,0.209,0.202,--,214,206,232,304,393,384,381,473,379,--,Greedy,-0.12
Episode,211,step,62,state,"(0, 4)",7,"(0, 20)",--,0.067,0.044,0.056,0.066,0.047,0.064,0.049,0.114,0.106,--,13,27,32,29,25,30,31,10,35,--,Greedy,-0.12
Episode,211,step,64,state,"(0, 20)",6,"(1, 20)",--,0.161,0.269,0.255,0.185,0.260,0.265,0.309,0.268,0.114,--,47,38,57,58,41,112,88,141,167,--,Greedy,0.1
Episode,211,step,65,state,"(1, 20)",8,"(2, 20)",--,0.162,-0.026,-0.186,0.122,0.249,0.227,0.239,0.116,0.368,--,32,28,37,45,38,93,72,144,168,--,Greedy,0.1
Episode,211,step,70,state,"(2, 20)",7,"(2, 0)",--,0.325,0.325,0.369,0.335,0.335,0.360,0.326,0.380,0.399,--,141,47,149,131,113,137,126,196,243,--,Epsilon = 0.32,0.4
Episode,211,step,73,state,"(2, 0)",1,"(1, 0)",--,0.217,0.233,-0.050,-0.227,0.199,0.190,0.212,0.158,0.137,--,514,429,520,592,415,450,297,252,278,--,Greedy,0.1
