 , , ,log2019-04-26_16-59-16,ep ,93,step ,73,r ,3.580
 , , ,,,s,a,s_,--,"Q[s, a0]","Q[s, a1]","Q[s, a2]","Q[s, a3]","Q[s, a4]","Q[s, a5]","Q[s, a6]","Q[s, a7]","Q[s, a8]",--,"ST[s, a0]","ST[s, a1]","ST[s, a2]","ST[s, a3]","ST[s, a4]","ST[s, a5]","ST[s, a6]","ST[s, a7]","ST[s, a8]",--,policy,reward
Episode,93,step,1,state,"(1, 0)",5,"(1, 0)",--,0.102,0.235,0.237,0.233,0.217,0.238,0.236,0.234,0.221,--,134,185,131,162,275,293,221,206,137,--,Greedy,0
Episode,93,step,4,state,"(1, 0)",5,"(2, 0)",--,0.102,0.235,0.237,0.233,0.217,0.238,0.236,0.234,0.221,--,134,185,131,162,275,296,221,206,137,--,Greedy,0.1
Episode,93,step,9,state,"(2, 0)",2,"(1, 0)",--,0.224,0.150,0.226,0.192,0.146,0.233,0.134,0.218,0.217,--,207,110,233,271,179,199,116,124,86,--,Epsilon = 0.32,0.1
Episode,93,step,10,state,"(1, 0)",2,"(0, 0)",--,0.102,0.235,0.237,0.233,0.217,0.235,0.236,0.234,0.221,--,134,185,131,162,275,297,221,206,137,--,Greedy,0.1
Episode,93,step,11,state,"(0, 0)",7,"(1, 0)",--,0.096,0.134,0.102,0.159,0.186,0.136,0.186,0.237,0.158,--,91,92,108,173,125,148,124,168,253,--,Greedy,0.1
Episode,93,step,13,state,"(1, 0)",2,"(0, 0)",--,0.102,0.235,0.237,0.233,0.217,0.235,0.236,0.234,0.221,--,134,185,133,162,275,297,221,206,137,--,Greedy,0.1
Episode,93,step,15,state,"(0, 0)",7,"(1, 0)",--,0.096,0.134,0.102,0.159,0.186,0.136,0.186,0.237,0.158,--,91,92,108,173,125,148,124,170,253,--,Greedy,0.1
Episode,93,step,18,state,"(1, 0)",2,"(2, 0)",--,0.102,0.235,0.237,0.233,0.217,0.235,0.236,0.234,0.228,--,134,185,135,162,275,297,221,206,138,--,Greedy,0.1
Episode,93,step,19,state,"(2, 0)",5,"(1, 0)",--,0.224,0.150,0.231,0.192,0.146,0.233,0.134,0.218,0.217,--,207,110,234,271,179,199,116,124,86,--,Greedy,0.1
Episode,93,step,20,state,"(1, 0)",5,"(2, 0)",--,0.102,0.235,0.237,0.233,0.217,0.235,0.236,0.234,0.228,--,134,185,136,162,275,297,221,206,138,--,Epsilon = 0.32,0.1
Episode,93,step,29,state,"(2, 0)",2,"(0, 0)",--,0.230,0.150,0.231,0.192,0.146,0.237,0.134,0.218,0.217,--,208,110,234,271,179,207,116,124,86,--,Epsilon = 0.32,0.1
Episode,93,step,31,state,"(0, 0)",7,"(1, 0)",--,0.096,0.134,0.102,0.159,0.186,0.136,0.186,0.238,0.158,--,91,92,108,173,125,148,124,172,253,--,Greedy,0.1
Episode,93,step,33,state,"(1, 0)",1,"(0, 0)",--,0.102,0.235,0.237,0.233,0.217,0.236,0.236,0.234,0.228,--,134,185,137,162,275,298,221,206,138,--,Epsilon = 0.32,0.1
Episode,93,step,37,state,"(0, 0)",4,"(1, 0)",--,0.096,0.178,0.102,0.159,0.186,0.179,0.186,0.238,0.158,--,91,93,108,173,125,149,124,174,253,--,Epsilon = 0.32,0.1
Episode,93,step,39,state,"(1, 0)",2,"(0, 0)",--,0.102,0.236,0.237,0.233,0.217,0.236,0.236,0.234,0.228,--,134,186,138,162,275,298,221,206,138,--,Greedy,0.1
Episode,93,step,43,state,"(0, 0)",7,"(1, 0)",--,0.096,0.203,0.102,0.159,0.208,0.179,0.186,0.238,0.158,--,91,94,108,173,126,149,124,176,253,--,Greedy,0.1
Episode,93,step,45,state,"(1, 0)",2,"(0, 0)",--,0.102,0.236,0.237,0.233,0.217,0.236,0.236,0.234,0.228,--,134,186,140,162,275,298,221,206,138,--,Greedy,0.1
Episode,93,step,48,state,"(0, 0)",7,"(2, 0)",--,0.096,0.203,0.102,0.192,0.208,0.179,0.186,0.238,0.158,--,91,94,108,174,126,149,124,178,253,--,Greedy,0.1
Episode,93,step,57,state,"(2, 0)",4,"(2, 1)",--,0.230,0.150,0.234,0.192,0.184,0.238,0.177,0.218,0.231,--,208,110,235,271,180,211,117,124,88,--,Epsilon = 0.32,-0.12
Episode,93,step,58,state,"(2, 1)",0,"(1, 1)",--,0.257,-0.011,-0.341,0.040,-0.267,-0.011,-0.293,-0.277,-0.041,--,36,21,30,41,17,26,17,25,29,--,Greedy,0.1
Episode,93,step,59,state,"(1, 1)",3,"(0, 1)",--,-0.019,0.121,0.221,0.265,0.244,0.232,-0.299,-0.075,0.241,--,15,64,14,10,3,5,8,4,11,--,Greedy,0.1
Episode,93,step,61,state,"(0, 1)",6,"(2, 1)",--,-0.127,-0.115,-0.107,-0.141,-0.172,0.146,0.253,0.244,0.252,--,16,28,74,28,31,27,8,10,21,--,Greedy,0.1
Episode,93,step,66,state,"(2, 1)",0,"(0, 2)",--,0.250,-0.011,-0.341,0.040,-0.267,0.098,-0.293,-0.277,0.080,--,39,21,30,41,17,27,17,25,30,--,Greedy,-0.8
Episode,93,step,67,state,"(0, 2)",6,"(0, 1)",--,-0.258,-0.256,-0.500,-0.260,-0.258,-0.259,0.288,-0.320,-0.363,--,6,14,9,4,38,8,5,4,7,--,Greedy,0.8
Episode,93,step,68,state,"(0, 1)",8,"(1, 2)",--,-0.127,-0.115,-0.107,-0.141,-0.172,0.146,0.251,0.244,0.252,--,16,28,74,28,31,27,9,10,21,--,Greedy,-0.8
Episode,93,step,70,state,"(1, 2)",4,"(0, 2)",--,-0.241,-0.198,-0.163,-0.162,-0.105,-0.188,-0.556,-0.197,-0.191,--,5,14,4,9,3,3,3,12,3,--,Greedy,-0.2
Episode,93,step,71,state,"(0, 2)",6,"(1, 2)",--,-0.258,-0.256,-0.500,-0.260,-0.258,-0.259,0.565,-0.320,-0.363,--,6,14,9,4,38,8,6,4,7,--,Greedy,-0.2
Episode,93,step,72,state,"(1, 2)",5,"(2, 2)",--,-0.241,-0.198,-0.163,-0.162,-0.007,-0.188,-0.556,-0.197,-0.191,--,5,14,4,9,4,3,3,12,3,--,Epsilon = 0.32,-0.2
Episode,93,step,73,state,"(2, 2)",3,"(2, 2)",--,-0.471,-0.447,-0.375,-0.160,-0.403,-0.545,-0.309,-0.210,-0.266,--,7,3,4,10,3,27,11,5,7,--,Epsilon = 0.32,-1
end
