 , , ,log2019-04-26_16-55-03,ep ,63,step ,56,r ,4.480
 , , ,,,s,a,s_,--,"Q[s, a0]","Q[s, a1]","Q[s, a2]","Q[s, a3]","Q[s, a4]","Q[s, a5]","Q[s, a6]","Q[s, a7]","Q[s, a8]",--,"ST[s, a0]","ST[s, a1]","ST[s, a2]","ST[s, a3]","ST[s, a4]","ST[s, a5]","ST[s, a6]","ST[s, a7]","ST[s, a8]",--,policy,reward
Episode,63,step,1,state,"(2, 0)",3,"(2, 0)",--,0.225,0.224,0.236,0.238,-0.032,0.166,0.142,0.144,0.226,--,132,66,153,180,118,140,82,85,57,--,Greedy,0
Episode,63,step,2,state,"(2, 0)",3,"(1, 0)",--,0.225,0.224,0.236,0.238,-0.032,0.166,0.142,0.144,0.226,--,132,66,153,181,118,140,82,85,57,--,Epsilon = 0.32,0.1
Episode,63,step,3,state,"(1, 0)",6,"(2, 0)",--,0.215,0.226,0.229,0.174,0.229,0.177,0.193,0.211,0.231,--,105,138,54,103,262,173,81,142,110,--,Epsilon = 0.32,0.1
Episode,63,step,8,state,"(2, 0)",3,"(1, 0)",--,0.225,0.224,0.236,0.237,-0.032,0.166,0.142,0.144,0.233,--,132,66,153,184,118,140,82,85,59,--,Greedy,0.1
Episode,63,step,10,state,"(1, 0)",8,"(2, 0)",--,0.215,0.226,0.229,0.174,0.229,0.177,0.212,0.211,0.232,--,105,138,54,103,262,173,82,142,111,--,Greedy,0.1
Episode,63,step,12,state,"(2, 0)",2,"(1, 0)",--,0.225,0.229,0.236,0.236,-0.032,0.166,0.142,0.144,0.233,--,132,67,153,185,118,140,82,85,59,--,Greedy,0.1
Episode,63,step,13,state,"(1, 0)",2,"(0, 0)",--,0.215,0.226,0.229,0.174,0.229,0.177,0.212,0.211,0.234,--,105,138,54,103,262,173,82,142,112,--,Epsilon = 0.32,0.1
Episode,63,step,15,state,"(0, 0)",7,"(2, 0)",--,0.172,0.143,0.156,0.109,0.019,0.187,0.183,0.229,0.208,--,64,79,68,139,71,71,84,127,192,--,Greedy,0.1
Episode,63,step,17,state,"(2, 0)",2,"(0, 0)",--,0.225,0.229,0.236,0.236,-0.032,0.166,0.142,0.144,0.233,--,132,67,155,185,118,140,82,85,59,--,Greedy,0.1
Episode,63,step,18,state,"(0, 0)",7,"(1, 0)",--,0.172,0.143,0.156,0.109,0.019,0.187,0.183,0.232,0.208,--,64,79,68,139,71,71,84,128,192,--,Greedy,0.1
Episode,63,step,19,state,"(1, 0)",8,"(2, 0)",--,0.215,0.226,0.231,0.174,0.229,0.177,0.212,0.211,0.234,--,105,138,55,103,262,173,82,142,112,--,Greedy,0.1
