 , , ,log2019-04-26_17-29-44,ep ,292,step ,174,r ,11.300
 , , ,,,s,a,s_,--,"Q[s, a0]","Q[s, a1]","Q[s, a2]","Q[s, a3]","Q[s, a4]","Q[s, a5]","Q[s, a6]","Q[s, a7]","Q[s, a8]",--,"ST[s, a0]","ST[s, a1]","ST[s, a2]","ST[s, a3]","ST[s, a4]","ST[s, a5]","ST[s, a6]","ST[s, a7]","ST[s, a8]",--,policy,reward
Episode,292,step,1,state,"(1, 0)",7,"(1, 0)",--,0.234,0.231,0.235,0.234,0.216,0.234,0.141,0.140,0.231,--,426,525,530,657,660,709,686,612,721,--,Epsilon = 0.32,0
Episode,292,step,3,state,"(1, 0)",2,"(0, 0)",--,0.234,0.231,0.235,0.234,0.225,0.234,0.141,0.140,0.231,--,426,525,530,657,661,709,686,613,721,--,Greedy,0.1
Episode,292,step,4,state,"(0, 0)",7,"(1, 0)",--,0.215,0.152,0.192,0.127,0.155,0.155,0.143,0.228,0.175,--,310,282,302,379,502,539,537,677,554,--,Greedy,0.1
Episode,292,step,8,state,"(1, 0)",3,"(0, 0)",--,0.234,0.231,0.235,0.234,0.225,0.234,0.181,0.140,0.231,--,426,525,533,657,661,709,687,613,721,--,Epsilon = 0.32,0.1
Episode,292,step,9,state,"(0, 0)",7,"(1, 0)",--,0.215,0.152,0.192,0.127,0.155,0.155,0.143,0.231,0.175,--,310,282,302,379,502,539,537,678,554,--,Greedy,0.1
Episode,292,step,11,state,"(1, 0)",2,"(0, 0)",--,0.235,0.231,0.235,0.234,0.225,0.234,0.181,0.140,0.231,--,427,525,533,658,661,709,687,613,721,--,Greedy,0.1
Episode,292,step,12,state,"(0, 0)",1,"(0, 20)",--,0.215,0.152,0.192,0.127,0.155,0.155,0.143,0.234,0.175,--,310,282,302,379,502,539,537,679,554,--,Epsilon = 0.32,-0.12
Episode,292,step,18,state,"(0, 20)",8,"(1, 20)",--,0.211,0.158,0.182,0.075,0.216,0.237,0.171,0.178,0.249,--,69,57,69,66,72,140,166,180,210,--,Greedy,0.1
Episode,292,step,19,state,"(1, 20)",6,"(2, 20)",--,0.249,0.249,0.179,0.155,0.226,0.181,0.250,0.167,0.171,--,54,44,49,60,55,114,133,164,231,--,Greedy,0.1
Episode,292,step,21,state,"(2, 20)",0,"(1, 20)",--,0.339,0.258,0.253,0.257,0.179,0.038,0.258,0.257,0.255,--,158,90,189,203,160,187,214,288,286,--,Greedy,0.1
Episode,292,step,22,state,"(1, 20)",6,"(0, 20)",--,0.249,0.249,0.179,0.155,0.226,0.181,0.275,0.167,0.171,--,54,44,49,60,55,114,134,164,231,--,Greedy,0.1
Episode,292,step,23,state,"(0, 20)",8,"(2, 20)",--,0.211,0.158,0.182,0.075,0.216,0.237,0.171,0.178,0.247,--,69,57,69,66,72,140,166,180,211,--,Greedy,0.1
Episode,292,step,24,state,"(2, 20)",0,"(1, 20)",--,0.305,0.258,0.253,0.257,0.179,0.038,0.258,0.257,0.255,--,159,90,189,203,160,187,214,288,286,--,Greedy,0.1
Episode,292,step,26,state,"(1, 20)",6,"(2, 24)",--,0.249,0.249,0.179,0.155,0.226,0.181,0.257,0.167,0.171,--,54,44,49,60,55,114,136,164,231,--,Greedy,-0.8
Episode,292,step,28,state,"(2, 24)",6,"(2, 20)",--,-0.035,-0.017,0.170,0.283,-0.086,-0.004,-0.160,-0.126,0.552,--,5,1,4,4,5,0,1,2,11,--,Epsilon = 0.32,0.8
Episode,292,step,31,state,"(2, 20)",0,"(1, 20)",--,0.275,0.258,0.253,0.257,0.179,0.131,0.258,0.257,0.255,--,161,90,189,203,160,188,214,288,286,--,Greedy,0.1
Episode,292,step,32,state,"(1, 20)",2,"(0, 20)",--,0.249,0.249,0.179,0.155,0.226,0.181,0.001,0.167,0.171,--,54,44,49,60,55,114,137,164,231,--,Epsilon = 0.32,0.1
Episode,292,step,34,state,"(0, 20)",8,"(2, 20)",--,0.211,0.158,0.182,0.075,0.216,0.237,0.171,0.178,0.256,--,69,57,69,66,72,140,166,180,213,--,Greedy,0.1
Episode,292,step,35,state,"(2, 20)",0,"(1, 20)",--,0.262,0.258,0.253,0.257,0.179,0.131,0.258,0.257,0.255,--,162,90,189,203,160,188,214,288,286,--,Greedy,0.1
