 , , ,log2019-04-25_09-32-41,ep ,81,step ,39,r ,0.560
 , , ,,,s,a,s_,--,"Q[s, a0]","Q[s, a1]","Q[s, a2]","Q[s, a3]","Q[s, a4]","Q[s, a5]","Q[s, a6]","Q[s, a7]","Q[s, a8]",--,"ST[s, a0]","ST[s, a1]","ST[s, a2]","ST[s, a3]","ST[s, a4]","ST[s, a5]","ST[s, a6]","ST[s, a7]","ST[s, a8]",--,policy,reward
Episode,81,step,1,state,"(1, 0)",7,"(1, 0)",--,0.160,0.235,0.187,0.189,0.223,0.133,0.207,0.237,0.219,--,186,130,187,121,195,198,248,171,201,--,Greedy,0
Episode,81,step,3,state,"(1, 0)",7,"(2, 0)",--,0.160,0.235,0.208,0.189,0.223,0.133,0.207,0.237,0.219,--,186,130,188,121,195,198,248,172,201,--,Greedy,0.1
Episode,81,step,5,state,"(2, 0)",3,"(1, 0)",--,0.221,0.213,0.207,0.230,-0.276,0.207,0.124,0.129,0.218,--,181,202,206,228,229,184,117,102,98,--,Greedy,0.1
Episode,81,step,7,state,"(1, 0)",7,"(2, 0)",--,0.160,0.235,0.208,0.189,0.223,0.177,0.207,0.237,0.219,--,186,130,188,121,195,199,248,173,201,--,Greedy,0.1
Episode,81,step,11,state,"(2, 0)",8,"(1, 0)",--,0.221,0.213,0.207,0.235,-0.276,0.207,0.124,0.174,0.218,--,181,202,206,231,229,184,117,103,98,--,Epsilon = 0.32,0.1
Episode,81,step,12,state,"(1, 0)",6,"(2, 0)",--,0.160,0.235,0.208,0.189,0.223,0.177,0.207,0.236,0.219,--,186,130,188,121,195,199,248,174,201,--,Epsilon = 0.32,0.1
Episode,81,step,16,state,"(2, 0)",0,"(1, 0)",--,0.221,0.213,0.207,0.235,-0.276,0.207,0.171,0.200,0.226,--,181,202,206,232,229,184,118,104,99,--,Epsilon = 0.32,0.1
Episode,81,step,17,state,"(1, 0)",7,"(1, 1)",--,0.160,0.235,0.208,0.189,0.223,0.177,0.220,0.236,0.219,--,186,130,188,121,195,199,249,174,201,--,Greedy,-0.12
Episode,81,step,19,state,"(1, 1)",1,"(0, 1)",--,0.047,0.306,0.030,0.114,0.020,0.002,0.086,-0.180,0.001,--,33,59,16,15,12,10,10,12,9,--,Greedy,0.1
Episode,81,step,21,state,"(0, 1)",8,"(2, 0)",--,0.129,0.219,-0.110,0.286,0.336,0.258,0.250,0.250,0.432,--,78,14,23,9,41,14,29,12,17,--,Greedy,0.4
Episode,81,step,22,state,"(2, 0)",1,"(2, 1)",--,0.228,0.213,0.207,0.235,-0.276,0.207,0.171,0.200,0.226,--,182,202,206,232,229,184,118,104,99,--,Epsilon = 0.32,-0.12
Episode,81,step,23,state,"(2, 1)",4,"(1, 1)",--,-0.331,-0.015,-0.209,0.093,0.127,0.007,0.118,-0.180,-0.011,--,12,30,20,79,9,35,26,7,11,--,Greedy,0.1
Episode,81,step,24,state,"(1, 1)",0,"(0, 1)",--,0.047,0.335,0.030,0.114,0.020,0.002,0.086,-0.180,0.001,--,33,60,16,15,12,10,10,12,9,--,Epsilon = 0.32,0.1
Episode,81,step,27,state,"(0, 1)",8,"(2, 1)",--,0.129,0.219,-0.110,0.286,0.336,0.308,0.250,0.250,0.434,--,78,14,23,9,41,15,29,12,19,--,Greedy,0.1
Episode,81,step,30,state,"(2, 1)",4,"(2, 2)",--,-0.331,-0.015,-0.209,0.093,0.205,0.007,0.158,-0.180,-0.011,--,12,30,20,79,11,35,27,7,11,--,Greedy,-0.8
Episode,81,step,34,state,"(2, 2)",1,"(1, 2)",--,-0.387,-0.197,-0.013,-0.212,0.045,-0.235,-0.126,-0.134,-0.136,--,3,3,20,3,14,4,17,9,9,--,Epsilon = 0.32,-0.2
Episode,81,step,35,state,"(1, 2)",6,"(0, 2)",--,-0.472,-0.221,-0.389,-0.504,-0.211,-0.290,-0.182,-0.299,-0.317,--,5,19,3,2,5,7,4,4,10,--,Greedy,-0.2
Episode,81,step,36,state,"(0, 2)",6,"(1, 2)",--,-0.257,-0.290,-0.460,-0.264,-0.453,-0.298,-0.218,-0.364,-0.456,--,5,10,16,6,19,6,13,2,5,--,Greedy,-0.2
Episode,81,step,37,state,"(1, 2)",4,"(2, 0)",--,-0.472,-0.221,-0.389,-0.504,-0.211,-0.290,-0.243,-0.299,-0.317,--,5,19,3,2,5,7,5,4,10,--,Greedy,0.8
Episode,81,step,38,state,"(2, 0)",3,"(1, 0)",--,0.228,0.104,0.207,0.235,-0.276,0.207,0.171,0.200,0.226,--,182,203,206,232,229,184,118,104,99,--,Greedy,0.1
Episode,81,step,39,state,"(1, 0)",1,"(2, 16)",--,0.160,0.235,0.208,0.189,0.223,0.177,0.220,0.165,0.219,--,186,130,188,121,195,199,249,175,201,--,Greedy,-1
end
