 , , ,log2019-04-26_16-56-22,ep ,72,step ,46,r ,-1.390
 , , ,,,s,a,s_,--,"Q[s, a0]","Q[s, a1]","Q[s, a2]","Q[s, a3]","Q[s, a4]","Q[s, a5]","Q[s, a6]","Q[s, a7]","Q[s, a8]",--,"ST[s, a0]","ST[s, a1]","ST[s, a2]","ST[s, a3]","ST[s, a4]","ST[s, a5]","ST[s, a6]","ST[s, a7]","ST[s, a8]",--,policy,reward
Episode,72,step,1,state,"(1, 0)",6,"(1, 0)",--,-0.036,0.196,0.232,0.236,0.234,0.169,0.238,0.225,0.161,--,112,154,99,120,265,225,123,158,118,--,Greedy,0
Episode,72,step,5,state,"(1, 0)",2,"(0, 0)",--,-0.036,0.196,0.232,0.237,0.234,0.169,0.238,0.225,0.161,--,112,154,99,123,265,225,124,158,118,--,Epsilon = 0.32,0.1
Episode,72,step,9,state,"(0, 0)",1,"(0, 4)",--,0.110,0.202,0.185,0.109,-0.239,0.183,0.151,0.166,-0.242,--,76,89,76,139,78,111,105,143,218,--,Greedy,-0.12
Episode,72,step,10,state,"(0, 4)",1,"(0, 20)",--,0.032,0.090,0.058,0.042,0.051,-0.057,0.040,-0.031,0.048,--,5,16,12,6,21,24,3,1,3,--,Greedy,-0.12
Episode,72,step,13,state,"(0, 20)",8,"(1, 20)",--,0.249,0.255,0.253,0.253,-0.080,0.254,0.179,-0.178,0.256,--,29,18,26,28,12,30,21,77,82,--,Greedy,0.1
Episode,72,step,16,state,"(1, 20)",8,"(2, 20)",--,0.256,0.278,0.281,0.275,0.282,0.271,0.274,0.302,0.280,--,18,11,17,23,20,60,45,106,13,--,Epsilon = 0.32,0.1
Episode,72,step,18,state,"(2, 20)",3,"(1, 20)",--,0.282,0.290,0.291,0.293,0.270,0.286,-0.200,0.280,0.270,--,60,14,73,70,24,49,33,63,92,--,Greedy,0.1
Episode,72,step,19,state,"(1, 20)",7,"(2, 20)",--,0.256,0.278,0.281,0.275,0.282,0.271,0.274,0.302,0.279,--,18,11,17,23,20,60,45,106,14,--,Greedy,0.1
Episode,72,step,20,state,"(2, 20)",2,"(1, 20)",--,0.282,0.290,0.291,0.286,0.270,0.286,-0.200,0.280,0.270,--,60,14,73,71,24,49,33,63,92,--,Greedy,0.1
Episode,72,step,23,state,"(1, 20)",4,"(0, 20)",--,0.256,0.272,0.281,0.275,0.282,0.271,0.274,0.279,0.279,--,18,12,17,23,20,60,45,108,14,--,Greedy,0.1
Episode,72,step,24,state,"(0, 20)",8,"(1, 20)",--,0.249,0.255,0.253,0.253,-0.080,0.254,0.179,-0.178,0.267,--,29,18,26,28,12,30,21,77,83,--,Greedy,0.1
Episode,72,step,25,state,"(1, 20)",2,"(2, 20)",--,0.256,0.272,0.281,0.275,0.271,0.271,0.274,0.279,0.279,--,18,12,17,23,21,60,45,108,14,--,Greedy,0.1
Episode,72,step,26,state,"(2, 20)",1,"(0, 20)",--,0.282,0.290,0.281,0.286,0.270,0.286,-0.200,0.280,0.270,--,60,14,74,71,24,49,33,63,92,--,Greedy,0.1
Episode,72,step,28,state,"(0, 20)",1,"(0, 40)",--,0.251,0.255,0.253,0.253,-0.080,0.254,0.179,-0.178,0.266,--,30,18,26,28,12,30,21,77,84,--,Epsilon = 0.32,-0.8
Episode,72,step,29,state,"(0, 40)",7,"(0, 41)",--,-0.174,-0.174,-0.201,-0.197,-0.423,-0.189,-0.172,-0.158,-0.293,--,3,2,2,3,1,2,2,2,4,--,Greedy,-0.2
Episode,72,step,32,state,"(0, 41)",8,"(1, 41)",--,-0.426,-0.482,-0.323,-0.484,-0.323,-0.346,-0.565,-0.327,-0.348,--,5,13,10,8,5,11,5,16,13,--,Epsilon = 0.32,-0.2
Episode,72,step,33,state,"(1, 41)",7,"(2, 41)",--,-0.324,-0.555,-0.305,-0.322,-0.295,-0.341,-0.560,-0.313,-0.435,--,5,6,5,5,4,6,5,8,7,--,Epsilon = 0.32,-0.2
Episode,72,step,35,state,"(2, 41)",2,"(1, 41)",--,-0.333,-0.299,-0.152,-0.339,-0.314,-0.302,-0.339,-0.314,-0.292,--,8,8,12,11,6,5,8,6,5,--,Greedy,-0.2
Episode,72,step,37,state,"(1, 41)",3,"(1, 33)",--,-0.324,-0.555,-0.305,-0.322,-0.295,-0.341,-0.478,-0.286,-0.435,--,5,6,5,5,4,6,6,9,7,--,Epsilon = 0.32,0.15
Episode,72,step,38,state,"(1, 33)",2,"(1, 2)",--,-0.003,0.422,0.447,-0.009,-0.006,-0.001,-0.006,-0.007,-0.008,--,0,1,1,0,0,0,0,0,0,--,Greedy,-0.2
Episode,72,step,39,state,"(1, 2)",3,"(0, 2)",--,-0.142,-0.136,-0.163,0.340,-0.158,-0.188,-0.167,-0.126,-0.135,--,3,13,4,5,2,3,2,5,2,--,Greedy,-0.2
Episode,72,step,42,state,"(0, 2)",4,"(1, 2)",--,-0.246,-0.144,-0.500,-0.214,-0.069,-0.128,-0.207,-0.320,-0.363,--,5,7,9,3,34,4,3,4,7,--,Greedy,-0.2
Episode,72,step,44,state,"(1, 2)",7,"(2, 0)",--,-0.142,-0.136,-0.163,0.034,-0.158,-0.188,-0.167,-0.126,-0.135,--,3,13,4,7,2,3,2,5,2,--,Epsilon = 0.32,0.8
Episode,72,step,46,state,"(2, 0)",1,"(0, 0)",--,0.170,0.232,0.198,0.081,0.147,0.196,0.164,0.218,0.173,--,138,97,199,215,120,141,89,88,69,--,Greedy,-1
end
