 , , ,log2019-04-26_17-22-48,ep ,244,step ,36,r ,-1.160
 , , ,,,s,a,s_,--,"Q[s, a0]","Q[s, a1]","Q[s, a2]","Q[s, a3]","Q[s, a4]","Q[s, a5]","Q[s, a6]","Q[s, a7]","Q[s, a8]",--,"ST[s, a0]","ST[s, a1]","ST[s, a2]","ST[s, a3]","ST[s, a4]","ST[s, a5]","ST[s, a6]","ST[s, a7]","ST[s, a8]",--,policy,reward
Episode,244,step,1,state,"(1, 0)",0,"(0, 0)",--,0.237,0.225,0.235,0.227,0.192,0.231,0.233,0.219,0.222,--,345,473,440,577,596,621,564,526,583,--,Greedy,0
Episode,244,step,5,state,"(0, 0)",4,"(1, 0)",--,0.106,0.150,0.140,0.128,0.081,0.207,0.179,0.173,-0.038,--,264,256,262,343,453,472,426,587,488,--,Epsilon = 0.32,0.1
Episode,244,step,6,state,"(1, 0)",2,"(0, 0)",--,0.185,0.225,0.235,0.227,0.192,0.231,0.233,0.219,0.222,--,346,473,440,577,596,621,564,526,583,--,Greedy,0.1
Episode,244,step,7,state,"(0, 0)",5,"(0, 4)",--,0.106,0.150,0.140,0.128,0.147,0.207,0.179,0.173,-0.038,--,264,256,262,343,454,472,426,587,488,--,Greedy,-0.12
Episode,244,step,8,state,"(0, 4)",5,"(1, 4)",--,0.062,0.069,0.056,0.074,0.064,0.264,0.047,0.068,0.071,--,15,31,32,42,27,34,32,13,56,--,Greedy,0.1
Episode,244,step,9,state,"(1, 4)",5,"(2, 4)",--,0.172,0.174,0.179,0.152,0.180,0.328,0.182,0.325,0.215,--,8,4,15,3,6,22,90,20,5,--,Greedy,0.1
Episode,244,step,10,state,"(2, 4)",7,"(2, 0)",--,0.471,0.420,0.435,0.347,0.354,0.479,0.442,0.512,0.494,--,21,38,15,31,21,41,45,81,48,--,Greedy,0.4
Episode,244,step,17,state,"(2, 0)",8,"(2, 1)",--,-0.225,0.167,-0.046,0.180,0.100,0.069,0.074,0.061,0.213,--,590,489,615,670,584,480,352,310,336,--,Greedy,-0.12
Episode,244,step,20,state,"(2, 1)",3,"(1, 1)",--,0.041,-0.205,-0.175,-0.297,0.209,-0.059,-0.085,-0.459,-0.245,--,88,100,99,108,84,42,54,53,76,--,Epsilon = 0.32,0.1
Episode,244,step,21,state,"(1, 1)",2,"(0, 1)",--,0.194,0.233,0.338,-0.143,0.073,0.156,0.180,0.243,0.109,--,50,84,100,56,26,28,37,27,40,--,Greedy,0.1
Episode,244,step,24,state,"(0, 1)",3,"(1, 1)",--,0.269,0.338,0.313,0.402,0.011,0.257,0.271,0.316,0.003,--,65,124,85,115,71,48,66,43,53,--,Greedy,0.1
Episode,244,step,25,state,"(1, 1)",3,"(0, 2)",--,0.194,0.233,0.344,-0.143,0.073,0.156,0.180,0.243,0.109,--,50,84,101,56,26,28,37,27,40,--,Epsilon = 0.32,-0.8
Episode,244,step,26,state,"(0, 2)",6,"(1, 2)",--,-0.351,-0.479,-0.312,-0.660,-0.533,-0.415,0.025,-0.328,-0.538,--,21,36,51,19,57,17,34,18,27,--,Greedy,-0.2
Episode,244,step,27,state,"(1, 2)",6,"(2, 2)",--,-0.262,-0.389,-0.287,-0.266,-0.247,-0.304,0.270,-0.293,-0.281,--,37,25,17,19,18,11,17,26,11,--,Greedy,-0.2
Episode,244,step,29,state,"(2, 2)",1,"(1, 2)",--,-0.358,-0.237,-0.316,-0.347,-0.248,-0.441,-0.425,-0.296,-0.314,--,26,20,28,24,23,34,25,61,12,--,Greedy,-0.2
Episode,244,step,30,state,"(1, 2)",2,"(0, 18)",--,-0.262,-0.389,-0.287,-0.266,-0.247,-0.304,0.024,-0.293,-0.281,--,37,25,17,19,18,11,18,26,11,--,Epsilon = 0.32,-0.2
Episode,244,step,31,state,"(0, 18)",4,"(0, 2)",--,-0.086,-0.009,-0.006,-0.148,0.092,-0.086,-0.086,-0.135,-0.007,--,1,0,0,2,6,1,1,1,0,--,Greedy,-0.2
Episode,244,step,32,state,"(0, 2)",6,"(1, 2)",--,-0.351,-0.479,-0.312,-0.660,-0.533,-0.415,-0.004,-0.328,-0.538,--,21,36,51,19,57,17,35,18,27,--,Greedy,-0.2
Episode,244,step,33,state,"(1, 2)",6,"(2, 16)",--,-0.262,-0.389,-0.228,-0.266,-0.247,-0.304,0.024,-0.293,-0.281,--,37,25,18,19,18,11,18,26,11,--,Greedy,0.8
Episode,244,step,34,state,"(2, 16)",8,"(2, 20)",--,-0.313,-0.470,-0.279,-0.007,-0.506,-0.008,-0.319,-0.274,0.126,--,1,2,2,0,3,0,1,2,3,--,Greedy,-0.12
Episode,244,step,35,state,"(2, 20)",4,"(2, 40)",--,0.318,0.020,-0.058,0.320,0.322,0.329,0.339,0.271,0.547,--,144,59,168,147,139,159,191,251,272,--,Epsilon = 0.32,-0.8
Episode,244,step,36,state,"(2, 40)",4,"(2, 40)",--,-0.323,-0.177,-0.318,-0.173,0.523,-0.553,-0.244,-0.509,-0.315,--,6,8,3,14,21,17,7,6,5,--,Greedy,-1
end
