 , , ,log2019-04-25_10-04-09,ep ,270,step ,83,r ,-0.190
 , , ,,,s,a,s_,--,"Q[s, a0]","Q[s, a1]","Q[s, a2]","Q[s, a3]","Q[s, a4]","Q[s, a5]","Q[s, a6]","Q[s, a7]","Q[s, a8]",--,"ST[s, a0]","ST[s, a1]","ST[s, a2]","ST[s, a3]","ST[s, a4]","ST[s, a5]","ST[s, a6]","ST[s, a7]","ST[s, a8]",--,policy,reward
Episode,270,step,1,state,"(1, 0)",0,"(1, 0)",--,0.235,0.235,0.223,0.198,0.234,0.224,0.218,0.232,0.204,--,508,416,580,651,815,649,630,729,579,--,Greedy,0
Episode,270,step,3,state,"(1, 0)",0,"(0, 0)",--,0.235,0.235,0.223,0.198,0.234,0.224,0.218,0.232,0.204,--,510,416,580,651,815,649,630,729,579,--,Epsilon = 0.32,0.1
Episode,270,step,7,state,"(0, 0)",4,"(0, 4)",--,0.209,0.140,0.235,0.179,0.184,-0.299,0.186,0.127,0.180,--,232,234,242,397,632,580,563,664,440,--,Epsilon = 0.32,-0.12
Episode,270,step,8,state,"(0, 4)",5,"(0, 20)",--,0.054,0.070,0.035,0.057,0.064,0.140,0.076,0.079,0.061,--,20,34,15,26,36,40,26,77,50,--,Greedy,-0.12
Episode,270,step,9,state,"(0, 20)",7,"(2, 20)",--,-0.309,0.151,-0.033,-0.162,-0.002,-0.293,-0.027,0.224,0.022,--,104,82,85,61,134,148,122,238,205,--,Greedy,0.1
Episode,270,step,11,state,"(2, 20)",8,"(2, 4)",--,-0.010,-0.088,0.269,0.271,0.309,0.441,0.276,0.274,0.271,--,213,192,214,208,232,370,206,250,265,--,Epsilon = 0.32,0.4
Episode,270,step,12,state,"(2, 4)",0,"(2, 0)",--,0.402,0.346,0.402,0.401,0.394,0.493,0.410,0.405,0.356,--,29,89,19,40,40,41,101,83,30,--,Epsilon = 0.32,0.4
Episode,270,step,15,state,"(2, 0)",2,"(1, 0)",--,0.191,0.195,0.233,0.206,0.206,0.208,0.056,0.213,0.210,--,492,854,699,722,580,419,421,367,306,--,Greedy,0.1
Episode,270,step,16,state,"(1, 0)",0,"(0, 0)",--,0.235,0.235,0.223,0.198,0.234,0.224,0.218,0.232,0.204,--,511,416,580,651,815,649,630,729,579,--,Greedy,0.1
Episode,270,step,19,state,"(0, 0)",7,"(1, 4)",--,0.209,0.140,0.236,0.179,0.090,-0.299,0.186,0.173,0.180,--,232,234,243,397,633,580,563,665,440,--,Epsilon = 0.32,-0.12
Episode,270,step,20,state,"(1, 4)",6,"(2, 4)",--,0.139,0.225,0.238,0.160,0.137,0.162,0.385,0.234,0.235,--,10,16,10,24,30,26,65,44,72,--,Greedy,0.1
Episode,270,step,22,state,"(2, 4)",0,"(2, 0)",--,0.458,0.346,0.402,0.401,0.394,0.448,0.410,0.405,0.356,--,30,89,19,40,40,42,101,83,30,--,Greedy,0.4
Episode,270,step,23,state,"(2, 0)",2,"(0, 0)",--,0.191,0.195,0.234,0.206,0.206,0.208,0.056,0.213,0.210,--,492,854,700,722,580,419,421,367,306,--,Greedy,0.1
Episode,270,step,24,state,"(0, 0)",0,"(0, 4)",--,0.209,0.140,0.236,0.179,0.090,-0.299,0.186,0.144,0.180,--,232,234,243,397,633,580,563,666,440,--,Epsilon = 0.32,-0.12
Episode,270,step,25,state,"(0, 4)",6,"(0, 20)",--,0.054,0.070,0.035,0.057,0.064,0.085,0.076,0.079,0.061,--,20,34,15,26,36,41,26,77,50,--,Epsilon = 0.32,-0.12
Episode,270,step,26,state,"(0, 20)",7,"(1, 20)",--,-0.309,0.151,-0.033,-0.162,-0.002,-0.293,-0.027,0.280,0.022,--,104,82,85,61,134,148,122,239,205,--,Greedy,0.1
Episode,270,step,27,state,"(1, 20)",1,"(0, 20)",--,0.153,0.259,0.255,0.257,0.130,0.108,0.212,0.256,0.245,--,72,88,74,89,127,147,243,185,269,--,Greedy,0.1
Episode,270,step,28,state,"(0, 20)",7,"(1, 20)",--,-0.309,0.151,-0.033,-0.162,-0.002,-0.293,-0.027,0.267,0.022,--,104,82,85,61,134,148,122,240,205,--,Epsilon = 0.32,0.1
Episode,270,step,30,state,"(1, 20)",1,"(0, 20)",--,0.153,0.257,0.253,0.257,0.130,0.108,0.212,0.256,0.245,--,72,89,75,89,127,147,243,185,269,--,Epsilon = 0.32,0.1
Episode,270,step,32,state,"(0, 20)",7,"(1, 20)",--,-0.309,0.151,-0.033,-0.162,-0.002,-0.293,-0.027,0.256,0.022,--,104,82,85,61,134,148,122,242,205,--,Greedy,0.1
Episode,270,step,33,state,"(1, 20)",3,"(2, 20)",--,0.153,0.255,0.253,0.257,0.130,0.108,0.212,0.256,0.245,--,72,90,75,89,127,147,243,185,269,--,Greedy,0.1
Episode,270,step,38,state,"(2, 20)",8,"(2, 4)",--,-0.010,-0.088,0.269,0.271,0.309,0.376,0.276,0.274,0.379,--,213,192,214,208,232,372,206,250,268,--,Greedy,0.4
Episode,270,step,39,state,"(2, 4)",0,"(2, 0)",--,0.491,0.346,0.402,0.401,0.394,0.448,0.410,0.405,0.356,--,31,89,19,40,40,42,101,83,30,--,Greedy,0.4
Episode,270,step,41,state,"(2, 0)",2,"(0, 0)",--,0.191,0.195,0.236,0.206,0.206,0.208,0.056,0.213,0.210,--,492,854,702,722,580,419,421,367,306,--,Greedy,0.1
Episode,270,step,45,state,"(0, 0)",2,"(0, 4)",--,0.092,0.140,0.237,0.179,0.090,-0.299,0.186,0.144,0.180,--,233,234,246,397,633,580,563,666,440,--,Greedy,-0.12
Episode,270,step,46,state,"(0, 4)",7,"(0, 20)",--,0.054,0.070,0.035,0.057,0.064,0.085,0.062,0.079,0.061,--,20,34,15,26,36,41,27,77,50,--,Epsilon = 0.32,-0.12
Episode,270,step,47,state,"(0, 20)",7,"(1, 20)",--,-0.309,0.151,-0.033,-0.162,-0.002,-0.293,-0.027,0.253,0.022,--,104,82,85,61,134,148,122,243,205,--,Greedy,0.1
Episode,270,step,50,state,"(1, 20)",1,"(0, 20)",--,0.153,0.255,0.253,0.280,0.130,0.108,0.212,0.256,0.245,--,72,90,75,92,127,147,243,185,269,--,Epsilon = 0.32,0.1
Episode,270,step,54,state,"(0, 20)",4,"(1, 20)",--,-0.074,0.151,-0.033,-0.162,-0.002,-0.293,-0.027,0.254,0.022,--,105,82,85,61,134,148,122,246,205,--,Epsilon = 0.32,0.1
Episode,270,step,56,state,"(1, 20)",3,"(0, 20)",--,0.153,0.253,0.253,0.272,0.130,0.108,0.212,0.256,0.245,--,72,91,75,93,127,147,243,185,269,--,Greedy,0.1
Episode,270,step,57,state,"(0, 20)",5,"(0, 24)",--,-0.074,0.151,-0.033,-0.162,0.109,-0.293,-0.027,0.254,0.022,--,105,82,85,61,135,148,122,246,205,--,Epsilon = 0.32,-0.8
Episode,270,step,58,state,"(0, 24)",5,"(1, 24)",--,-0.488,-0.504,-0.457,-0.464,-0.464,-0.449,-0.471,-0.461,-0.462,--,4,6,5,5,7,6,4,5,5,--,Greedy,-0.2
Episode,270,step,59,state,"(1, 24)",5,"(2, 40)",--,-0.258,-0.451,-0.242,-0.390,-0.207,-0.150,0.181,-0.268,-0.284,--,6,5,4,4,7,2,14,2,6,--,Epsilon = 0.32,-0.4
Episode,270,step,60,state,"(2, 40)",1,"(1, 40)",--,-0.113,-0.291,-0.222,-0.243,-0.174,-0.258,-0.195,-0.214,-0.197,--,24,25,16,10,30,25,46,60,18,--,Epsilon = 0.32,-0.2
Episode,270,step,61,state,"(1, 40)",3,"(0, 40)",--,-0.317,-0.341,-0.323,-0.339,-0.354,-0.305,-0.304,-0.366,-0.443,--,5,6,10,9,9,12,29,32,8,--,Epsilon = 0.32,-0.2
Episode,270,step,63,state,"(0, 40)",7,"(1, 40)",--,-0.416,0.091,-0.441,-0.444,-0.288,-0.406,-0.382,-0.505,-0.390,--,10,13,10,5,12,18,22,9,24,--,Epsilon = 0.32,-0.2
Episode,270,step,64,state,"(1, 40)",4,"(2, 40)",--,-0.317,-0.341,-0.323,-0.258,-0.354,-0.305,-0.304,-0.366,-0.443,--,5,6,10,10,9,12,29,32,8,--,Epsilon = 0.32,-0.2
Episode,270,step,65,state,"(2, 40)",3,"(1, 40)",--,-0.113,-0.327,-0.222,-0.243,-0.174,-0.258,-0.195,-0.214,-0.197,--,24,26,16,10,30,25,46,60,18,--,Epsilon = 0.32,-0.2
Episode,270,step,68,state,"(1, 40)",3,"(1, 41)",--,-0.317,-0.341,-0.323,-0.297,-0.317,-0.305,-0.332,-0.366,-0.443,--,5,6,10,11,10,12,30,32,8,--,Greedy,-0.2
Episode,270,step,69,state,"(1, 41)",0,"(0, 41)",--,-0.439,-0.433,-0.445,-0.432,-0.449,-0.765,-0.420,-0.618,-0.506,--,6,20,18,38,10,11,21,30,14,--,Epsilon = 0.32,-0.2
Episode,270,step,71,state,"(0, 41)",6,"(2, 41)",--,-0.546,-0.595,-0.724,-0.773,-0.636,-0.671,-0.444,-0.533,-0.473,--,20,14,11,26,16,18,62,18,26,--,Greedy,-0.2
Episode,270,step,73,state,"(2, 41)",1,"(1, 41)",--,-0.431,-0.309,-0.545,-0.556,-0.403,-0.471,-0.475,-0.432,-0.439,--,6,21,15,46,31,28,37,25,18,--,Greedy,-0.2
Episode,270,step,74,state,"(1, 41)",6,"(1, 33)",--,-0.445,-0.433,-0.445,-0.432,-0.449,-0.765,-0.420,-0.618,-0.506,--,7,20,18,38,10,11,21,30,14,--,Greedy,0.15
Episode,270,step,75,state,"(1, 33)",2,"(1, 1)",--,-0.005,0.010,0.757,-0.002,-0.007,-0.007,-0.005,-0.010,-0.004,--,0,1,7,0,0,0,0,0,0,--,Greedy,0.8
Episode,270,step,76,state,"(1, 1)",2,"(0, 1)",--,0.199,0.181,0.346,0.130,0.057,0.085,-0.031,0.143,-0.065,--,87,100,82,26,22,60,39,32,31,--,Greedy,0.1
Episode,270,step,78,state,"(0, 1)",2,"(0, 2)",--,0.079,0.020,0.316,0.031,0.313,0.261,0.276,0.293,0.309,--,106,66,101,105,112,39,52,32,73,--,Greedy,-0.8
Episode,270,step,80,state,"(0, 2)",6,"(1, 2)",--,0.103,0.231,-0.214,-0.234,-0.165,-0.392,0.238,-0.308,-0.218,--,50,31,23,30,35,21,32,15,26,--,Greedy,-0.2
Episode,270,step,82,state,"(1, 2)",0,"(0, 2)",--,-0.075,-0.443,-0.411,-0.461,-0.332,-0.402,-0.600,-0.353,-0.434,--,15,44,8,8,26,13,13,14,31,--,Greedy,-0.2
Episode,270,step,83,state,"(0, 2)",1,"(0, 0)",--,0.103,0.231,-0.214,-0.234,-0.165,-0.392,0.057,-0.308,-0.218,--,50,31,23,30,35,21,33,15,26,--,Greedy,-1
end
