 , , ,log2019-04-25_09-29-12,ep ,59,step ,75,r ,5.360
 , , ,,,s,a,s_,--,"Q[s, a0]","Q[s, a1]","Q[s, a2]","Q[s, a3]","Q[s, a4]","Q[s, a5]","Q[s, a6]","Q[s, a7]","Q[s, a8]",--,"ST[s, a0]","ST[s, a1]","ST[s, a2]","ST[s, a3]","ST[s, a4]","ST[s, a5]","ST[s, a6]","ST[s, a7]","ST[s, a8]",--,policy,reward
Episode,59,step,1,state,"(0, 0)",7,"(0, 0)",--,0.183,-0.251,0.168,0.147,0.205,0.188,-0.032,0.236,0.124,--,56,29,47,78,183,152,141,98,136,--,Greedy,0
Episode,59,step,2,state,"(0, 0)",4,"(1, 0)",--,0.183,-0.251,0.168,0.147,0.205,0.188,-0.032,0.236,0.124,--,56,29,47,78,183,152,141,99,136,--,Epsilon = 0.32,0.1
Episode,59,step,4,state,"(1, 0)",8,"(2, 0)",--,0.205,0.195,0.177,0.174,0.229,0.202,0.223,0.218,0.234,--,163,103,116,88,118,183,169,130,134,--,Greedy,0.1
Episode,59,step,9,state,"(2, 0)",3,"(1, 0)",--,0.141,0.163,0.092,0.232,0.193,0.128,0.115,0.141,0.201,--,128,167,173,133,167,107,92,69,80,--,Greedy,0.1
Episode,59,step,11,state,"(1, 0)",8,"(2, 0)",--,0.205,0.195,0.177,0.174,0.229,0.202,0.228,0.218,0.233,--,163,103,116,88,118,183,170,130,135,--,Greedy,0.1
Episode,59,step,13,state,"(2, 0)",3,"(1, 0)",--,0.141,0.163,0.092,0.234,0.193,0.128,0.115,0.141,0.201,--,128,167,173,135,167,107,92,69,80,--,Greedy,0.1
Episode,59,step,16,state,"(1, 0)",8,"(2, 0)",--,0.205,0.195,0.202,0.174,0.229,0.202,0.228,0.218,0.235,--,163,103,117,88,118,183,170,130,137,--,Greedy,0.1
Episode,59,step,18,state,"(2, 0)",0,"(0, 0)",--,0.141,0.163,0.092,0.235,0.193,0.128,0.115,0.141,0.201,--,128,167,173,137,167,107,92,69,80,--,Epsilon = 0.32,0.1
Episode,59,step,20,state,"(0, 0)",7,"(1, 0)",--,0.183,-0.251,0.168,0.185,0.218,0.188,-0.032,0.236,0.124,--,56,29,47,79,184,152,141,99,136,--,Greedy,0.1
Episode,59,step,21,state,"(1, 0)",6,"(2, 0)",--,0.205,0.195,0.202,0.174,0.229,0.202,0.228,0.218,0.235,--,163,103,117,88,118,183,170,130,138,--,Epsilon = 0.32,0.1
