 , , ,log2019-04-26_16-49-34,ep ,36,step ,162,r ,5.760
 , , ,,,s,a,s_,--,"Q[s, a0]","Q[s, a1]","Q[s, a2]","Q[s, a3]","Q[s, a4]","Q[s, a5]","Q[s, a6]","Q[s, a7]","Q[s, a8]",--,"ST[s, a0]","ST[s, a1]","ST[s, a2]","ST[s, a3]","ST[s, a4]","ST[s, a5]","ST[s, a6]","ST[s, a7]","ST[s, a8]",--,policy,reward
Episode,36,step,1,state,"(1, 0)",7,"(1, 0)",--,0.203,0.207,0.196,0.080,0.145,0.147,0.073,0.230,0.199,--,29,49,15,46,46,107,47,80,37,--,Greedy,0
Episode,36,step,5,state,"(1, 0)",7,"(2, 0)",--,0.203,0.207,0.196,0.080,0.145,0.183,0.073,0.233,0.199,--,29,49,15,46,46,108,47,83,37,--,Greedy,0.1
Episode,36,step,9,state,"(2, 0)",0,"(1, 0)",--,0.147,0.132,0.200,0.219,-0.047,0.187,0.153,0.122,0.177,--,34,30,53,65,41,67,30,49,34,--,Epsilon = 0.32,0.1
Episode,36,step,11,state,"(1, 0)",7,"(2, 0)",--,0.203,0.207,0.196,0.080,0.145,0.183,0.073,0.230,0.199,--,29,49,15,46,46,108,47,85,37,--,Greedy,0.1
Episode,36,step,13,state,"(2, 0)",3,"(1, 0)",--,0.183,0.132,0.200,0.223,-0.047,0.187,0.153,0.122,0.177,--,35,30,53,66,41,67,30,49,34,--,Greedy,0.1
Episode,36,step,17,state,"(1, 0)",7,"(2, 0)",--,0.203,0.207,0.196,0.144,0.145,0.204,0.073,0.230,0.199,--,29,49,15,47,46,109,47,87,37,--,Greedy,0.1
Episode,36,step,19,state,"(2, 0)",3,"(1, 0)",--,0.183,0.132,0.200,0.229,-0.047,0.187,0.153,0.122,0.177,--,35,30,53,68,41,67,30,49,34,--,Greedy,0.1
Episode,36,step,21,state,"(1, 0)",7,"(2, 0)",--,0.203,0.207,0.196,0.144,0.145,0.204,0.073,0.232,0.199,--,29,49,15,47,46,109,47,89,37,--,Greedy,0.1
Episode,36,step,23,state,"(2, 0)",0,"(1, 0)",--,0.183,0.132,0.200,0.232,-0.047,0.187,0.153,0.122,0.177,--,35,30,53,70,41,67,30,49,34,--,Epsilon = 0.32,0.1
Episode,36,step,24,state,"(1, 0)",4,"(0, 0)",--,0.203,0.207,0.196,0.144,0.145,0.204,0.073,0.233,0.199,--,29,49,15,47,46,109,47,90,37,--,Epsilon = 0.32,0.1
Episode,36,step,25,state,"(0, 0)",5,"(1, 0)",--,0.134,0.011,0.140,0.098,0.023,0.226,0.109,0.152,-0.150,--,26,21,10,36,30,23,17,46,56,--,Greedy,0.1
Episode,36,step,26,state,"(1, 0)",7,"(2, 1)",--,0.203,0.207,0.196,0.144,0.181,0.204,0.073,0.233,0.199,--,29,49,15,47,47,109,47,90,37,--,Greedy,-0.12
Episode,36,step,28,state,"(2, 1)",0,"(0, 1)",--,0.163,-0.190,-0.203,-0.200,-0.030,0.143,-0.281,0.135,-0.265,--,12,15,16,13,4,12,3,12,14,--,Greedy,0.1
Episode,36,step,30,state,"(0, 1)",0,"(0, 0)",--,0.136,0.135,0.300,0.272,0.299,0.292,0.228,0.195,0.286,--,1,10,46,4,14,4,3,3,8,--,Epsilon = 0.32,0.4
Episode,36,step,34,state,"(0, 0)",5,"(1, 0)",--,0.134,0.011,0.140,0.156,0.023,0.232,0.109,0.152,-0.150,--,26,21,10,37,30,26,17,46,56,--,Greedy,0.1
Episode,36,step,35,state,"(1, 0)",7,"(2, 0)",--,0.203,0.207,0.196,0.144,0.181,0.204,0.073,0.120,0.199,--,29,49,15,47,47,109,47,91,37,--,Epsilon = 0.32,0.1
Episode,36,step,37,state,"(2, 0)",3,"(1, 0)",--,0.205,0.132,0.200,0.233,-0.047,0.187,0.153,0.122,0.177,--,36,30,53,71,41,67,30,49,34,--,Epsilon = 0.32,0.1
Episode,36,step,38,state,"(1, 0)",1,"(0, 0)",--,0.203,0.207,0.196,0.144,0.181,0.204,0.073,0.168,0.199,--,29,49,15,47,47,109,47,92,37,--,Greedy,0.1
Episode,36,step,40,state,"(0, 0)",5,"(1, 0)",--,0.134,0.011,0.140,0.156,0.023,0.229,0.109,0.152,-0.150,--,26,21,10,37,30,28,17,46,56,--,Greedy,0.1
Episode,36,step,42,state,"(1, 0)",1,"(0, 0)",--,0.203,0.221,0.196,0.144,0.181,0.204,0.073,0.168,0.199,--,29,51,15,47,47,109,47,92,37,--,Greedy,0.1
Episode,36,step,44,state,"(0, 0)",6,"(1, 0)",--,0.134,0.011,0.140,0.156,0.023,0.230,0.109,0.152,-0.150,--,26,21,10,37,30,30,17,46,56,--,Epsilon = 0.32,0.1
Episode,36,step,46,state,"(1, 0)",1,"(0, 0)",--,0.203,0.228,0.196,0.144,0.181,0.204,0.073,0.168,0.199,--,29,53,15,47,47,109,47,92,37,--,Greedy,0.1
Episode,36,step,48,state,"(0, 0)",5,"(1, 0)",--,0.134,0.011,0.140,0.156,0.023,0.231,0.160,0.152,-0.150,--,26,21,10,37,30,31,18,46,56,--,Greedy,0.1
Episode,36,step,50,state,"(1, 0)",8,"(0, 0)",--,0.203,0.232,0.196,0.144,0.181,0.204,0.073,0.168,0.199,--,29,55,15,47,47,109,47,92,37,--,Epsilon = 0.32,0.1
Episode,36,step,55,state,"(0, 0)",5,"(1, 0)",--,0.177,0.105,0.140,0.156,0.112,0.233,0.160,0.152,-0.150,--,27,22,10,37,31,33,18,46,56,--,Greedy,0.1
Episode,36,step,56,state,"(1, 0)",8,"(2, 0)",--,0.203,0.232,0.196,0.144,0.181,0.204,0.073,0.168,0.214,--,29,55,15,47,47,109,47,92,38,--,Epsilon = 0.32,0.1
Episode,36,step,59,state,"(2, 0)",3,"(0, 0)",--,0.205,0.132,0.200,0.231,-0.047,0.187,0.153,0.122,0.177,--,36,30,53,74,41,67,30,49,34,--,Greedy,0.1
Episode,36,step,61,state,"(0, 0)",5,"(1, 0)",--,0.177,0.105,0.140,0.156,0.112,0.234,0.160,0.152,-0.150,--,27,22,10,37,31,35,18,46,56,--,Greedy,0.1
Episode,36,step,63,state,"(1, 0)",1,"(0, 0)",--,0.203,0.233,0.196,0.144,0.181,0.204,0.073,0.168,0.222,--,29,56,15,47,47,109,47,92,39,--,Greedy,0.1
Episode,36,step,65,state,"(0, 0)",5,"(1, 0)",--,0.177,0.105,0.140,0.156,0.112,0.235,0.160,0.152,-0.150,--,27,22,10,37,31,37,18,46,56,--,Greedy,0.1
Episode,36,step,67,state,"(1, 0)",5,"(0, 4)",--,0.203,0.235,0.196,0.144,0.181,0.204,0.073,0.168,0.222,--,29,58,15,47,47,109,47,92,39,--,Epsilon = 0.32,-0.12
Episode,36,step,68,state,"(0, 4)",4,"(1, 20)",--,-0.015,-0.027,-0.005,0.003,0.066,0.005,-0.005,-0.031,-0.039,--,2,2,2,4,8,12,0,1,1,--,Greedy,-0.12
Episode,36,step,69,state,"(1, 20)",6,"(2, 20)",--,0.240,0.205,0.219,0.227,0.216,0.242,0.346,0.186,0.228,--,8,4,5,7,12,35,10,50,4,--,Greedy,0.1
Episode,36,step,71,state,"(2, 20)",5,"(1, 20)",--,-0.179,0.082,0.490,0.316,0.135,-0.009,0.282,-0.209,0.239,--,55,3,18,27,4,0,7,2,7,--,Epsilon = 0.32,0.1
Episode,36,step,72,state,"(1, 20)",6,"(2, 20)",--,0.240,0.205,0.219,0.227,0.216,0.242,0.375,0.186,0.228,--,8,4,5,7,12,35,11,50,4,--,Greedy,0.1
Episode,36,step,73,state,"(2, 20)",2,"(1, 20)",--,-0.179,0.082,0.490,0.316,0.135,0.128,0.282,-0.209,0.239,--,55,3,18,27,4,1,7,2,7,--,Greedy,0.1
Episode,36,step,76,state,"(1, 20)",6,"(2, 20)",--,0.240,0.205,0.219,0.227,0.259,0.242,0.354,0.186,0.228,--,8,4,5,7,13,35,13,50,4,--,Greedy,0.1
Episode,36,step,78,state,"(2, 20)",2,"(1, 4)",--,-0.179,0.082,0.387,0.316,0.135,0.128,0.282,-0.209,0.239,--,55,3,20,27,4,1,7,2,7,--,Greedy,0.4
Episode,36,step,79,state,"(1, 4)",6,"(1, 20)",--,0.051,-0.004,0.038,0.052,-0.052,0.053,0.294,0.033,-0.003,--,3,0,8,1,1,1,17,4,0,--,Greedy,-0.12
Episode,36,step,83,state,"(1, 20)",2,"(2, 20)",--,0.240,0.246,0.219,0.227,0.259,0.242,0.314,0.186,0.228,--,8,5,5,7,13,35,16,50,4,--,Epsilon = 0.32,0.1
Episode,36,step,84,state,"(2, 20)",2,"(0, 20)",--,-0.179,0.082,0.464,0.316,0.135,0.128,0.282,-0.209,0.239,--,55,3,21,27,4,1,7,2,7,--,Greedy,0.1
Episode,36,step,85,state,"(0, 20)",7,"(1, 20)",--,-0.222,0.098,-0.021,0.133,-0.036,-0.009,-0.176,0.270,0.132,--,21,12,12,7,5,25,7,8,30,--,Greedy,0.1
Episode,36,step,86,state,"(1, 20)",6,"(2, 20)",--,0.240,0.246,0.282,0.227,0.259,0.242,0.314,0.186,0.228,--,8,5,6,7,13,35,16,50,4,--,Greedy,0.1
Episode,36,step,89,state,"(2, 20)",2,"(1, 20)",--,-0.179,0.082,0.352,0.316,0.135,0.128,0.282,0.013,0.239,--,55,3,23,27,4,1,7,3,7,--,Greedy,0.1
Episode,36,step,91,state,"(1, 20)",6,"(2, 20)",--,0.240,0.246,0.282,0.227,0.259,0.242,0.302,0.186,0.228,--,8,5,6,7,13,35,18,50,4,--,Greedy,0.1
Episode,36,step,92,state,"(2, 20)",2,"(2, 4)",--,-0.179,0.082,0.323,0.316,0.135,0.128,0.282,0.013,0.239,--,55,3,24,27,4,1,7,3,7,--,Greedy,0.4
Episode,36,step,93,state,"(2, 4)",1,"(1, 4)",--,-0.002,0.429,0.220,0.297,0.142,0.256,0.221,0.124,-0.001,--,0,19,1,3,1,5,1,1,0,--,Greedy,0.1
