 , , ,log2019-04-26_17-27-24,ep ,276,step ,26,r ,-1.640
 , , ,,,s,a,s_,--,"Q[s, a0]","Q[s, a1]","Q[s, a2]","Q[s, a3]","Q[s, a4]","Q[s, a5]","Q[s, a6]","Q[s, a7]","Q[s, a8]",--,"ST[s, a0]","ST[s, a1]","ST[s, a2]","ST[s, a3]","ST[s, a4]","ST[s, a5]","ST[s, a6]","ST[s, a7]","ST[s, a8]",--,policy,reward
Episode,276,step,1,state,"(1, 0)",0,"(1, 0)",--,0.234,0.234,0.213,0.230,0.220,0.228,0.220,0.187,-0.224,--,407,512,496,617,648,651,616,595,712,--,Greedy,0
Episode,276,step,3,state,"(1, 0)",0,"(0, 0)",--,0.235,0.234,0.213,0.230,0.220,0.228,0.220,0.187,-0.224,--,409,512,496,617,648,651,616,595,712,--,Greedy,0.1
Episode,276,step,8,state,"(0, 0)",2,"(0, 4)",--,0.147,0.180,0.218,0.214,0.233,0.183,0.122,0.150,0.098,--,303,280,290,370,471,527,491,651,546,--,Epsilon = 0.32,-0.12
Episode,276,step,10,state,"(0, 4)",5,"(1, 20)",--,0.062,0.069,0.056,0.062,0.097,0.099,0.037,0.078,0.066,--,15,31,32,43,30,44,34,20,65,--,Greedy,-0.12
Episode,276,step,13,state,"(1, 20)",1,"(0, 20)",--,0.253,0.255,0.252,0.056,0.160,0.135,0.060,-0.173,0.171,--,38,41,46,59,53,113,109,161,231,--,Greedy,0.1
Episode,276,step,20,state,"(0, 20)",1,"(0, 25)",--,0.244,0.244,0.138,-0.051,-0.062,0.135,0.171,0.012,0.240,--,63,53,68,65,68,138,166,178,180,--,Greedy,-0.8
Episode,276,step,21,state,"(0, 25)",5,"(0, 41)",--,-0.270,-0.254,-0.214,-0.250,-0.246,-0.007,-0.411,-0.191,-0.247,--,1,1,1,1,1,0,2,1,1,--,Greedy,-0.4
Episode,276,step,22,state,"(0, 41)",8,"(1, 41)",--,-0.447,-0.797,-0.499,-0.424,-0.451,-0.539,-0.590,-0.472,-0.300,--,9,20,15,10,16,56,8,23,39,--,Epsilon = 0.32,-0.2
Episode,276,step,26,state,"(1, 41)",4,"(0, 42)",--,-0.489,-0.555,-0.323,-0.399,-0.294,-0.644,-0.418,-0.477,-0.439,--,17,6,26,10,25,14,9,20,9,--,Greedy,-1
end
