 , , ,log2019-04-25_09-44-08,ep ,152,step ,138,r ,9.100
 , , ,,,s,a,s_,--,"Q[s, a0]","Q[s, a1]","Q[s, a2]","Q[s, a3]","Q[s, a4]","Q[s, a5]","Q[s, a6]","Q[s, a7]","Q[s, a8]",--,"ST[s, a0]","ST[s, a1]","ST[s, a2]","ST[s, a3]","ST[s, a4]","ST[s, a5]","ST[s, a6]","ST[s, a7]","ST[s, a8]",--,policy,reward
Episode,152,step,1,state,"(1, 0)",8,"(1, 0)",--,0.225,0.203,0.235,0.234,0.233,0.222,0.221,0.233,0.238,--,295,187,332,284,468,397,395,426,332,--,Greedy,0
Episode,152,step,5,state,"(1, 0)",8,"(2, 0)",--,0.225,0.203,0.235,0.234,0.236,0.222,0.221,0.233,0.238,--,295,187,332,284,470,397,395,426,334,--,Greedy,0.1
Episode,152,step,6,state,"(2, 0)",1,"(1, 0)",--,0.209,0.230,0.128,0.138,0.184,0.132,0.045,0.149,0.119,--,327,449,354,435,336,291,219,236,170,--,Greedy,0.1
Episode,152,step,9,state,"(1, 0)",4,"(0, 0)",--,0.225,0.203,0.235,0.235,0.237,0.222,0.221,0.233,0.236,--,295,187,332,285,471,397,395,426,335,--,Greedy,0.1
Episode,152,step,10,state,"(0, 0)",7,"(1, 0)",--,-0.250,0.139,0.204,0.157,0.183,0.182,0.129,0.235,0.182,--,138,109,113,191,391,280,348,300,257,--,Greedy,0.1
Episode,152,step,11,state,"(1, 0)",6,"(2, 0)",--,0.225,0.203,0.235,0.235,0.237,0.222,0.221,0.233,0.236,--,295,187,332,285,472,397,395,426,335,--,Epsilon = 0.32,0.1
Episode,152,step,13,state,"(2, 0)",3,"(1, 0)",--,0.209,0.234,0.128,0.138,0.184,0.132,0.045,0.149,0.119,--,327,451,354,435,336,291,219,236,170,--,Epsilon = 0.32,0.1
Episode,152,step,14,state,"(1, 0)",4,"(0, 0)",--,0.225,0.203,0.235,0.235,0.237,0.222,0.227,0.233,0.236,--,295,187,332,285,472,397,396,426,335,--,Greedy,0.1
Episode,152,step,19,state,"(0, 0)",8,"(2, 0)",--,-0.250,0.204,0.204,0.157,0.183,0.182,0.129,0.236,0.182,--,138,111,113,191,391,280,348,303,257,--,Epsilon = 0.32,0.1
Episode,152,step,20,state,"(2, 0)",1,"(1, 0)",--,0.209,0.234,0.128,0.180,0.184,0.132,0.045,0.149,0.119,--,327,451,354,436,336,291,219,236,170,--,Greedy,0.1
Episode,152,step,32,state,"(1, 0)",2,"(0, 0)",--,0.225,0.203,0.235,0.235,0.238,0.222,0.227,0.233,0.236,--,295,187,332,285,484,397,396,426,335,--,Epsilon = 0.32,0.1
Episode,152,step,33,state,"(0, 0)",7,"(1, 0)",--,-0.250,0.204,0.204,0.157,0.183,0.182,0.129,0.236,0.205,--,138,111,113,191,391,280,348,303,258,--,Greedy,0.1
Episode,152,step,38,state,"(1, 0)",4,"(0, 0)",--,0.225,0.218,0.237,0.235,0.238,0.222,0.227,0.235,0.236,--,295,188,334,285,485,397,396,427,335,--,Greedy,0.1
