 , , ,log2019-04-25_09-20-38,ep ,15,step ,106,r ,8.320
 , , ,,,s,a,s_,--,"Q[s, a0]","Q[s, a1]","Q[s, a2]","Q[s, a3]","Q[s, a4]","Q[s, a5]","Q[s, a6]","Q[s, a7]","Q[s, a8]",--,"ST[s, a0]","ST[s, a1]","ST[s, a2]","ST[s, a3]","ST[s, a4]","ST[s, a5]","ST[s, a6]","ST[s, a7]","ST[s, a8]",--,policy,reward
Episode,15,step,1,state,"(1, 0)",6,"(1, 0)",--,0.196,0.184,0.202,0.229,0.109,0.116,0.238,0.221,0.123,--,45,7,4,11,62,7,23,26,17,--,Greedy,0
Episode,15,step,4,state,"(1, 0)",6,"(2, 0)",--,0.196,0.184,0.202,0.229,0.109,0.116,0.238,0.221,0.123,--,45,7,4,11,62,7,26,26,17,--,Greedy,0.1
Episode,15,step,5,state,"(2, 0)",3,"(1, 0)",--,0.223,0.216,0.228,0.237,0.085,0.112,0.157,0.076,0.224,--,37,5,7,38,4,8,21,19,8,--,Epsilon = 0.32,0.1
Episode,15,step,7,state,"(1, 0)",5,"(2, 0)",--,0.196,0.184,0.202,0.229,0.109,0.116,0.238,0.221,0.123,--,45,7,4,11,62,7,28,26,17,--,Epsilon = 0.32,0.1
Episode,15,step,9,state,"(2, 0)",3,"(1, 0)",--,0.223,0.216,0.228,0.238,0.085,0.112,0.157,0.076,0.224,--,37,5,7,40,4,8,21,19,8,--,Greedy,0.1
Episode,15,step,11,state,"(1, 0)",6,"(2, 0)",--,0.196,0.184,0.202,0.229,0.109,0.167,0.238,0.221,0.123,--,45,7,4,11,62,8,29,26,17,--,Greedy,0.1
Episode,15,step,13,state,"(2, 0)",4,"(1, 0)",--,0.223,0.216,0.232,0.238,0.085,0.112,0.157,0.076,0.224,--,37,5,8,41,4,8,21,19,8,--,Epsilon = 0.32,0.1
Episode,15,step,15,state,"(1, 0)",6,"(2, 0)",--,0.196,0.184,0.202,0.229,0.109,0.167,0.238,0.221,0.123,--,45,7,4,11,62,8,31,26,17,--,Greedy,0.1
Episode,15,step,18,state,"(2, 0)",5,"(1, 0)",--,0.223,0.216,0.232,0.238,0.187,0.112,0.157,0.076,0.224,--,37,5,8,42,6,8,21,19,8,--,Epsilon = 0.32,0.1
Episode,15,step,22,state,"(1, 0)",6,"(2, 0)",--,0.214,0.184,0.202,0.229,0.109,0.197,0.238,0.221,0.123,--,46,7,4,11,62,9,33,26,17,--,Greedy,0.1
Episode,15,step,25,state,"(2, 0)",3,"(1, 0)",--,0.223,0.216,0.232,0.238,0.187,0.165,0.191,0.076,0.224,--,37,5,8,43,6,9,22,19,8,--,Greedy,0.1
Episode,15,step,26,state,"(1, 0)",6,"(2, 0)",--,0.214,0.184,0.202,0.229,0.109,0.197,0.238,0.221,0.123,--,46,7,4,11,62,9,34,26,17,--,Greedy,0.1
Episode,15,step,27,state,"(2, 0)",3,"(1, 0)",--,0.223,0.216,0.232,0.238,0.187,0.165,0.191,0.076,0.224,--,37,5,8,44,6,9,22,19,8,--,Greedy,0.1
Episode,15,step,29,state,"(1, 0)",6,"(2, 0)",--,0.214,0.184,0.202,0.229,0.109,0.197,0.238,0.221,0.123,--,46,7,4,11,62,9,36,26,17,--,Greedy,0.1
Episode,15,step,31,state,"(2, 0)",3,"(1, 1)",--,0.223,0.216,0.232,0.238,0.187,0.165,0.191,0.076,0.224,--,37,5,8,46,6,9,22,19,8,--,Greedy,-0.12
Episode,15,step,35,state,"(1, 1)",3,"(0, 1)",--,-0.008,0.068,0.128,0.216,-0.004,-0.009,-0.063,0.006,0.061,--,0,1,1,6,0,0,5,3,1,--,Greedy,0.1
Episode,15,step,38,state,"(0, 1)",0,"(0, 0)",--,0.362,-0.251,-0.004,-0.010,-0.009,0.121,-0.006,0.219,-0.008,--,11,1,0,0,0,1,0,2,0,--,Epsilon = 0.32,0.4
Episode,15,step,42,state,"(0, 0)",5,"(1, 0)",--,0.182,0.132,0.153,0.076,0.193,0.238,0.134,0.124,0.012,--,7,2,18,2,10,70,6,6,5,--,Greedy,0.1
Episode,15,step,43,state,"(1, 0)",6,"(2, 0)",--,0.214,0.184,0.202,0.229,0.109,0.197,0.238,0.221,0.123,--,46,7,4,11,62,9,37,26,17,--,Greedy,0.1
Episode,15,step,45,state,"(2, 0)",2,"(0, 0)",--,0.223,0.216,0.233,0.138,0.187,0.165,0.191,0.076,0.224,--,37,5,9,47,6,9,22,19,8,--,Greedy,0.1
Episode,15,step,48,state,"(0, 0)",5,"(1, 0)",--,0.182,0.132,0.189,0.076,0.193,0.238,0.134,0.124,0.012,--,7,2,19,2,10,72,6,6,5,--,Greedy,0.1
Episode,15,step,49,state,"(1, 0)",6,"(2, 0)",--,0.214,0.184,0.202,0.229,0.109,0.197,0.237,0.221,0.123,--,46,7,4,11,62,9,38,26,17,--,Greedy,0.1
Episode,15,step,50,state,"(2, 0)",2,"(1, 0)",--,0.223,0.216,0.235,0.138,0.187,0.165,0.191,0.076,0.224,--,37,5,10,47,6,9,22,19,8,--,Greedy,0.1
Episode,15,step,51,state,"(1, 0)",0,"(0, 0)",--,0.214,0.184,0.202,0.229,0.109,0.197,0.237,0.221,0.123,--,46,7,4,11,62,9,39,26,17,--,Epsilon = 0.32,0.1
