 , , ,log2019-04-25_09-38-27,ep ,113,step ,45,r ,0.660
 , , ,,,s,a,s_,--,"Q[s, a0]","Q[s, a1]","Q[s, a2]","Q[s, a3]","Q[s, a4]","Q[s, a5]","Q[s, a6]","Q[s, a7]","Q[s, a8]",--,"ST[s, a0]","ST[s, a1]","ST[s, a2]","ST[s, a3]","ST[s, a4]","ST[s, a5]","ST[s, a6]","ST[s, a7]","ST[s, a8]",--,policy,reward
Episode,113,step,1,state,"(1, 0)",2,"(1, 0)",--,0.231,0.204,0.234,0.230,0.201,0.182,0.231,0.183,0.187,--,263,161,250,171,329,295,325,336,233,--,Greedy,0
Episode,113,step,5,state,"(1, 0)",8,"(2, 0)",--,0.231,0.204,0.234,0.230,0.201,0.182,0.235,0.183,0.187,--,263,161,251,171,329,295,328,336,233,--,Epsilon = 0.32,0.1
Episode,113,step,10,state,"(2, 0)",2,"(0, 0)",--,-0.407,0.183,0.237,0.066,0.181,0.213,0.202,0.150,0.195,--,268,348,272,337,259,232,168,161,141,--,Greedy,0.1
Episode,113,step,11,state,"(0, 0)",8,"(1, 0)",--,0.187,0.200,-0.232,0.093,0.181,0.206,0.149,0.174,0.215,--,111,86,91,155,316,249,274,225,212,--,Greedy,0.1
Episode,113,step,13,state,"(1, 0)",4,"(2, 0)",--,0.231,0.204,0.234,0.230,0.201,0.182,0.235,0.183,0.208,--,263,161,251,171,329,295,329,336,234,--,Epsilon = 0.32,0.1
Episode,113,step,14,state,"(2, 0)",2,"(1, 0)",--,-0.407,0.183,0.232,0.066,0.181,0.213,0.202,0.150,0.195,--,268,348,273,337,259,232,168,161,141,--,Greedy,0.1
Episode,113,step,16,state,"(1, 0)",6,"(2, 0)",--,0.231,0.204,0.234,0.230,0.215,0.182,0.236,0.183,0.208,--,263,161,251,171,330,295,330,336,234,--,Greedy,0.1
Episode,113,step,18,state,"(2, 0)",2,"(1, 0)",--,-0.407,0.183,0.234,0.066,0.204,0.213,0.202,0.150,0.195,--,268,348,274,337,260,232,168,161,141,--,Greedy,0.1
Episode,113,step,20,state,"(1, 0)",8,"(2, 0)",--,0.231,0.204,0.234,0.230,0.215,0.182,0.236,0.183,0.208,--,263,161,251,171,330,295,332,336,234,--,Epsilon = 0.32,0.1
Episode,113,step,22,state,"(2, 0)",2,"(1, 0)",--,-0.407,0.183,0.235,0.137,0.204,0.213,0.202,0.150,0.195,--,268,348,275,338,260,232,168,161,141,--,Greedy,0.1
Episode,113,step,23,state,"(1, 0)",0,"(0, 0)",--,0.231,0.204,0.234,0.230,0.215,0.182,0.236,0.183,0.220,--,263,161,251,171,330,295,332,336,235,--,Epsilon = 0.32,0.1
Episode,113,step,25,state,"(0, 0)",8,"(1, 0)",--,0.187,0.200,-0.232,0.093,0.181,0.206,0.149,0.174,0.226,--,111,86,91,155,316,249,274,225,214,--,Greedy,0.1
Episode,113,step,26,state,"(1, 0)",8,"(2, 0)",--,0.231,0.204,0.234,0.230,0.215,0.182,0.236,0.183,0.220,--,264,161,251,171,330,295,332,336,235,--,Epsilon = 0.32,0.1
Episode,113,step,28,state,"(2, 0)",2,"(1, 0)",--,-0.407,0.183,0.236,0.137,0.204,0.213,0.202,0.150,0.195,--,268,348,277,338,260,232,168,161,141,--,Greedy,0.1
Episode,113,step,30,state,"(1, 0)",6,"(2, 0)",--,0.231,0.204,0.234,0.230,0.215,0.182,0.236,0.183,0.227,--,264,161,251,171,330,295,333,336,236,--,Greedy,0.1
Episode,113,step,32,state,"(2, 0)",2,"(0, 1)",--,-0.407,0.183,0.237,0.137,0.204,0.213,0.202,0.150,0.195,--,268,348,279,338,260,232,168,161,141,--,Greedy,-0.12
Episode,113,step,33,state,"(0, 1)",8,"(1, 0)",--,0.217,0.057,-0.186,0.428,0.289,0.307,0.305,0.244,0.278,--,79,28,34,30,55,26,31,15,30,--,Epsilon = 0.32,0.4
Episode,113,step,34,state,"(1, 0)",6,"(2, 1)",--,0.231,0.204,0.234,0.230,0.215,0.182,0.237,0.183,0.227,--,264,161,251,171,330,295,334,336,236,--,Greedy,-0.12
Episode,113,step,38,state,"(2, 1)",7,"(2, 2)",--,-0.106,-0.253,-0.353,-0.244,-0.216,-0.205,-0.192,0.049,-0.241,--,13,44,32,102,19,43,40,23,19,--,Greedy,-0.8
Episode,113,step,40,state,"(2, 2)",5,"(2, 22)",--,-0.387,-0.243,-0.169,0.018,-0.142,0.163,-0.159,-0.151,-0.114,--,3,4,26,7,21,7,19,19,12,--,Greedy,-0.2
Episode,113,step,41,state,"(2, 22)",4,"(2, 20)",--,-0.220,-0.374,-0.472,-0.172,-0.157,-0.291,-0.174,-0.487,-0.199,--,5,3,2,1,2,6,1,4,6,--,Greedy,0.8
Episode,113,step,42,state,"(2, 20)",7,"(2, 36)",--,0.252,0.274,0.275,0.274,0.273,0.281,0.276,0.282,0.277,--,106,81,100,123,129,188,84,145,103,--,Greedy,-0.8
Episode,113,step,43,state,"(2, 36)",6,"(2, 40)",--,-0.004,-0.451,-0.191,-0.008,-0.402,-0.343,-0.002,-0.006,-0.009,--,0,1,1,0,1,2,0,0,0,--,Greedy,-0.4
Episode,113,step,45,state,"(2, 40)",1,"(2, 8)",--,-0.287,-0.268,-0.285,-0.289,-0.262,0.117,-0.286,0.118,-0.290,--,5,6,7,8,13,13,9,10,11,--,Epsilon = 0.32,-1
end
