 , , ,log2019-04-26_17-29-53,ep ,293,step ,77,r ,5.120
 , , ,,,s,a,s_,--,"Q[s, a0]","Q[s, a1]","Q[s, a2]","Q[s, a3]","Q[s, a4]","Q[s, a5]","Q[s, a6]","Q[s, a7]","Q[s, a8]",--,"ST[s, a0]","ST[s, a1]","ST[s, a2]","ST[s, a3]","ST[s, a4]","ST[s, a5]","ST[s, a6]","ST[s, a7]","ST[s, a8]",--,policy,reward
Episode,293,step,1,state,"(1, 0)",3,"(1, 0)",--,0.221,0.233,0.231,0.234,0.225,0.220,0.181,0.140,0.231,--,428,526,535,658,661,710,687,613,721,--,Greedy,0
Episode,293,step,2,state,"(1, 0)",3,"(0, 0)",--,0.221,0.233,0.231,0.234,0.225,0.220,0.181,0.140,0.231,--,428,526,535,659,661,710,687,613,721,--,Greedy,0.1
Episode,293,step,3,state,"(0, 0)",4,"(1, 0)",--,0.117,0.100,0.096,0.151,0.155,0.155,0.143,0.154,0.142,--,311,283,305,381,502,539,537,680,556,--,Greedy,0.1
Episode,293,step,6,state,"(1, 0)",1,"(0, 0)",--,0.221,0.234,0.231,0.216,0.225,0.220,0.204,0.140,0.231,--,428,527,535,660,661,710,688,613,721,--,Greedy,0.1
Episode,293,step,7,state,"(0, 0)",4,"(0, 4)",--,0.117,0.100,0.096,0.151,0.189,0.155,0.143,0.154,0.142,--,311,283,305,381,503,539,537,680,556,--,Greedy,-0.12
Episode,293,step,9,state,"(0, 4)",4,"(1, 20)",--,0.062,0.058,0.056,0.062,0.057,0.048,0.037,0.101,0.066,--,15,32,32,43,33,46,34,33,65,--,Epsilon = 0.32,-0.12
Episode,293,step,10,state,"(1, 20)",8,"(2, 4)",--,0.247,0.250,0.237,0.195,0.247,0.241,0.001,0.228,0.251,--,56,46,51,61,57,116,137,166,250,--,Epsilon = 0.32,0.4
Episode,293,step,12,state,"(2, 4)",6,"(2, 0)",--,0.458,0.366,0.469,0.426,0.430,0.424,0.475,0.450,0.446,--,23,42,23,33,22,64,61,90,54,--,Greedy,0.4
Episode,293,step,14,state,"(2, 0)",0,"(1, 0)",--,0.233,0.225,0.071,0.221,0.176,0.194,0.105,0.225,0.193,--,670,572,715,828,708,531,411,361,378,--,Greedy,0.1
Episode,293,step,15,state,"(1, 0)",8,"(2, 0)",--,0.221,0.223,0.231,0.216,0.225,0.220,0.204,0.140,0.231,--,428,528,535,660,661,710,688,613,721,--,Greedy,0.1
Episode,293,step,17,state,"(2, 0)",0,"(0, 0)",--,0.234,0.225,0.071,0.221,0.176,0.194,0.105,0.225,0.193,--,672,572,715,828,708,531,411,361,378,--,Greedy,0.1
Episode,293,step,19,state,"(0, 0)",5,"(1, 0)",--,0.117,0.100,0.096,0.151,0.076,0.169,0.143,0.154,0.142,--,311,283,305,381,504,540,537,680,556,--,Greedy,0.1
Episode,293,step,21,state,"(1, 0)",2,"(0, 0)",--,0.221,0.228,0.231,0.216,0.225,0.220,0.204,0.140,0.233,--,428,529,535,660,661,710,688,613,722,--,Epsilon = 0.32,0.1
Episode,293,step,23,state,"(0, 0)",5,"(1, 0)",--,0.117,0.100,0.096,0.151,0.076,0.204,0.143,0.154,0.142,--,311,283,305,381,504,542,537,680,556,--,Greedy,0.1
Episode,293,step,24,state,"(1, 0)",8,"(2, 0)",--,0.221,0.228,0.224,0.216,0.225,0.220,0.204,0.140,0.233,--,428,529,536,660,661,710,688,613,722,--,Greedy,0.1
Episode,293,step,28,state,"(2, 0)",0,"(1, 0)",--,0.215,0.225,0.071,0.228,0.176,0.194,0.158,0.225,0.193,--,673,572,715,830,708,531,412,361,378,--,Epsilon = 0.32,0.1
Episode,293,step,29,state,"(1, 0)",8,"(0, 0)",--,0.221,0.228,0.224,0.216,0.225,0.220,0.204,0.140,0.232,--,428,529,536,660,661,710,688,613,723,--,Greedy,0.1
Episode,293,step,30,state,"(0, 0)",5,"(1, 0)",--,0.117,0.100,0.096,0.151,0.076,0.217,0.143,0.154,0.142,--,311,283,305,381,504,543,537,680,556,--,Greedy,0.1
Episode,293,step,31,state,"(1, 0)",4,"(2, 0)",--,0.221,0.228,0.224,0.216,0.225,0.220,0.204,0.140,0.229,--,428,529,536,660,661,710,688,613,724,--,Epsilon = 0.32,0.1
Episode,293,step,32,state,"(2, 0)",3,"(1, 0)",--,0.223,0.225,0.071,0.228,0.176,0.194,0.158,0.225,0.193,--,674,572,715,830,708,531,412,361,378,--,Greedy,0.1
Episode,293,step,34,state,"(1, 0)",8,"(2, 0)",--,0.221,0.228,0.224,0.216,0.228,0.220,0.204,0.140,0.231,--,428,529,536,660,662,710,688,613,725,--,Greedy,0.1
Episode,293,step,36,state,"(2, 0)",1,"(1, 0)",--,0.223,0.225,0.071,0.231,0.176,0.194,0.158,0.225,0.193,--,674,572,715,832,708,531,412,361,378,--,Epsilon = 0.32,0.1
Episode,293,step,37,state,"(1, 0)",3,"(0, 0)",--,0.221,0.228,0.224,0.216,0.228,0.220,0.204,0.140,0.232,--,428,529,536,660,662,710,688,613,726,--,Epsilon = 0.32,0.1
