 , , ,log2019-04-25_09-39-52,ep ,120,step ,155,r ,8.690
 , , ,,,s,a,s_,--,"Q[s, a0]","Q[s, a1]","Q[s, a2]","Q[s, a3]","Q[s, a4]","Q[s, a5]","Q[s, a6]","Q[s, a7]","Q[s, a8]",--,"ST[s, a0]","ST[s, a1]","ST[s, a2]","ST[s, a3]","ST[s, a4]","ST[s, a5]","ST[s, a6]","ST[s, a7]","ST[s, a8]",--,policy,reward
Episode,120,step,1,state,"(1, 0)",5,"(1, 0)",--,0.121,0.099,0.234,0.238,0.222,0.236,0.178,0.189,0.235,--,271,163,267,227,367,303,337,371,241,--,Epsilon = 0.32,0
Episode,120,step,8,state,"(1, 0)",3,"(2, 0)",--,0.121,0.099,0.234,0.238,0.222,0.236,0.178,0.189,0.237,--,271,163,267,231,367,304,337,371,243,--,Greedy,0.1
Episode,120,step,12,state,"(2, 0)",4,"(1, 0)",--,0.182,0.203,0.134,0.179,0.238,0.178,0.231,0.221,0.234,--,276,355,323,339,287,252,171,164,151,--,Greedy,0.1
Episode,120,step,13,state,"(1, 0)",7,"(2, 0)",--,0.121,0.099,0.234,0.238,0.222,0.236,0.178,0.189,0.237,--,271,163,267,232,367,304,337,371,243,--,Epsilon = 0.32,0.1
Episode,120,step,16,state,"(2, 0)",2,"(1, 0)",--,0.182,0.203,0.134,0.179,0.238,0.178,0.231,0.221,0.234,--,276,355,323,339,290,252,171,164,151,--,Epsilon = 0.32,0.1
Episode,120,step,17,state,"(1, 0)",3,"(0, 0)",--,0.121,0.099,0.234,0.238,0.222,0.236,0.178,0.209,0.237,--,271,163,267,232,367,304,337,372,243,--,Epsilon = 0.32,0.1
Episode,120,step,22,state,"(0, 0)",7,"(1, 0)",--,0.188,0.076,0.182,0.231,0.219,0.180,0.125,0.225,0.156,--,118,94,95,164,321,262,275,247,243,--,Epsilon = 0.32,0.1
Episode,120,step,23,state,"(1, 0)",5,"(2, 0)",--,0.121,0.099,0.234,0.236,0.222,0.236,0.178,0.209,0.237,--,271,163,267,233,367,304,337,372,243,--,Epsilon = 0.32,0.1
Episode,120,step,29,state,"(2, 0)",4,"(1, 0)",--,0.182,0.203,0.178,0.179,0.238,0.178,0.234,0.221,0.235,--,276,355,324,339,293,252,172,164,152,--,Greedy,0.1
Episode,120,step,31,state,"(1, 0)",5,"(2, 0)",--,0.121,0.099,0.234,0.236,0.222,0.237,0.178,0.209,0.237,--,271,163,267,233,367,306,337,372,243,--,Greedy,0.1
Episode,120,step,33,state,"(2, 0)",4,"(1, 0)",--,0.182,0.203,0.178,0.179,0.238,0.178,0.234,0.221,0.235,--,276,355,324,339,295,252,172,164,152,--,Greedy,0.1
Episode,120,step,35,state,"(1, 0)",5,"(2, 0)",--,0.121,0.099,0.234,0.236,0.222,0.238,0.203,0.209,0.237,--,271,163,267,233,367,307,338,372,243,--,Greedy,0.1
Episode,120,step,40,state,"(2, 0)",4,"(1, 0)",--,0.182,0.203,0.178,0.179,0.238,0.178,0.236,0.221,0.235,--,276,355,324,339,299,252,173,164,152,--,Greedy,0.1
Episode,120,step,41,state,"(1, 0)",8,"(2, 0)",--,0.121,0.099,0.234,0.236,0.222,0.238,0.203,0.209,0.237,--,271,163,267,233,367,308,338,372,243,--,Epsilon = 0.32,0.1
Episode,120,step,42,state,"(2, 0)",4,"(2, 1)",--,0.182,0.203,0.178,0.179,0.238,0.178,0.236,0.221,0.235,--,276,355,324,339,300,252,173,164,152,--,Greedy,-0.12
Episode,120,step,43,state,"(2, 1)",2,"(1, 1)",--,0.218,-0.028,-0.353,-0.244,-0.018,-0.450,-0.454,-0.026,-0.241,--,27,45,32,102,20,44,41,25,19,--,Epsilon = 0.32,0.1
Episode,120,step,46,state,"(1, 1)",7,"(2, 1)",--,-0.084,-0.054,-0.185,-0.259,-0.028,0.215,-0.072,-0.034,-0.023,--,56,63,39,19,15,17,16,13,12,--,Epsilon = 0.32,0.1
Episode,120,step,49,state,"(2, 1)",0,"(1, 2)",--,0.221,-0.028,-0.113,-0.244,-0.018,-0.450,-0.454,0.081,-0.241,--,28,45,33,102,20,44,41,26,19,--,Greedy,-0.8
Episode,120,step,50,state,"(1, 2)",1,"(0, 2)",--,-0.316,-0.131,-0.389,-0.406,-0.266,-0.290,-0.284,-0.299,-0.293,--,9,34,3,3,13,7,6,4,12,--,Greedy,-0.2
Episode,120,step,52,state,"(0, 2)",0,"(0, 1)",--,0.253,-0.203,-0.299,-0.229,-0.453,-0.116,-0.460,-0.209,-0.174,--,12,13,17,16,19,10,17,5,13,--,Greedy,0.8
Episode,120,step,55,state,"(0, 1)",1,"(0, 0)",--,0.217,0.388,0.129,0.255,0.279,0.275,0.273,0.244,0.273,--,79,35,36,34,65,31,34,15,33,--,Greedy,0.4
Episode,120,step,59,state,"(0, 0)",6,"(1, 0)",--,0.188,0.076,0.182,0.234,0.219,0.180,0.125,0.230,0.156,--,118,94,95,167,321,262,275,248,243,--,Epsilon = 0.32,0.1
Episode,120,step,60,state,"(1, 0)",5,"(2, 0)",--,0.121,0.099,0.234,0.236,0.222,0.238,0.203,0.209,0.237,--,271,163,267,233,367,308,338,372,244,--,Greedy,0.1
Episode,120,step,69,state,"(2, 0)",1,"(1, 1)",--,0.182,0.203,0.178,0.179,0.205,0.178,0.237,0.221,0.235,--,276,355,324,339,303,252,179,164,152,--,Epsilon = 0.32,-0.12
Episode,120,step,71,state,"(1, 1)",0,"(0, 1)",--,-0.084,-0.054,-0.185,-0.259,-0.028,0.219,-0.072,0.076,-0.023,--,56,63,39,19,15,18,16,14,12,--,Epsilon = 0.32,0.1
Episode,120,step,73,state,"(0, 1)",1,"(0, 0)",--,0.217,0.412,0.129,0.255,0.279,0.275,0.273,0.244,0.273,--,79,37,36,34,65,31,34,15,33,--,Greedy,0.4
Episode,120,step,82,state,"(0, 0)",3,"(1, 0)",--,0.188,0.076,0.218,0.236,0.219,0.180,0.200,0.230,0.190,--,118,94,97,171,321,262,277,248,244,--,Greedy,0.1
Episode,120,step,85,state,"(1, 0)",2,"(0, 0)",--,0.121,0.099,0.236,0.236,0.222,0.237,0.203,0.209,0.237,--,271,163,268,233,367,309,338,372,245,--,Epsilon = 0.32,0.1
Episode,120,step,93,state,"(0, 0)",3,"(0, 20)",--,0.188,0.144,0.218,0.238,0.219,0.180,0.200,0.230,0.190,--,118,95,97,178,321,262,277,248,244,--,Greedy,-0.12
Episode,120,step,94,state,"(0, 20)",6,"(1, 20)",--,-0.036,0.252,0.245,0.253,0.238,0.216,0.266,0.254,0.254,--,54,27,16,39,48,90,18,134,102,--,Greedy,0.1
Episode,120,step,95,state,"(1, 20)",6,"(2, 20)",--,0.250,0.259,0.261,0.260,0.258,0.259,0.267,0.112,0.248,--,31,42,38,33,81,82,136,106,138,--,Greedy,0.1
Episode,120,step,97,state,"(2, 20)",5,"(1, 20)",--,0.256,0.268,0.456,0.262,0.261,0.260,0.284,0.286,0.264,--,108,82,109,126,132,192,87,155,105,--,Epsilon = 0.32,0.1
Episode,120,step,98,state,"(1, 20)",6,"(2, 20)",--,0.250,0.259,0.261,0.260,0.258,0.259,0.308,0.112,0.248,--,31,42,38,33,81,82,137,106,138,--,Greedy,0.1
Episode,120,step,100,state,"(2, 20)",2,"(0, 20)",--,0.256,0.268,0.418,0.262,0.261,0.268,0.284,0.286,0.264,--,108,82,110,126,132,193,87,155,105,--,Epsilon = 0.32,0.1
Episode,120,step,102,state,"(0, 20)",6,"(1, 20)",--,-0.036,0.252,0.245,0.253,0.238,0.231,0.261,0.254,0.254,--,54,27,16,39,48,91,19,134,102,--,Greedy,0.1
