 , , ,log2019-04-25_09-35-22,ep ,94,step ,20,r ,-0.620
 , , ,,,s,a,s_,--,"Q[s, a0]","Q[s, a1]","Q[s, a2]","Q[s, a3]","Q[s, a4]","Q[s, a5]","Q[s, a6]","Q[s, a7]","Q[s, a8]",--,"ST[s, a0]","ST[s, a1]","ST[s, a2]","ST[s, a3]","ST[s, a4]","ST[s, a5]","ST[s, a6]","ST[s, a7]","ST[s, a8]",--,policy,reward
Episode,94,step,1,state,"(1, 0)",7,"(1, 0)",--,0.229,0.216,0.228,0.220,0.199,0.231,0.231,0.232,0.180,--,236,149,212,145,260,247,288,257,214,--,Greedy,0
Episode,94,step,3,state,"(1, 0)",7,"(2, 0)",--,0.229,0.216,0.228,0.220,0.199,0.231,0.231,0.233,0.180,--,236,149,212,145,260,247,288,259,214,--,Greedy,0.1
Episode,94,step,13,state,"(2, 0)",6,"(2, 1)",--,0.102,0.080,0.077,0.175,0.076,-0.053,0.227,0.107,0.139,--,233,275,218,296,250,205,145,124,114,--,Greedy,-0.12
Episode,94,step,18,state,"(2, 1)",1,"(2, 22)",--,-0.106,-0.083,-0.040,-0.223,-0.146,-0.274,0.011,0.124,0.165,--,13,41,21,86,12,38,35,10,15,--,Epsilon = 0.32,-0.8
Episode,94,step,20,state,"(2, 22)",1,"(2, 42)",--,-0.292,-0.053,-0.089,-0.172,-0.088,-0.090,-0.174,-0.115,-0.081,--,4,1,1,1,1,1,1,3,4,--,Greedy,-1
end
