 , , ,log2019-04-26_17-20-55,ep ,230,step ,89,r ,3.920
 , , ,,,s,a,s_,--,"Q[s, a0]","Q[s, a1]","Q[s, a2]","Q[s, a3]","Q[s, a4]","Q[s, a5]","Q[s, a6]","Q[s, a7]","Q[s, a8]",--,"ST[s, a0]","ST[s, a1]","ST[s, a2]","ST[s, a3]","ST[s, a4]","ST[s, a5]","ST[s, a6]","ST[s, a7]","ST[s, a8]",--,policy,reward
Episode,230,step,1,state,"(1, 0)",0,"(1, 0)",--,0.232,0.173,0.215,0.194,0.226,0.216,0.190,0.146,0.222,--,325,451,369,569,564,551,530,516,566,--,Greedy,0
Episode,230,step,3,state,"(1, 0)",2,"(0, 0)",--,0.233,0.173,0.215,0.194,0.226,0.216,0.190,0.146,0.222,--,327,451,369,569,564,551,530,516,566,--,Epsilon = 0.32,0.1
Episode,230,step,8,state,"(0, 0)",8,"(1, 0)",--,0.192,0.139,0.156,0.207,0.153,0.102,0.142,0.105,0.111,--,247,248,259,325,426,438,415,536,466,--,Epsilon = 0.32,0.1
Episode,230,step,9,state,"(1, 0)",0,"(0, 0)",--,0.233,0.173,0.214,0.194,0.226,0.216,0.190,0.146,0.222,--,327,451,370,569,564,551,530,516,566,--,Greedy,0.1
Episode,230,step,10,state,"(0, 0)",3,"(0, 4)",--,0.192,0.139,0.156,0.207,0.153,0.102,0.142,0.105,0.163,--,247,248,259,325,426,438,415,536,467,--,Greedy,-0.12
Episode,230,step,12,state,"(0, 4)",3,"(0, 20)",--,0.062,0.061,0.056,0.112,0.064,0.068,0.049,0.082,0.071,--,15,28,32,36,27,32,31,12,56,--,Greedy,-0.12
Episode,230,step,14,state,"(0, 20)",4,"(1, 20)",--,0.255,0.252,0.246,0.255,0.264,0.329,0.269,0.268,0.257,--,51,41,59,60,52,121,125,141,172,--,Epsilon = 0.32,0.1
Episode,230,step,16,state,"(1, 20)",7,"(0, 20)",--,0.204,0.267,0.019,0.122,0.303,0.297,0.302,0.347,0.337,--,33,32,38,45,42,94,88,147,206,--,Greedy,0.1
Episode,230,step,17,state,"(0, 20)",6,"(2, 20)",--,0.255,0.252,0.246,0.255,0.280,0.329,0.269,0.268,0.257,--,51,41,59,60,53,121,125,141,172,--,Epsilon = 0.32,0.1
Episode,230,step,22,state,"(2, 20)",5,"(2, 0)",--,0.306,0.323,0.353,0.319,0.306,0.328,0.438,0.443,0.333,--,143,57,166,146,137,149,175,241,259,--,Epsilon = 0.32,0.4
Episode,230,step,28,state,"(2, 0)",1,"(1, 0)",--,0.197,0.219,0.235,0.229,0.220,-0.278,0.228,0.237,0.208,--,561,466,591,644,526,472,337,286,305,--,Epsilon = 0.32,0.1
Episode,230,step,29,state,"(1, 0)",0,"(0, 0)",--,0.227,0.173,0.214,0.194,0.226,0.216,0.190,0.146,0.222,--,328,451,370,569,564,551,530,516,566,--,Greedy,0.1
Episode,230,step,35,state,"(0, 0)",0,"(0, 20)",--,0.221,0.139,0.156,0.091,0.153,0.102,0.142,0.105,0.163,--,252,248,259,326,426,438,415,536,467,--,Greedy,-0.12
Episode,230,step,38,state,"(0, 20)",6,"(1, 20)",--,0.255,0.252,0.246,0.255,0.280,0.313,0.327,0.268,0.257,--,51,41,59,60,53,122,127,141,172,--,Greedy,0.1
Episode,230,step,41,state,"(1, 20)",5,"(2, 20)",--,0.204,0.267,0.019,0.195,0.303,0.297,0.302,0.324,0.320,--,33,32,38,46,42,94,88,148,207,--,Epsilon = 0.32,0.1
Episode,230,step,53,state,"(2, 20)",7,"(2, 4)",--,0.318,0.323,0.353,0.319,0.313,0.337,0.350,0.353,0.333,--,144,57,166,146,138,153,178,244,259,--,Epsilon = 0.32,0.4
Episode,230,step,54,state,"(2, 4)",7,"(2, 0)",--,0.471,0.420,0.435,0.347,0.354,0.479,0.417,0.484,0.536,--,21,38,15,31,21,41,42,77,40,--,Epsilon = 0.32,0.4
