 , , ,log2019-04-26_17-28-28,ep ,285,step ,119,r ,9.820
 , , ,,,s,a,s_,--,"Q[s, a0]","Q[s, a1]","Q[s, a2]","Q[s, a3]","Q[s, a4]","Q[s, a5]","Q[s, a6]","Q[s, a7]","Q[s, a8]",--,"ST[s, a0]","ST[s, a1]","ST[s, a2]","ST[s, a3]","ST[s, a4]","ST[s, a5]","ST[s, a6]","ST[s, a7]","ST[s, a8]",--,policy,reward
Episode,285,step,1,state,"(1, 0)",1,"(1, 0)",--,0.231,0.210,0.234,0.235,0.227,0.209,0.238,0.232,0.184,--,421,520,501,625,649,705,646,599,716,--,Epsilon = 0.32,0
Episode,285,step,3,state,"(1, 0)",6,"(2, 0)",--,0.231,0.210,0.234,0.235,0.227,0.209,0.238,0.232,0.207,--,421,521,501,625,649,705,646,599,717,--,Greedy,0.1
Episode,285,step,4,state,"(2, 0)",2,"(1, 0)",--,0.147,0.212,0.189,0.147,0.225,0.212,0.197,0.211,0.193,--,649,566,697,799,683,527,379,349,378,--,Epsilon = 0.32,0.1
Episode,285,step,6,state,"(1, 0)",4,"(0, 0)",--,0.231,0.210,0.234,0.236,0.227,0.209,0.235,0.232,0.207,--,421,521,501,626,649,705,647,599,717,--,Epsilon = 0.32,0.1
Episode,285,step,7,state,"(0, 0)",6,"(1, 0)",--,0.218,0.095,0.187,0.102,0.151,0.101,0.238,0.227,0.157,--,306,281,293,375,473,533,524,655,547,--,Greedy,0.1
Episode,285,step,8,state,"(1, 0)",7,"(2, 0)",--,0.231,0.210,0.234,0.236,0.232,0.209,0.235,0.232,0.207,--,421,521,501,626,650,705,647,599,717,--,Epsilon = 0.32,0.1
Episode,285,step,11,state,"(2, 0)",4,"(1, 0)",--,0.147,0.212,0.209,0.147,0.229,0.212,0.197,0.211,0.193,--,649,566,698,799,685,527,379,349,378,--,Greedy,0.1
Episode,285,step,14,state,"(1, 0)",3,"(0, 0)",--,0.231,0.210,0.234,0.236,0.234,0.209,0.235,0.231,0.207,--,421,521,501,627,651,705,647,600,717,--,Greedy,0.1
Episode,285,step,15,state,"(0, 0)",6,"(1, 0)",--,0.218,0.095,0.187,0.102,0.151,0.101,0.237,0.227,0.157,--,306,281,293,375,473,533,525,655,547,--,Greedy,0.1
Episode,285,step,18,state,"(1, 0)",1,"(0, 0)",--,0.231,0.210,0.234,0.237,0.234,0.209,0.235,0.231,0.207,--,421,521,501,630,651,705,647,600,717,--,Epsilon = 0.32,0.1
Episode,285,step,21,state,"(0, 0)",6,"(1, 0)",--,0.218,0.095,0.187,0.102,0.209,0.101,0.237,0.227,0.157,--,306,281,293,375,475,533,526,655,547,--,Greedy,0.1
Episode,285,step,23,state,"(1, 0)",8,"(2, 0)",--,0.231,0.222,0.234,0.237,0.234,0.209,0.235,0.231,0.207,--,421,522,501,631,651,705,647,600,717,--,Epsilon = 0.32,0.1
Episode,285,step,26,state,"(2, 0)",4,"(1, 0)",--,0.147,0.212,0.209,0.147,0.234,0.212,0.197,0.211,0.193,--,649,566,698,799,688,527,379,349,378,--,Greedy,0.1
Episode,285,step,28,state,"(1, 0)",3,"(0, 0)",--,0.231,0.222,0.234,0.237,0.234,0.209,0.235,0.231,0.218,--,421,522,501,632,651,705,647,600,718,--,Greedy,0.1
Episode,285,step,29,state,"(0, 0)",6,"(1, 0)",--,0.218,0.095,0.187,0.102,0.209,0.101,0.237,0.227,0.157,--,306,281,293,375,475,533,527,655,547,--,Greedy,0.1
Episode,285,step,32,state,"(1, 0)",1,"(0, 0)",--,0.231,0.222,0.234,0.238,0.234,0.209,0.235,0.231,0.218,--,421,522,501,635,651,705,647,600,718,--,Epsilon = 0.32,0.1
Episode,285,step,34,state,"(0, 0)",6,"(1, 0)",--,0.218,0.095,0.187,0.102,0.209,0.101,0.238,0.227,0.157,--,306,281,293,375,475,533,529,655,547,--,Greedy,0.1
