 , , ,log2019-04-26_17-10-22,ep ,172,step ,52,r ,2.080
 , , ,,,s,a,s_,--,"Q[s, a0]","Q[s, a1]","Q[s, a2]","Q[s, a3]","Q[s, a4]","Q[s, a5]","Q[s, a6]","Q[s, a7]","Q[s, a8]",--,"ST[s, a0]","ST[s, a1]","ST[s, a2]","ST[s, a3]","ST[s, a4]","ST[s, a5]","ST[s, a6]","ST[s, a7]","ST[s, a8]",--,policy,reward
Episode,172,step,1,state,"(1, 0)",5,"(1, 0)",--,0.217,0.218,0.214,0.223,0.232,0.238,0.230,0.078,-0.036,--,226,268,285,376,467,438,328,376,424,--,Greedy,0
Episode,172,step,3,state,"(1, 0)",3,"(0, 0)",--,0.226,0.218,0.214,0.223,0.232,0.238,0.230,0.078,-0.036,--,227,268,285,376,467,439,328,376,424,--,Epsilon = 0.32,0.1
Episode,172,step,5,state,"(0, 0)",6,"(1, 0)",--,0.156,0.035,0.145,-0.068,0.192,-0.315,0.236,0.230,0.126,--,141,154,169,261,323,273,289,319,350,--,Greedy,0.1
Episode,172,step,10,state,"(1, 0)",2,"(0, 0)",--,0.226,0.227,0.224,0.229,0.232,0.238,0.230,0.078,-0.036,--,227,269,286,377,467,441,328,376,424,--,Epsilon = 0.32,0.1
Episode,172,step,12,state,"(0, 0)",6,"(1, 0)",--,0.156,0.035,0.145,-0.068,0.211,-0.315,0.237,0.230,0.126,--,141,154,169,261,324,273,290,319,350,--,Greedy,0.1
Episode,172,step,13,state,"(1, 0)",5,"(2, 0)",--,0.226,0.227,0.230,0.229,0.232,0.238,0.230,0.078,-0.036,--,227,269,287,377,467,441,328,376,424,--,Greedy,0.1
Episode,172,step,18,state,"(2, 0)",1,"(1, 0)",--,0.062,0.175,0.201,0.191,0.134,0.236,0.144,0.178,0.129,--,373,290,426,467,353,342,234,182,228,--,Epsilon = 0.32,0.1
Episode,172,step,20,state,"(1, 0)",5,"(2, 0)",--,0.226,0.227,0.230,0.229,0.232,0.237,0.230,0.078,-0.036,--,227,269,287,377,467,443,328,376,424,--,Greedy,0.1
Episode,172,step,32,state,"(2, 0)",5,"(1, 0)",--,0.062,0.201,0.201,0.211,0.134,0.238,0.144,0.178,0.129,--,373,291,426,468,353,352,234,182,228,--,Greedy,0.1
Episode,172,step,35,state,"(1, 0)",5,"(2, 0)",--,0.226,0.227,0.230,0.229,0.234,0.237,0.230,0.078,-0.036,--,227,269,287,377,468,445,328,376,424,--,Greedy,0.1
Episode,172,step,36,state,"(2, 0)",4,"(2, 1)",--,0.062,0.201,0.201,0.211,0.134,0.238,0.144,0.178,0.129,--,373,291,426,468,353,353,234,182,228,--,Epsilon = 0.32,-0.12
Episode,172,step,38,state,"(2, 1)",0,"(1, 1)",--,0.212,-0.015,-0.521,-0.153,-0.379,-0.162,-0.031,-0.105,-0.192,--,74,51,52,72,60,41,40,40,63,--,Greedy,0.1
Episode,172,step,40,state,"(1, 1)",6,"(2, 1)",--,-0.029,-0.174,0.021,0.090,0.017,0.072,0.174,-0.280,-0.149,--,24,76,53,34,21,13,18,17,35,--,Greedy,0.1
Episode,172,step,41,state,"(2, 1)",0,"(1, 1)",--,0.204,-0.015,-0.521,-0.153,-0.379,-0.162,-0.031,-0.105,-0.192,--,75,51,52,72,60,41,40,40,63,--,Greedy,0.1
Episode,172,step,43,state,"(1, 1)",6,"(2, 1)",--,-0.029,-0.174,0.021,0.090,0.017,0.072,0.201,-0.280,-0.149,--,24,76,53,34,21,13,20,17,35,--,Greedy,0.1
Episode,172,step,44,state,"(2, 1)",0,"(2, 2)",--,0.207,-0.015,-0.521,-0.153,-0.379,-0.162,-0.031,-0.105,-0.192,--,76,51,52,72,60,41,40,40,63,--,Greedy,-0.8
Episode,172,step,48,state,"(2, 2)",0,"(1, 18)",--,-0.261,-0.183,-0.139,-0.172,-0.176,-0.241,-0.261,0.077,-0.325,--,12,13,24,18,6,29,16,48,11,--,Epsilon = 0.32,-0.2
Episode,172,step,49,state,"(1, 18)",3,"(0, 18)",--,-0.089,-0.134,-0.120,-0.090,-0.093,-0.088,-0.089,0.295,-0.107,--,1,2,3,1,1,1,1,2,1,--,Epsilon = 0.32,-0.2
Episode,172,step,50,state,"(0, 18)",4,"(0, 0)",--,-0.086,-0.009,-0.006,-0.148,0.375,-0.086,-0.086,-0.135,-0.007,--,1,0,0,2,1,1,1,1,0,--,Epsilon = 0.32,0.8
Episode,172,step,51,state,"(0, 0)",6,"(1, 0)",--,0.156,0.035,0.145,-0.068,0.211,-0.315,0.237,0.230,0.126,--,141,154,169,261,324,273,291,319,350,--,Greedy,0.1
Episode,172,step,52,state,"(1, 0)",4,"(2, 0)",--,0.226,0.227,0.230,0.229,0.234,0.237,0.230,0.078,-0.036,--,227,269,287,377,468,446,328,376,424,--,Epsilon = 0.32,-1
end
