 , , ,log2019-04-25_09-48-32,ep ,183,step ,149,r ,14.440
 , , ,,,s,a,s_,--,"Q[s, a0]","Q[s, a1]","Q[s, a2]","Q[s, a3]","Q[s, a4]","Q[s, a5]","Q[s, a6]","Q[s, a7]","Q[s, a8]",--,"ST[s, a0]","ST[s, a1]","ST[s, a2]","ST[s, a3]","ST[s, a4]","ST[s, a5]","ST[s, a6]","ST[s, a7]","ST[s, a8]",--,policy,reward
Episode,183,step,1,state,"(1, 0)",0,"(1, 0)",--,0.234,0.225,0.221,0.143,0.205,0.223,0.213,0.165,0.218,--,340,233,429,340,566,456,433,506,391,--,Greedy,0
Episode,183,step,3,state,"(1, 0)",0,"(0, 0)",--,0.234,0.225,0.221,0.143,0.205,0.223,0.213,0.165,0.218,--,342,233,429,340,566,456,433,506,391,--,Greedy,0.1
Episode,183,step,6,state,"(0, 0)",5,"(1, 0)",--,0.090,0.131,0.153,0.154,0.089,0.183,0.103,0.145,-0.278,--,159,150,140,220,428,322,411,434,275,--,Greedy,0.1
Episode,183,step,8,state,"(1, 0)",3,"(0, 0)",--,0.216,0.227,0.221,0.143,0.205,0.223,0.213,0.165,0.218,--,343,234,429,340,566,456,433,506,391,--,Epsilon = 0.32,0.1
Episode,183,step,10,state,"(0, 0)",1,"(1, 0)",--,0.090,0.131,0.153,0.154,0.089,0.209,0.103,0.145,-0.278,--,159,150,140,220,428,324,411,434,275,--,Epsilon = 0.32,0.1
Episode,183,step,11,state,"(1, 0)",1,"(0, 0)",--,0.216,0.227,0.221,0.174,0.205,0.223,0.213,0.165,0.218,--,343,234,429,341,566,456,433,506,391,--,Greedy,0.1
Episode,183,step,12,state,"(0, 0)",7,"(0, 4)",--,0.090,0.173,0.153,0.154,0.089,0.209,0.103,0.145,-0.278,--,159,151,140,220,428,324,411,434,275,--,Epsilon = 0.32,-0.12
Episode,183,step,13,state,"(0, 4)",1,"(0, 20)",--,0.048,0.087,0.021,0.034,0.048,0.053,0.069,0.048,0.050,--,11,26,13,13,26,34,7,35,48,--,Greedy,-0.12
Episode,183,step,15,state,"(0, 20)",7,"(1, 20)",--,0.186,-0.289,-0.325,-0.130,0.210,0.124,0.153,0.257,0.031,--,70,51,53,50,70,102,45,175,141,--,Greedy,0.1
Episode,183,step,18,state,"(1, 20)",5,"(2, 20)",--,0.236,0.305,0.245,0.246,0.231,0.242,-0.004,0.400,-0.125,--,42,53,48,45,94,93,220,137,151,--,Epsilon = 0.32,0.1
Episode,183,step,23,state,"(2, 20)",8,"(2, 0)",--,0.289,0.290,0.288,0.319,0.286,0.289,0.288,0.287,0.365,--,135,151,139,145,145,275,117,200,148,--,Greedy,0.4
Episode,183,step,27,state,"(2, 0)",4,"(1, 0)",--,0.223,0.212,0.230,0.079,0.191,0.152,0.204,0.134,0.173,--,397,529,445,477,373,311,271,277,185,--,Epsilon = 0.32,0.1
Episode,183,step,28,state,"(1, 0)",1,"(0, 0)",--,0.216,0.225,0.221,0.174,0.205,0.223,0.213,0.165,0.218,--,343,235,429,341,566,456,433,506,391,--,Greedy,0.1
Episode,183,step,30,state,"(0, 0)",5,"(1, 0)",--,0.090,0.173,0.153,0.154,0.089,0.214,0.103,0.055,-0.278,--,159,151,140,220,428,325,411,435,275,--,Greedy,0.1
Episode,183,step,32,state,"(1, 0)",3,"(0, 0)",--,0.216,0.226,0.221,0.174,0.205,0.223,0.213,0.165,0.218,--,343,237,429,341,566,456,433,506,391,--,Epsilon = 0.32,0.1
Episode,183,step,34,state,"(0, 0)",5,"(1, 0)",--,0.090,0.173,0.153,0.154,0.089,0.221,0.103,0.055,-0.065,--,159,151,140,220,428,326,411,435,276,--,Greedy,0.1
Episode,183,step,35,state,"(1, 0)",7,"(2, 0)",--,0.216,0.226,0.221,0.197,0.205,0.223,0.213,0.165,0.218,--,343,237,429,342,566,456,433,506,391,--,Epsilon = 0.32,0.1
Episode,183,step,37,state,"(2, 0)",2,"(1, 0)",--,0.223,0.212,0.232,0.079,0.207,0.152,0.204,0.134,0.173,--,397,529,446,477,374,311,271,277,185,--,Greedy,0.1
Episode,183,step,38,state,"(1, 0)",1,"(0, 0)",--,0.216,0.226,0.221,0.197,0.205,0.223,0.213,0.194,0.218,--,343,237,429,342,566,456,433,507,391,--,Greedy,0.1
Episode,183,step,40,state,"(0, 0)",5,"(1, 0)",--,0.090,0.173,0.153,0.154,0.089,0.227,0.103,0.055,-0.065,--,159,151,140,220,428,328,411,435,276,--,Greedy,0.1
Episode,183,step,42,state,"(1, 0)",1,"(0, 0)",--,0.216,0.230,0.221,0.197,0.205,0.223,0.213,0.194,0.218,--,343,239,429,342,566,456,433,507,391,--,Greedy,0.1
Episode,183,step,47,state,"(0, 0)",2,"(1, 0)",--,0.090,0.173,0.187,0.188,0.089,0.232,0.103,0.055,-0.065,--,159,151,141,221,428,331,411,435,276,--,Epsilon = 0.32,0.1
Episode,183,step,48,state,"(1, 0)",1,"(0, 0)",--,0.216,0.231,0.221,0.197,0.205,0.223,0.213,0.194,0.218,--,343,240,429,342,566,456,433,507,391,--,Greedy,0.1
Episode,183,step,51,state,"(0, 0)",5,"(1, 4)",--,0.090,0.173,0.207,0.188,0.150,0.233,0.103,0.055,-0.065,--,159,151,142,221,429,332,411,435,276,--,Greedy,-0.12
Episode,183,step,53,state,"(1, 4)",8,"(2, 0)",--,0.196,0.314,0.189,0.308,0.210,0.230,0.177,0.203,0.396,--,9,9,9,15,29,8,37,16,56,--,Greedy,0.4
Episode,183,step,55,state,"(2, 0)",2,"(0, 0)",--,0.223,0.212,0.233,0.079,0.207,0.152,0.204,0.134,0.173,--,397,529,448,477,374,311,271,277,185,--,Greedy,0.1
Episode,183,step,56,state,"(0, 0)",2,"(0, 4)",--,0.090,0.173,0.207,0.188,0.150,0.181,0.103,0.055,-0.065,--,159,151,142,221,429,333,411,435,276,--,Greedy,-0.12
Episode,183,step,57,state,"(0, 4)",6,"(0, 20)",--,0.048,0.063,0.021,0.034,0.048,0.053,0.069,0.048,0.050,--,11,27,13,13,26,34,7,35,48,--,Greedy,-0.12
Episode,183,step,60,state,"(0, 20)",7,"(2, 20)",--,0.186,-0.053,-0.325,-0.130,0.210,0.124,0.153,0.287,0.031,--,70,52,53,50,70,102,45,177,141,--,Greedy,0.1
Episode,183,step,63,state,"(2, 20)",8,"(2, 4)",--,0.289,0.290,0.288,0.319,0.286,0.307,0.288,0.287,0.400,--,135,151,139,145,145,276,117,200,150,--,Greedy,0.4
Episode,183,step,64,state,"(2, 4)",6,"(2, 0)",--,0.426,0.480,0.424,0.397,0.452,0.424,0.524,0.430,0.482,--,21,76,8,27,7,30,71,42,12,--,Greedy,0.4
Episode,183,step,67,state,"(2, 0)",2,"(0, 0)",--,0.223,0.212,0.231,0.079,0.207,0.152,0.204,0.134,0.173,--,397,529,451,477,374,311,271,277,185,--,Greedy,0.1
