 , , ,log2019-04-25_09-45-17,ep ,164,step ,27,r ,-1.120
 , , ,,,s,a,s_,--,"Q[s, a0]","Q[s, a1]","Q[s, a2]","Q[s, a3]","Q[s, a4]","Q[s, a5]","Q[s, a6]","Q[s, a7]","Q[s, a8]",--,"ST[s, a0]","ST[s, a1]","ST[s, a2]","ST[s, a3]","ST[s, a4]","ST[s, a5]","ST[s, a6]","ST[s, a7]","ST[s, a8]",--,policy,reward
Episode,164,step,1,state,"(1, 0)",6,"(1, 0)",--,0.231,0.222,0.233,0.219,0.232,0.220,0.235,0.233,0.223,--,305,200,345,317,511,406,408,459,371,--,Greedy,0
Episode,164,step,5,state,"(1, 0)",6,"(2, 0)",--,0.233,0.222,0.233,0.219,0.232,0.227,0.235,0.234,0.223,--,306,200,345,317,511,407,409,460,371,--,Greedy,0.1
Episode,164,step,6,state,"(2, 0)",2,"(1, 0)",--,-0.042,0.175,0.235,0.182,0.138,0.175,0.095,0.170,0.169,--,330,507,381,454,340,292,226,241,171,--,Greedy,0.1
Episode,164,step,9,state,"(1, 0)",3,"(0, 0)",--,0.233,0.222,0.235,0.219,0.232,0.227,0.236,0.234,0.223,--,306,200,346,317,511,407,411,460,371,--,Epsilon = 0.32,0.1
Episode,164,step,13,state,"(0, 0)",0,"(0, 20)",--,0.198,0.164,0.076,0.176,0.173,0.106,0.116,0.193,-0.224,--,144,124,127,196,399,313,354,331,262,--,Greedy,-0.12
Episode,164,step,18,state,"(0, 20)",1,"(0, 21)",--,0.058,0.218,0.146,-0.077,-0.047,-0.011,-0.084,0.057,0.168,--,68,41,45,48,55,100,43,168,110,--,Greedy,0.1
Episode,164,step,21,state,"(0, 21)",4,"(1, 41)",--,-0.160,-0.303,-0.445,-0.304,0.013,-0.408,-0.493,-0.595,-0.210,--,7,2,5,2,21,18,3,19,17,--,Epsilon = 0.32,-0.8
Episode,164,step,23,state,"(1, 41)",6,"(2, 41)",--,-0.432,-0.436,-0.407,-0.408,-0.498,-0.594,-0.395,-0.408,-0.587,--,5,17,14,18,8,10,14,17,13,--,Greedy,-0.2
Episode,164,step,25,state,"(2, 41)",3,"(1, 41)",--,-0.425,-0.402,-0.398,-0.401,-0.528,-0.393,-0.396,-0.600,-0.399,--,4,11,10,31,9,19,9,13,11,--,Epsilon = 0.32,-0.2
Episode,164,step,26,state,"(1, 41)",2,"(0, 41)",--,-0.432,-0.436,-0.407,-0.408,-0.498,-0.594,-0.407,-0.408,-0.587,--,5,17,14,18,8,10,15,17,13,--,Greedy,-0.2
Episode,164,step,27,state,"(0, 41)",3,"(0, 42)",--,-0.625,-0.502,-0.591,-0.467,-0.682,-0.506,-0.564,-0.605,-0.666,--,19,7,9,23,14,10,30,7,23,--,Greedy,-1
end
