 , , ,log2019-04-26_17-25-06,ep ,258,step ,138,r ,11.060
 , , ,,,s,a,s_,--,"Q[s, a0]","Q[s, a1]","Q[s, a2]","Q[s, a3]","Q[s, a4]","Q[s, a5]","Q[s, a6]","Q[s, a7]","Q[s, a8]",--,"ST[s, a0]","ST[s, a1]","ST[s, a2]","ST[s, a3]","ST[s, a4]","ST[s, a5]","ST[s, a6]","ST[s, a7]","ST[s, a8]",--,policy,reward
Episode,258,step,1,state,"(1, 0)",6,"(1, 0)",--,0.230,0.229,0.221,0.222,0.227,0.209,0.235,0.154,0.205,--,378,487,480,592,605,647,601,577,601,--,Greedy,0
Episode,258,step,3,state,"(1, 0)",6,"(2, 0)",--,0.230,0.229,0.221,0.222,0.227,0.209,0.235,0.154,0.205,--,378,487,480,592,605,647,603,577,601,--,Epsilon = 0.32,0.1
Episode,258,step,8,state,"(2, 0)",4,"(1, 0)",--,0.139,0.187,0.109,0.155,0.220,0.169,0.204,0.192,0.208,--,597,524,637,747,607,497,367,324,355,--,Greedy,0.1
Episode,258,step,9,state,"(1, 0)",2,"(0, 0)",--,0.230,0.229,0.221,0.222,0.227,0.209,0.230,0.154,0.205,--,378,487,480,592,605,647,604,577,601,--,Epsilon = 0.32,0.1
Episode,258,step,11,state,"(0, 0)",4,"(1, 0)",--,0.145,0.094,0.160,0.148,-0.275,0.184,0.222,0.074,0.155,--,274,264,282,355,460,481,442,641,527,--,Epsilon = 0.32,0.1
Episode,258,step,13,state,"(1, 0)",6,"(2, 0)",--,0.230,0.229,0.224,0.222,0.227,0.209,0.232,0.154,0.205,--,378,487,481,592,605,647,605,577,601,--,Greedy,0.1
Episode,258,step,16,state,"(2, 0)",4,"(1, 0)",--,0.139,0.187,0.109,0.155,0.230,0.169,0.204,0.192,0.208,--,597,524,637,747,610,497,367,324,355,--,Greedy,0.1
Episode,258,step,19,state,"(1, 0)",6,"(2, 0)",--,0.230,0.229,0.228,0.222,0.227,0.209,0.232,0.154,0.205,--,378,487,482,592,605,647,607,577,601,--,Greedy,0.1
Episode,258,step,22,state,"(2, 0)",4,"(1, 0)",--,0.139,0.187,0.109,0.155,0.234,0.169,0.204,0.192,0.208,--,597,524,637,747,613,497,367,324,355,--,Greedy,0.1
Episode,258,step,23,state,"(1, 0)",6,"(2, 0)",--,0.230,0.229,0.228,0.222,0.227,0.209,0.233,0.154,0.205,--,378,487,482,592,605,647,608,577,601,--,Epsilon = 0.32,0.1
Episode,258,step,25,state,"(2, 0)",1,"(1, 0)",--,0.139,0.187,0.109,0.155,0.235,0.169,0.204,0.192,0.208,--,597,524,637,747,615,497,367,324,355,--,Epsilon = 0.32,0.1
Episode,258,step,27,state,"(1, 0)",6,"(2, 1)",--,0.230,0.229,0.228,0.222,0.227,0.209,0.235,0.154,0.205,--,378,487,482,592,605,647,610,577,601,--,Greedy,-0.12
Episode,258,step,29,state,"(2, 1)",3,"(1, 1)",--,-0.058,-0.336,-0.254,0.040,-0.102,-0.169,-0.101,-0.017,-0.245,--,97,102,110,120,88,47,58,55,76,--,Greedy,0.1
Episode,258,step,32,state,"(1, 1)",1,"(0, 1)",--,0.194,0.247,-0.206,-0.121,0.240,0.156,0.180,0.241,0.166,--,50,86,123,58,28,28,37,29,41,--,Greedy,0.1
Episode,258,step,35,state,"(0, 1)",2,"(0, 0)",--,0.283,0.313,0.284,0.052,0.268,0.278,0.277,0.282,0.234,--,72,130,91,152,75,50,72,47,55,--,Epsilon = 0.32,0.4
Episode,258,step,37,state,"(0, 0)",6,"(1, 0)",--,0.145,0.094,0.160,0.148,-0.061,0.184,0.225,0.074,0.155,--,274,264,282,355,461,481,443,641,527,--,Greedy,0.1
Episode,258,step,38,state,"(1, 0)",0,"(0, 0)",--,0.230,0.229,0.228,0.222,0.227,0.209,0.085,0.154,0.205,--,378,487,482,592,605,647,611,577,601,--,Greedy,0.1
Episode,258,step,39,state,"(0, 0)",6,"(1, 0)",--,0.145,0.094,0.160,0.148,-0.061,0.184,0.228,0.074,0.155,--,274,264,282,355,461,481,444,641,527,--,Greedy,0.1
Episode,258,step,41,state,"(1, 0)",0,"(0, 0)",--,0.231,0.229,0.228,0.227,0.227,0.209,0.085,0.154,0.205,--,379,487,482,593,605,647,611,577,601,--,Greedy,0.1
Episode,258,step,43,state,"(0, 0)",6,"(1, 0)",--,0.145,0.094,0.160,0.148,-0.061,0.184,0.232,0.074,0.155,--,274,264,282,355,461,481,446,641,527,--,Greedy,0.1
Episode,258,step,45,state,"(1, 0)",0,"(0, 0)",--,0.233,0.229,0.228,0.227,0.227,0.209,0.085,0.154,0.205,--,381,487,482,593,605,647,611,577,601,--,Greedy,0.1
Episode,258,step,47,state,"(0, 0)",6,"(1, 0)",--,0.145,0.094,0.160,0.148,-0.061,0.184,0.234,0.074,0.155,--,274,264,282,355,461,481,448,641,527,--,Greedy,0.1
Episode,258,step,48,state,"(1, 0)",4,"(2, 0)",--,0.234,0.229,0.228,0.227,0.227,0.209,0.085,0.154,0.205,--,382,487,482,593,605,647,611,577,601,--,Epsilon = 0.32,0.1
Episode,258,step,49,state,"(2, 0)",4,"(1, 0)",--,0.139,0.208,0.109,0.155,0.235,0.169,0.204,0.192,0.208,--,597,525,637,747,615,497,367,324,355,--,Greedy,0.1
Episode,258,step,50,state,"(1, 0)",7,"(2, 0)",--,0.234,0.229,0.228,0.227,0.231,0.209,0.085,0.154,0.205,--,382,487,482,593,606,647,611,577,601,--,Epsilon = 0.32,0.1
Episode,258,step,53,state,"(2, 0)",4,"(1, 0)",--,0.139,0.208,0.109,0.155,0.236,0.169,0.204,0.192,0.208,--,597,525,637,747,618,497,367,324,355,--,Greedy,0.1
Episode,258,step,54,state,"(1, 0)",0,"(0, 0)",--,0.234,0.229,0.228,0.227,0.231,0.209,0.085,0.189,0.205,--,382,487,482,593,606,647,611,578,601,--,Greedy,0.1
Episode,258,step,58,state,"(0, 0)",6,"(1, 0)",--,0.145,0.154,0.160,0.148,-0.061,0.184,0.236,0.074,0.155,--,274,265,282,355,461,481,451,641,527,--,Greedy,0.1
Episode,258,step,59,state,"(1, 0)",0,"(2, 0)",--,0.235,0.229,0.228,0.227,0.231,0.209,0.085,0.189,0.205,--,383,487,482,593,606,647,611,578,601,--,Greedy,0.1
Episode,258,step,60,state,"(2, 0)",1,"(0, 0)",--,0.139,0.208,0.109,0.155,0.236,0.169,0.204,0.192,0.208,--,597,525,637,747,619,497,367,324,355,--,Epsilon = 0.32,0.1
Episode,258,step,62,state,"(0, 0)",6,"(2, 0)",--,0.145,0.154,0.160,0.148,-0.061,0.184,0.236,0.074,0.155,--,274,265,282,355,461,481,453,641,527,--,Greedy,0.1
Episode,258,step,63,state,"(2, 0)",0,"(1, 0)",--,0.139,0.220,0.109,0.155,0.236,0.169,0.204,0.192,0.208,--,597,526,637,747,619,497,367,324,355,--,Epsilon = 0.32,0.1
Episode,258,step,64,state,"(1, 0)",0,"(0, 0)",--,0.236,0.229,0.228,0.227,0.231,0.209,0.085,0.189,0.205,--,384,487,482,593,606,647,611,578,601,--,Greedy,0.1
Episode,258,step,66,state,"(0, 0)",6,"(2, 0)",--,0.145,0.154,0.160,0.148,-0.061,0.184,0.237,0.074,0.155,--,274,265,282,355,461,481,455,641,527,--,Greedy,0.1
Episode,258,step,69,state,"(2, 0)",2,"(1, 0)",--,0.180,0.220,0.109,0.155,0.237,0.169,0.204,0.192,0.208,--,598,526,637,747,621,497,367,324,355,--,Epsilon = 0.32,0.1
Episode,258,step,70,state,"(1, 0)",1,"(0, 0)",--,0.236,0.229,0.228,0.227,0.231,0.209,0.085,0.189,0.205,--,385,487,482,593,606,647,611,578,601,--,Epsilon = 0.32,0.1
Episode,258,step,72,state,"(0, 0)",6,"(1, 0)",--,0.145,0.154,0.160,0.148,-0.061,0.184,0.237,0.074,0.189,--,274,265,282,355,461,481,456,641,528,--,Greedy,0.1
Episode,258,step,73,state,"(1, 0)",7,"(2, 0)",--,0.236,0.232,0.228,0.227,0.231,0.209,0.085,0.189,0.205,--,385,488,482,593,606,647,611,578,601,--,Epsilon = 0.32,0.1
Episode,258,step,77,state,"(2, 0)",4,"(1, 0)",--,0.180,0.220,0.163,0.155,0.237,0.169,0.218,0.192,0.208,--,598,526,638,747,623,497,368,324,355,--,Greedy,0.1
Episode,258,step,78,state,"(1, 0)",0,"(0, 0)",--,0.236,0.232,0.228,0.227,0.231,0.209,0.085,0.209,0.205,--,385,488,482,593,606,647,611,579,601,--,Greedy,0.1
Episode,258,step,80,state,"(0, 0)",6,"(1, 0)",--,0.145,0.154,0.160,0.148,-0.061,0.184,0.237,0.074,0.189,--,274,265,282,355,461,481,458,641,528,--,Greedy,0.1
Episode,258,step,82,state,"(1, 0)",0,"(0, 0)",--,0.237,0.232,0.228,0.227,0.231,0.209,0.085,0.209,0.205,--,387,488,482,593,606,647,611,579,601,--,Greedy,0.1
Episode,258,step,84,state,"(0, 0)",6,"(1, 0)",--,0.145,0.154,0.160,0.148,-0.061,0.184,0.237,0.074,0.189,--,274,265,282,355,461,481,460,641,528,--,Greedy,0.1
Episode,258,step,86,state,"(1, 0)",2,"(0, 0)",--,0.237,0.232,0.228,0.227,0.231,0.209,0.085,0.209,0.205,--,389,488,482,593,606,647,611,579,601,--,Epsilon = 0.32,0.1
Episode,258,step,89,state,"(0, 0)",6,"(2, 0)",--,0.145,0.154,0.160,0.186,-0.061,0.184,0.238,0.074,0.189,--,274,265,282,356,461,481,462,641,528,--,Greedy,0.1
Episode,258,step,90,state,"(2, 0)",1,"(1, 0)",--,0.180,0.220,0.163,0.155,0.237,0.169,0.218,0.192,0.208,--,598,526,638,747,624,497,368,324,355,--,Epsilon = 0.32,0.1
Episode,258,step,91,state,"(1, 0)",0,"(0, 0)",--,0.237,0.232,0.232,0.227,0.231,0.209,0.085,0.209,0.205,--,389,488,483,593,606,647,611,579,601,--,Greedy,0.1
Episode,258,step,93,state,"(0, 0)",6,"(1, 0)",--,0.145,0.154,0.160,0.186,-0.061,0.184,0.238,0.074,0.189,--,274,265,282,356,461,481,464,641,528,--,Greedy,0.1
Episode,258,step,95,state,"(1, 0)",0,"(0, 0)",--,0.238,0.232,0.232,0.227,0.231,0.209,0.085,0.209,0.205,--,391,488,483,593,606,647,611,579,601,--,Greedy,0.1
Episode,258,step,97,state,"(0, 0)",6,"(2, 0)",--,0.145,0.154,0.160,0.186,-0.061,0.184,0.238,0.074,0.189,--,274,265,282,356,461,481,466,641,528,--,Greedy,0.1
Episode,258,step,104,state,"(2, 0)",4,"(1, 0)",--,0.180,0.227,0.163,0.155,0.238,0.169,0.218,0.211,0.221,--,598,527,638,747,628,497,368,325,356,--,Greedy,0.1
Episode,258,step,107,state,"(1, 0)",0,"(0, 0)",--,0.238,0.232,0.232,0.232,0.234,0.209,0.085,0.209,0.205,--,392,488,483,594,607,647,611,579,601,--,Greedy,0.1
Episode,258,step,114,state,"(0, 0)",6,"(1, 0)",--,0.145,0.210,0.160,0.220,-0.061,0.184,0.238,0.143,0.189,--,274,267,282,358,461,481,468,642,528,--,Greedy,0.1
Episode,258,step,116,state,"(1, 0)",0,"(0, 0)",--,0.238,0.232,0.232,0.232,0.234,0.209,0.085,0.209,0.205,--,394,488,483,594,607,647,611,579,601,--,Greedy,0.1
Episode,258,step,118,state,"(0, 0)",4,"(1, 0)",--,0.145,0.210,0.160,0.220,-0.061,0.184,0.238,0.143,0.189,--,274,267,282,358,461,481,470,642,528,--,Epsilon = 0.32,0.1
