 , , ,log2019-04-26_17-17-08,ep ,210,step ,147,r ,14.160
 , , ,,,s,a,s_,--,"Q[s, a0]","Q[s, a1]","Q[s, a2]","Q[s, a3]","Q[s, a4]","Q[s, a5]","Q[s, a6]","Q[s, a7]","Q[s, a8]",--,"ST[s, a0]","ST[s, a1]","ST[s, a2]","ST[s, a3]","ST[s, a4]","ST[s, a5]","ST[s, a6]","ST[s, a7]","ST[s, a8]",--,policy,reward
Episode,210,step,1,state,"(1, 0)",8,"(1, 0)",--,-0.033,0.224,0.227,0.140,0.131,0.210,0.156,-0.227,0.163,--,283,321,344,533,541,510,474,500,500,--,Epsilon = 0.32,0
Episode,210,step,4,state,"(1, 0)",2,"(0, 0)",--,-0.033,0.224,0.231,0.140,0.131,0.210,0.156,-0.227,0.163,--,283,321,346,533,541,510,474,500,501,--,Greedy,0.1
Episode,210,step,5,state,"(0, 0)",7,"(1, 0)",--,0.190,0.152,0.189,0.174,0.133,0.127,0.183,0.225,0.180,--,200,205,227,301,389,383,369,460,378,--,Greedy,0.1
Episode,210,step,7,state,"(1, 0)",2,"(0, 0)",--,-0.033,0.224,0.232,0.140,0.131,0.210,0.156,-0.227,0.163,--,283,321,348,533,541,510,474,500,501,--,Greedy,0.1
Episode,210,step,9,state,"(0, 0)",7,"(1, 0)",--,0.190,0.152,0.189,0.174,0.133,0.127,0.183,0.230,0.180,--,200,205,227,301,389,383,369,462,378,--,Greedy,0.1
Episode,210,step,11,state,"(1, 0)",2,"(0, 0)",--,-0.033,0.224,0.233,0.140,0.131,0.210,0.156,-0.227,0.163,--,283,321,350,533,541,510,474,500,501,--,Greedy,0.1
Episode,210,step,12,state,"(0, 0)",7,"(1, 0)",--,0.190,0.152,0.189,0.174,0.133,0.127,0.183,0.232,0.180,--,200,205,227,301,389,383,369,463,378,--,Greedy,0.1
Episode,210,step,14,state,"(1, 0)",2,"(0, 0)",--,-0.033,0.224,0.235,0.140,0.131,0.210,0.156,-0.227,0.163,--,283,321,352,533,541,510,474,500,501,--,Greedy,0.1
Episode,210,step,16,state,"(0, 0)",4,"(1, 0)",--,0.190,0.152,0.189,0.174,0.133,0.127,0.183,0.234,0.180,--,200,205,227,301,389,383,369,465,378,--,Epsilon = 0.32,0.1
Episode,210,step,17,state,"(1, 0)",2,"(0, 0)",--,-0.033,0.224,0.235,0.140,0.131,0.210,0.156,-0.227,0.163,--,283,321,353,533,541,510,474,500,501,--,Greedy,0.1
