 , , ,log2019-04-26_17-03-48,ep ,121,step ,84,r ,2.090
 , , ,,,s,a,s_,--,"Q[s, a0]","Q[s, a1]","Q[s, a2]","Q[s, a3]","Q[s, a4]","Q[s, a5]","Q[s, a6]","Q[s, a7]","Q[s, a8]",--,"ST[s, a0]","ST[s, a1]","ST[s, a2]","ST[s, a3]","ST[s, a4]","ST[s, a5]","ST[s, a6]","ST[s, a7]","ST[s, a8]",--,policy,reward
Episode,121,step,1,state,"(1, 0)",7,"(1, 0)",--,0.235,0.234,0.236,0.197,0.231,-0.230,0.213,0.237,0.237,--,156,208,215,301,369,355,249,304,231,--,Greedy,0
Episode,121,step,5,state,"(1, 0)",7,"(2, 0)",--,0.235,0.234,0.237,0.197,0.231,-0.230,0.213,0.237,0.237,--,156,208,216,301,369,355,249,307,231,--,Greedy,0.1
Episode,121,step,7,state,"(2, 0)",2,"(1, 0)",--,0.223,0.100,0.163,0.091,0.171,0.193,0.137,0.206,0.150,--,265,179,320,369,255,256,164,155,140,--,Epsilon = 0.32,0.1
Episode,121,step,11,state,"(1, 0)",8,"(2, 0)",--,0.235,0.235,0.237,0.197,0.231,-0.230,0.213,0.235,0.237,--,156,209,216,301,369,355,249,309,232,--,Greedy,0.1
Episode,121,step,14,state,"(2, 0)",0,"(1, 0)",--,0.226,0.100,0.194,0.091,0.171,0.209,0.137,0.206,0.150,--,266,179,321,369,255,257,164,155,140,--,Greedy,0.1
Episode,121,step,15,state,"(1, 0)",2,"(0, 0)",--,0.235,0.235,0.237,0.197,0.231,-0.230,0.213,0.235,0.234,--,156,209,216,301,369,355,249,309,233,--,Greedy,0.1
Episode,121,step,17,state,"(0, 0)",8,"(2, 0)",--,0.144,0.164,0.188,0.205,0.194,0.204,0.183,0.210,0.238,--,113,124,136,229,210,220,182,236,299,--,Greedy,0.1
Episode,121,step,19,state,"(2, 0)",1,"(0, 0)",--,0.232,0.100,0.194,0.091,0.171,0.209,0.137,0.206,0.150,--,268,179,321,369,255,257,164,155,140,--,Epsilon = 0.32,0.1
Episode,121,step,21,state,"(0, 0)",8,"(2, 0)",--,0.144,0.164,0.188,0.205,0.194,0.204,0.206,0.210,0.236,--,113,124,136,229,210,220,183,236,300,--,Greedy,0.1
Episode,121,step,23,state,"(2, 0)",0,"(1, 0)",--,0.233,0.157,0.194,0.091,0.171,0.209,0.137,0.206,0.150,--,269,180,321,369,255,257,164,155,140,--,Epsilon = 0.32,0.1
Episode,121,step,24,state,"(1, 0)",2,"(0, 0)",--,0.235,0.235,0.237,0.197,0.231,-0.230,0.213,0.235,0.234,--,156,209,217,301,369,355,249,309,233,--,Greedy,0.1
Episode,121,step,29,state,"(0, 0)",8,"(2, 0)",--,0.183,0.164,0.208,0.205,0.194,0.204,0.206,0.210,0.236,--,114,124,137,229,210,220,183,236,303,--,Greedy,0.1
Episode,121,step,30,state,"(2, 0)",0,"(1, 0)",--,0.235,0.157,0.194,0.091,0.171,0.209,0.137,0.206,0.150,--,270,180,321,369,255,257,164,155,140,--,Greedy,0.1
Episode,121,step,31,state,"(1, 0)",2,"(0, 0)",--,0.235,0.235,0.237,0.197,0.231,-0.230,0.213,0.235,0.234,--,156,209,218,301,369,355,249,309,233,--,Greedy,0.1
Episode,121,step,33,state,"(0, 0)",8,"(1, 0)",--,0.183,0.164,0.208,0.205,0.194,0.204,0.206,0.210,0.237,--,114,124,137,229,210,220,183,236,305,--,Greedy,0.1
Episode,121,step,34,state,"(1, 0)",6,"(2, 0)",--,0.235,0.235,0.237,0.197,0.231,-0.230,0.213,0.235,0.234,--,156,209,219,301,369,355,249,309,233,--,Epsilon = 0.32,0.1
Episode,121,step,36,state,"(2, 0)",0,"(1, 0)",--,0.236,0.157,0.194,0.091,0.171,0.209,0.137,0.206,0.150,--,272,180,321,369,255,257,164,155,140,--,Greedy,0.1
Episode,121,step,39,state,"(1, 0)",2,"(0, 0)",--,0.235,0.235,0.237,0.197,0.231,-0.230,0.223,0.236,0.234,--,156,209,220,301,369,355,250,310,233,--,Greedy,0.1
Episode,121,step,41,state,"(0, 0)",8,"(2, 0)",--,0.183,0.164,0.208,0.205,0.194,0.204,0.206,0.210,0.237,--,114,124,137,229,210,220,183,236,307,--,Greedy,0.1
Episode,121,step,43,state,"(2, 0)",0,"(1, 0)",--,0.237,0.157,0.194,0.153,0.171,0.209,0.137,0.206,0.150,--,273,180,321,370,255,257,164,155,140,--,Greedy,0.1
Episode,121,step,44,state,"(1, 0)",2,"(0, 0)",--,0.235,0.235,0.237,0.197,0.231,-0.230,0.223,0.236,0.234,--,156,209,221,301,369,355,250,310,233,--,Greedy,0.1
Episode,121,step,46,state,"(0, 0)",8,"(1, 0)",--,0.183,0.164,0.208,0.205,0.194,0.204,0.206,0.210,0.237,--,114,124,137,229,210,220,183,236,309,--,Greedy,0.1
Episode,121,step,48,state,"(1, 0)",2,"(0, 0)",--,0.235,0.235,0.238,0.197,0.231,-0.230,0.223,0.236,0.234,--,156,209,223,301,369,355,250,310,233,--,Greedy,0.1
Episode,121,step,49,state,"(0, 0)",8,"(1, 4)",--,0.183,0.164,0.208,0.205,0.194,0.204,0.206,0.210,0.237,--,114,124,137,229,210,220,183,236,310,--,Greedy,-0.12
Episode,121,step,50,state,"(1, 4)",6,"(2, 4)",--,0.140,0.200,0.291,0.052,0.154,0.178,0.304,0.033,-0.003,--,6,3,11,1,3,2,55,4,0,--,Greedy,0.1
Episode,121,step,51,state,"(2, 4)",1,"(1, 0)",--,0.310,0.476,0.455,0.339,0.398,0.317,0.419,0.457,0.405,--,13,26,5,14,6,25,35,36,3,--,Greedy,0.4
Episode,121,step,52,state,"(1, 0)",2,"(0, 0)",--,0.235,0.235,0.238,0.197,0.231,-0.230,0.223,0.236,0.234,--,156,209,224,301,369,355,250,310,233,--,Greedy,0.1
