 , , ,log2019-04-26_17-14-13,ep ,198,step ,138,r ,12.840
 , , ,,,s,a,s_,--,"Q[s, a0]","Q[s, a1]","Q[s, a2]","Q[s, a3]","Q[s, a4]","Q[s, a5]","Q[s, a6]","Q[s, a7]","Q[s, a8]",--,"ST[s, a0]","ST[s, a1]","ST[s, a2]","ST[s, a3]","ST[s, a4]","ST[s, a5]","ST[s, a6]","ST[s, a7]","ST[s, a8]",--,policy,reward
Episode,198,step,1,state,"(1, 0)",8,"(1, 0)",--,0.222,0.217,0.215,0.222,0.215,0.208,0.220,0.213,0.215,--,259,296,327,423,525,488,427,441,450,--,Epsilon = 0.32,0
Episode,198,step,7,state,"(1, 0)",3,"(0, 0)",--,0.222,0.217,0.215,0.229,0.215,0.218,0.220,0.213,0.222,--,259,296,327,426,525,489,427,441,452,--,Greedy,0.1
Episode,198,step,8,state,"(0, 0)",7,"(1, 0)",--,0.156,0.155,0.181,0.123,0.154,0.154,0.146,0.222,-0.037,--,174,188,182,277,345,331,333,380,375,--,Greedy,0.1
Episode,198,step,10,state,"(1, 0)",3,"(0, 0)",--,0.222,0.224,0.215,0.229,0.215,0.218,0.220,0.213,0.222,--,259,297,327,427,525,489,427,441,452,--,Greedy,0.1
Episode,198,step,12,state,"(0, 0)",2,"(1, 0)",--,0.156,0.155,0.181,0.123,0.154,0.154,0.146,0.229,-0.037,--,174,188,182,277,345,331,333,382,375,--,Epsilon = 0.32,0.1
Episode,198,step,13,state,"(1, 0)",3,"(0, 0)",--,0.222,0.224,0.215,0.230,0.215,0.218,0.220,0.213,0.222,--,259,297,327,428,525,489,427,441,452,--,Greedy,0.1
Episode,198,step,14,state,"(0, 0)",7,"(1, 0)",--,0.156,0.155,0.203,0.123,0.154,0.154,0.146,0.229,-0.037,--,174,188,183,277,345,331,333,382,375,--,Greedy,0.1
Episode,198,step,15,state,"(1, 0)",8,"(2, 0)",--,0.222,0.224,0.215,0.231,0.215,0.218,0.220,0.213,0.222,--,259,297,327,429,525,489,427,441,452,--,Epsilon = 0.32,0.1
Episode,198,step,22,state,"(2, 0)",4,"(1, 0)",--,0.056,0.155,0.139,0.156,0.082,0.207,0.097,0.121,0.121,--,427,377,494,490,395,411,268,230,257,--,Epsilon = 0.32,0.1
Episode,198,step,23,state,"(1, 0)",3,"(0, 0)",--,0.222,0.224,0.215,0.231,0.215,0.218,0.220,0.213,0.209,--,259,297,327,429,525,489,427,441,453,--,Greedy,0.1
Episode,198,step,25,state,"(0, 0)",7,"(1, 0)",--,0.156,0.155,0.203,0.123,0.188,0.154,0.146,0.231,-0.037,--,174,188,183,277,346,331,333,383,375,--,Greedy,0.1
Episode,198,step,28,state,"(1, 0)",3,"(0, 0)",--,0.222,0.224,0.215,0.234,0.215,0.218,0.220,0.213,0.209,--,259,297,327,432,525,489,427,441,453,--,Greedy,0.1
Episode,198,step,29,state,"(0, 0)",7,"(1, 0)",--,0.156,0.155,0.203,0.123,0.188,0.154,0.146,0.233,-0.037,--,174,188,183,277,346,331,333,384,375,--,Greedy,0.1
Episode,198,step,32,state,"(1, 0)",3,"(0, 0)",--,0.222,0.224,0.215,0.236,0.215,0.218,0.220,0.213,0.209,--,259,297,327,435,525,489,427,441,453,--,Greedy,0.1
Episode,198,step,33,state,"(0, 0)",7,"(1, 0)",--,0.156,0.155,0.203,0.123,0.188,0.154,0.146,0.234,-0.037,--,174,188,183,277,346,331,333,385,375,--,Greedy,0.1
Episode,198,step,35,state,"(1, 0)",3,"(0, 0)",--,0.222,0.224,0.215,0.236,0.215,0.218,0.220,0.213,0.209,--,259,297,327,437,525,489,427,441,453,--,Greedy,0.1
Episode,198,step,36,state,"(0, 0)",7,"(1, 0)",--,0.156,0.155,0.203,0.123,0.188,0.154,0.146,0.235,-0.037,--,174,188,183,277,346,331,333,386,375,--,Greedy,0.1
Episode,198,step,40,state,"(1, 0)",7,"(2, 0)",--,0.222,0.224,0.215,0.237,0.215,0.218,0.220,0.223,0.209,--,259,297,327,440,525,489,427,442,453,--,Epsilon = 0.32,0.1
Episode,198,step,48,state,"(2, 0)",1,"(0, 0)",--,0.128,0.155,0.139,0.156,0.146,0.224,0.097,0.191,0.121,--,428,377,494,490,396,415,268,232,257,--,Epsilon = 0.32,0.1
Episode,198,step,49,state,"(0, 0)",7,"(1, 0)",--,0.156,0.155,0.203,0.123,0.188,0.154,0.146,0.236,-0.037,--,174,188,183,277,346,331,333,387,375,--,Greedy,0.1
Episode,198,step,51,state,"(1, 0)",3,"(0, 0)",--,0.222,0.224,0.215,0.237,0.215,0.218,0.220,0.222,0.209,--,259,297,327,441,525,489,427,443,453,--,Greedy,0.1
Episode,198,step,52,state,"(0, 0)",7,"(1, 0)",--,0.156,0.155,0.203,0.123,0.188,0.154,0.146,0.237,-0.037,--,174,188,183,277,346,331,333,388,375,--,Greedy,0.1
Episode,198,step,53,state,"(1, 0)",4,"(2, 0)",--,0.222,0.224,0.215,0.237,0.215,0.218,0.220,0.222,0.209,--,259,297,327,442,525,489,427,443,453,--,Epsilon = 0.32,0.1
Episode,198,step,54,state,"(2, 0)",2,"(1, 0)",--,0.128,0.189,0.139,0.156,0.146,0.224,0.097,0.191,0.121,--,428,378,494,490,396,415,268,232,257,--,Epsilon = 0.32,0.1
Episode,198,step,55,state,"(1, 0)",3,"(0, 0)",--,0.222,0.224,0.215,0.237,0.221,0.218,0.220,0.222,0.209,--,259,297,327,442,526,489,427,443,453,--,Greedy,0.1
Episode,198,step,62,state,"(0, 0)",7,"(1, 0)",--,0.222,0.155,0.203,0.123,0.188,0.154,0.146,0.237,-0.037,--,177,188,183,277,346,331,333,392,375,--,Greedy,0.1
Episode,198,step,64,state,"(1, 0)",3,"(0, 0)",--,0.222,0.224,0.215,0.237,0.221,0.218,0.220,0.222,0.209,--,259,297,327,444,526,489,427,443,453,--,Greedy,0.1
Episode,198,step,65,state,"(0, 0)",7,"(1, 0)",--,0.222,0.155,0.203,0.123,0.188,0.154,0.146,0.238,-0.037,--,177,188,183,277,346,331,333,393,375,--,Greedy,0.1
Episode,198,step,68,state,"(1, 0)",3,"(0, 0)",--,0.222,0.224,0.215,0.238,0.221,0.218,0.220,0.222,0.209,--,259,297,327,447,526,489,427,443,453,--,Greedy,0.1
Episode,198,step,70,state,"(0, 0)",7,"(1, 0)",--,0.222,0.155,0.203,0.123,0.209,0.154,0.146,0.238,-0.037,--,177,188,183,277,347,331,333,394,375,--,Greedy,0.1
Episode,198,step,72,state,"(1, 0)",3,"(0, 0)",--,0.222,0.224,0.215,0.238,0.221,0.218,0.220,0.222,0.209,--,259,297,327,449,526,489,427,443,453,--,Greedy,0.1
Episode,198,step,73,state,"(0, 0)",7,"(1, 0)",--,0.222,0.155,0.203,0.123,0.209,0.154,0.146,0.238,-0.037,--,177,188,183,277,347,331,333,395,375,--,Greedy,0.1
Episode,198,step,75,state,"(1, 0)",3,"(0, 0)",--,0.222,0.224,0.225,0.238,0.221,0.218,0.220,0.222,0.209,--,259,297,328,450,526,489,427,443,453,--,Greedy,0.1
Episode,198,step,77,state,"(0, 0)",5,"(2, 0)",--,0.222,0.155,0.203,0.123,0.209,0.154,0.146,0.238,-0.037,--,177,188,183,277,347,331,333,397,375,--,Epsilon = 0.32,0.1
Episode,198,step,87,state,"(2, 0)",0,"(1, 0)",--,0.128,0.189,0.180,0.156,0.183,0.234,0.097,0.191,0.121,--,428,378,495,490,398,422,268,232,257,--,Epsilon = 0.32,0.1
Episode,198,step,90,state,"(1, 0)",3,"(0, 0)",--,0.222,0.224,0.225,0.238,0.221,0.218,0.220,0.222,0.221,--,259,297,328,452,526,489,427,443,454,--,Greedy,0.1
Episode,198,step,91,state,"(0, 0)",7,"(1, 0)",--,0.222,0.155,0.203,0.123,0.209,0.186,0.146,0.238,-0.037,--,177,188,183,277,347,332,333,397,375,--,Greedy,0.1
Episode,198,step,94,state,"(1, 0)",3,"(0, 0)",--,0.222,0.224,0.225,0.238,0.221,0.218,0.220,0.222,0.221,--,259,297,328,455,526,489,427,443,454,--,Greedy,0.1
