 , , ,log2019-04-25_09-32-29,ep ,78,step ,141,r ,11.180
 , , ,,,s,a,s_,--,"Q[s, a0]","Q[s, a1]","Q[s, a2]","Q[s, a3]","Q[s, a4]","Q[s, a5]","Q[s, a6]","Q[s, a7]","Q[s, a8]",--,"ST[s, a0]","ST[s, a1]","ST[s, a2]","ST[s, a3]","ST[s, a4]","ST[s, a5]","ST[s, a6]","ST[s, a7]","ST[s, a8]",--,policy,reward
Episode,78,step,1,state,"(1, 0)",2,"(1, 0)",--,0.103,0.222,0.232,0.153,0.164,0.133,0.150,0.218,0.148,--,185,126,157,120,192,198,246,155,198,--,Greedy,0
Episode,78,step,4,state,"(1, 0)",2,"(0, 0)",--,0.103,0.222,0.233,0.153,0.164,0.133,0.186,0.218,0.148,--,185,126,159,120,192,198,247,155,198,--,Greedy,0.1
Episode,78,step,6,state,"(0, 0)",6,"(1, 0)",--,0.191,0.226,0.214,0.180,0.235,0.228,0.236,0.208,0.199,--,72,41,59,120,211,183,178,145,167,--,Greedy,0.1
Episode,78,step,7,state,"(1, 0)",8,"(2, 0)",--,0.103,0.222,0.235,0.153,0.164,0.133,0.186,0.218,0.148,--,185,126,160,120,192,198,247,155,198,--,Epsilon = 0.32,0.1
Episode,78,step,12,state,"(2, 0)",3,"(1, 0)",--,0.187,0.164,0.184,0.162,0.236,0.147,0.217,0.217,0.218,--,179,200,205,223,190,182,114,92,98,--,Epsilon = 0.32,0.1
Episode,78,step,13,state,"(1, 0)",2,"(0, 0)",--,0.103,0.222,0.235,0.153,0.164,0.133,0.186,0.218,0.185,--,185,126,160,120,192,198,247,155,199,--,Greedy,0.1
Episode,78,step,15,state,"(0, 0)",6,"(2, 0)",--,0.191,0.226,0.214,0.180,0.235,0.228,0.237,0.208,0.199,--,72,41,59,120,211,183,180,145,167,--,Greedy,0.1
Episode,78,step,18,state,"(2, 0)",3,"(1, 0)",--,0.187,0.164,0.184,0.193,0.236,0.147,0.217,0.217,0.218,--,179,200,205,224,192,182,114,92,98,--,Epsilon = 0.32,0.1
Episode,78,step,19,state,"(1, 0)",1,"(0, 0)",--,0.103,0.222,0.236,0.153,0.164,0.133,0.186,0.218,0.185,--,185,126,161,120,192,198,247,155,199,--,Epsilon = 0.32,0.1
Episode,78,step,20,state,"(0, 0)",7,"(1, 0)",--,0.191,0.226,0.214,0.180,0.235,0.228,0.237,0.208,0.199,--,72,41,59,120,211,183,181,145,167,--,Epsilon = 0.32,0.1
Episode,78,step,21,state,"(1, 0)",2,"(0, 0)",--,0.103,0.229,0.236,0.153,0.164,0.133,0.186,0.218,0.185,--,185,127,161,120,192,198,247,155,199,--,Greedy,0.1
Episode,78,step,25,state,"(0, 0)",6,"(1, 0)",--,0.191,0.231,0.214,0.180,0.236,0.228,0.237,0.220,0.199,--,72,42,59,120,212,183,182,146,167,--,Greedy,0.1
Episode,78,step,26,state,"(1, 0)",8,"(2, 0)",--,0.103,0.229,0.236,0.153,0.164,0.133,0.186,0.218,0.185,--,185,127,162,120,192,198,247,155,199,--,Epsilon = 0.32,0.1
Episode,78,step,29,state,"(2, 0)",4,"(1, 0)",--,0.187,0.164,0.184,0.212,0.237,0.147,0.217,0.217,0.218,--,179,200,205,225,194,182,114,92,98,--,Greedy,0.1
Episode,78,step,30,state,"(1, 0)",2,"(0, 0)",--,0.103,0.229,0.236,0.153,0.164,0.133,0.186,0.218,0.207,--,185,127,162,120,192,198,247,155,200,--,Greedy,0.1
Episode,78,step,32,state,"(0, 0)",6,"(2, 0)",--,0.191,0.231,0.214,0.180,0.236,0.228,0.237,0.220,0.199,--,72,42,59,120,212,183,184,146,167,--,Greedy,0.1
Episode,78,step,35,state,"(2, 0)",2,"(1, 0)",--,0.187,0.164,0.184,0.212,0.237,0.147,0.217,0.217,0.218,--,179,200,205,225,197,182,114,92,98,--,Epsilon = 0.32,0.1
Episode,78,step,36,state,"(1, 0)",2,"(0, 0)",--,0.103,0.229,0.237,0.153,0.164,0.133,0.186,0.218,0.207,--,185,127,163,120,192,198,247,155,200,--,Greedy,0.1
Episode,78,step,38,state,"(0, 0)",6,"(1, 0)",--,0.191,0.231,0.214,0.180,0.236,0.232,0.237,0.220,0.199,--,72,42,59,120,212,184,185,146,167,--,Greedy,0.1
Episode,78,step,39,state,"(1, 0)",4,"(2, 0)",--,0.103,0.229,0.237,0.153,0.164,0.133,0.186,0.218,0.207,--,185,127,164,120,192,198,247,155,200,--,Epsilon = 0.32,0.1
Episode,78,step,41,state,"(2, 0)",4,"(1, 0)",--,0.187,0.164,0.207,0.212,0.238,0.147,0.217,0.217,0.218,--,179,200,206,225,198,182,114,92,98,--,Greedy,0.1
Episode,78,step,43,state,"(1, 0)",0,"(0, 0)",--,0.103,0.229,0.237,0.153,0.195,0.133,0.186,0.218,0.207,--,185,127,165,120,193,198,247,155,200,--,Epsilon = 0.32,0.1
Episode,78,step,46,state,"(0, 0)",6,"(1, 0)",--,0.191,0.231,0.214,0.180,0.236,0.232,0.238,0.228,0.199,--,72,42,59,120,212,184,187,147,167,--,Greedy,0.1
Episode,78,step,47,state,"(1, 0)",2,"(2, 0)",--,0.160,0.229,0.237,0.153,0.195,0.133,0.186,0.218,0.207,--,186,127,165,120,193,198,247,155,200,--,Greedy,0.1
Episode,78,step,48,state,"(2, 0)",3,"(1, 0)",--,0.187,0.164,0.207,0.212,0.238,0.147,0.217,0.217,0.218,--,179,200,206,225,199,182,114,92,98,--,Epsilon = 0.32,0.1
Episode,78,step,49,state,"(1, 0)",2,"(0, 0)",--,0.160,0.229,0.238,0.153,0.195,0.133,0.186,0.218,0.207,--,186,127,166,120,193,198,247,155,200,--,Greedy,0.1
Episode,78,step,51,state,"(0, 0)",6,"(1, 0)",--,0.191,0.231,0.214,0.180,0.236,0.232,0.238,0.228,0.199,--,72,42,59,120,212,184,189,147,167,--,Greedy,0.1
Episode,78,step,54,state,"(1, 0)",4,"(0, 0)",--,0.160,0.229,0.238,0.153,0.195,0.133,0.186,0.218,0.207,--,186,127,169,120,193,198,247,155,200,--,Epsilon = 0.32,0.1
Episode,78,step,55,state,"(0, 0)",6,"(1, 0)",--,0.191,0.231,0.214,0.180,0.236,0.232,0.238,0.228,0.199,--,72,42,59,120,212,184,190,147,167,--,Greedy,0.1
Episode,78,step,56,state,"(1, 0)",6,"(2, 0)",--,0.160,0.229,0.238,0.153,0.213,0.133,0.186,0.218,0.207,--,186,127,169,120,194,198,247,155,200,--,Epsilon = 0.32,0.1
Episode,78,step,59,state,"(2, 0)",4,"(1, 0)",--,0.187,0.164,0.207,0.223,0.238,0.147,0.217,0.217,0.218,--,179,200,206,226,201,182,114,92,98,--,Greedy,0.1
Episode,78,step,61,state,"(1, 0)",7,"(2, 0)",--,0.160,0.229,0.238,0.153,0.223,0.133,0.207,0.218,0.207,--,186,127,169,120,195,198,248,155,200,--,Epsilon = 0.32,0.1
Episode,78,step,63,state,"(2, 0)",0,"(1, 0)",--,0.187,0.164,0.207,0.223,0.238,0.147,0.217,0.217,0.218,--,179,200,206,226,203,182,114,92,98,--,Epsilon = 0.32,0.1
Episode,78,step,64,state,"(1, 0)",2,"(0, 0)",--,0.160,0.229,0.238,0.153,0.223,0.133,0.207,0.226,0.207,--,186,127,169,120,195,198,248,156,200,--,Greedy,0.1
