 , , ,log2019-04-25_10-07-02,ep ,290,step ,30,r ,-3.720
 , , ,,,s,a,s_,--,"Q[s, a0]","Q[s, a1]","Q[s, a2]","Q[s, a3]","Q[s, a4]","Q[s, a5]","Q[s, a6]","Q[s, a7]","Q[s, a8]",--,"ST[s, a0]","ST[s, a1]","ST[s, a2]","ST[s, a3]","ST[s, a4]","ST[s, a5]","ST[s, a6]","ST[s, a7]","ST[s, a8]",--,policy,reward
Episode,290,step,1,state,"(1, 0)",8,"(1, 0)",--,0.225,0.188,0.229,0.224,0.231,0.168,0.223,0.186,0.234,--,544,435,625,661,875,715,653,750,655,--,Greedy,0
Episode,290,step,3,state,"(1, 0)",3,"(2, 0)",--,0.225,0.188,0.229,0.224,0.231,0.168,0.223,0.186,0.235,--,544,435,625,661,875,715,653,750,657,--,Epsilon = 0.32,0.1
Episode,290,step,10,state,"(2, 0)",8,"(2, 1)",--,0.176,0.150,0.161,0.209,0.175,0.192,-0.236,0.145,0.228,--,546,896,734,790,626,442,452,407,337,--,Greedy,-0.12
Episode,290,step,13,state,"(2, 1)",1,"(1, 2)",--,-0.246,0.075,-0.127,-0.309,-0.067,-0.215,-0.134,-0.237,-0.272,--,87,129,70,154,98,82,90,88,54,--,Greedy,-0.8
Episode,290,step,14,state,"(1, 2)",2,"(0, 18)",--,-0.545,-0.662,-0.411,-0.461,-0.388,-0.402,-0.430,-0.314,-0.434,--,21,47,8,8,29,13,15,18,31,--,Epsilon = 0.32,-0.2
Episode,290,step,15,state,"(0, 18)",0,"(0, 2)",--,-0.110,-0.010,-0.006,-0.157,-0.085,-0.003,0.114,0.420,-0.008,--,1,0,0,1,1,1,3,1,0,--,Epsilon = 0.32,-0.2
Episode,290,step,23,state,"(0, 2)",8,"(0, 1)",--,-0.188,-0.233,-0.214,-0.234,-0.220,-0.179,-0.177,-0.272,-0.218,--,57,33,23,30,36,26,37,16,26,--,Epsilon = 0.32,0.8
Episode,290,step,24,state,"(0, 1)",3,"(1, 2)",--,0.305,0.355,0.214,-0.287,0.250,0.428,-0.219,0.285,0.365,--,111,85,104,112,121,49,59,45,85,--,Epsilon = 0.32,-0.8
Episode,290,step,25,state,"(1, 2)",2,"(0, 2)",--,-0.545,-0.662,-0.220,-0.461,-0.388,-0.402,-0.430,-0.314,-0.434,--,21,47,9,8,29,13,15,18,31,--,Greedy,-0.2
Episode,290,step,26,state,"(0, 2)",8,"(1, 2)",--,-0.188,-0.233,-0.214,-0.234,-0.220,-0.179,-0.177,-0.272,0.314,--,57,33,23,30,36,26,37,16,27,--,Greedy,-0.2
Episode,290,step,27,state,"(1, 2)",7,"(2, 2)",--,-0.545,-0.662,-0.135,-0.461,-0.388,-0.402,-0.430,-0.314,-0.434,--,21,47,10,8,29,13,15,18,31,--,Epsilon = 0.32,-0.2
Episode,290,step,30,state,"(2, 2)",4,"(2, 0)",--,-0.786,-0.346,-0.284,-0.490,0.020,-0.406,-0.438,-0.506,-0.548,--,25,28,53,21,43,24,31,53,64,--,Greedy,-1
end
