 , , ,log2019-04-26_17-25-54,ep ,262,step ,128,r ,-3.800
 , , ,,,s,a,s_,--,"Q[s, a0]","Q[s, a1]","Q[s, a2]","Q[s, a3]","Q[s, a4]","Q[s, a5]","Q[s, a6]","Q[s, a7]","Q[s, a8]",--,"ST[s, a0]","ST[s, a1]","ST[s, a2]","ST[s, a3]","ST[s, a4]","ST[s, a5]","ST[s, a6]","ST[s, a7]","ST[s, a8]",--,policy,reward
Episode,262,step,1,state,"(1, 0)",2,"(1, 0)",--,0.228,0.233,0.230,0.235,-0.031,0.209,0.085,0.231,0.227,--,403,495,484,613,638,647,611,582,603,--,Epsilon = 0.32,0
Episode,262,step,3,state,"(1, 0)",1,"(0, 0)",--,0.228,0.233,0.230,0.235,-0.031,0.209,0.085,0.233,0.227,--,403,495,485,613,638,647,611,583,603,--,Epsilon = 0.32,0.1
Episode,262,step,7,state,"(0, 0)",2,"(0, 20)",--,0.106,0.030,0.213,0.085,0.175,0.184,0.191,0.182,0.144,--,290,274,286,366,464,481,472,643,542,--,Greedy,-0.12
Episode,262,step,9,state,"(0, 20)",6,"(1, 20)",--,0.258,0.258,0.256,0.255,0.213,0.257,0.270,0.266,0.200,--,57,46,66,60,66,134,158,164,177,--,Greedy,0.1
Episode,262,step,10,state,"(1, 20)",4,"(2, 20)",--,0.254,0.267,0.263,0.267,-0.233,0.272,-0.077,0.272,0.171,--,36,35,41,48,50,107,108,160,231,--,Epsilon = 0.32,0.1
Episode,262,step,17,state,"(2, 20)",3,"(2, 4)",--,0.284,0.297,0.279,0.298,0.288,0.005,0.295,0.287,0.229,--,147,84,175,176,151,183,204,266,278,--,Greedy,0.4
Episode,262,step,18,state,"(2, 4)",5,"(2, 0)",--,0.458,0.415,0.431,0.347,0.354,0.535,0.408,0.417,0.446,--,23,41,19,31,21,57,49,87,54,--,Greedy,0.4
Episode,262,step,19,state,"(2, 0)",4,"(1, 0)",--,0.180,0.227,0.212,0.190,0.236,0.169,0.227,0.235,0.232,--,598,527,640,748,667,497,369,329,358,--,Greedy,0.1
Episode,262,step,21,state,"(1, 0)",3,"(0, 0)",--,0.228,0.224,0.230,0.236,-0.031,0.209,0.085,0.233,0.227,--,403,496,485,614,638,647,611,583,603,--,Greedy,0.1
Episode,262,step,22,state,"(0, 0)",6,"(1, 0)",--,0.106,0.030,0.139,0.085,0.175,0.184,0.191,0.182,0.144,--,290,274,287,366,464,481,472,643,542,--,Greedy,0.1
Episode,262,step,23,state,"(1, 0)",7,"(2, 4)",--,0.228,0.224,0.230,0.225,-0.031,0.209,0.085,0.233,0.227,--,403,496,485,615,638,647,611,583,603,--,Greedy,-0.12
Episode,262,step,24,state,"(2, 4)",6,"(2, 0)",--,0.458,0.415,0.431,0.347,0.354,0.536,0.408,0.417,0.446,--,23,41,19,31,21,58,49,87,54,--,Epsilon = 0.32,0.4
Episode,262,step,26,state,"(2, 0)",1,"(1, 0)",--,0.180,0.227,0.212,0.190,0.237,0.169,0.227,0.235,0.232,--,598,527,640,748,669,497,369,329,358,--,Epsilon = 0.32,0.1
Episode,262,step,27,state,"(1, 0)",1,"(0, 0)",--,0.228,0.224,0.230,0.225,-0.031,0.209,0.085,0.215,0.227,--,403,496,485,615,638,647,611,584,603,--,Epsilon = 0.32,0.1
Episode,262,step,31,state,"(0, 0)",6,"(2, 0)",--,0.106,0.112,0.139,0.085,0.175,0.184,0.219,0.182,0.144,--,290,275,287,366,464,481,475,643,542,--,Greedy,0.1
Episode,262,step,33,state,"(2, 0)",4,"(1, 0)",--,0.180,0.230,0.212,0.210,0.237,0.169,0.227,0.235,0.232,--,598,528,640,749,669,497,369,329,358,--,Epsilon = 0.32,0.1
Episode,262,step,34,state,"(1, 0)",2,"(0, 0)",--,0.228,0.223,0.230,0.225,-0.031,0.209,0.085,0.215,0.227,--,403,497,485,615,638,647,611,584,603,--,Greedy,0.1
Episode,262,step,36,state,"(0, 0)",6,"(1, 0)",--,0.106,0.112,0.139,0.085,0.198,0.184,0.226,0.182,0.144,--,290,275,287,366,465,481,476,643,542,--,Greedy,0.1
Episode,262,step,38,state,"(1, 0)",2,"(0, 0)",--,0.228,0.223,0.232,0.225,-0.031,0.209,0.085,0.215,0.227,--,403,497,487,615,638,647,611,584,603,--,Greedy,0.1
Episode,262,step,40,state,"(0, 0)",6,"(1, 0)",--,0.106,0.112,0.139,0.085,0.198,0.205,0.230,0.182,0.144,--,290,275,287,366,465,482,477,643,542,--,Greedy,0.1
Episode,262,step,42,state,"(1, 0)",2,"(0, 0)",--,0.228,0.223,0.233,0.225,-0.031,0.209,0.085,0.215,0.227,--,403,497,489,615,638,647,611,584,603,--,Greedy,0.1
Episode,262,step,43,state,"(0, 0)",6,"(0, 4)",--,0.106,0.112,0.139,0.085,0.198,0.205,0.232,0.182,0.144,--,290,275,287,366,465,482,478,643,542,--,Greedy,-0.12
Episode,262,step,44,state,"(0, 4)",5,"(1, 4)",--,0.062,0.069,0.056,0.062,0.053,0.080,0.043,0.078,0.066,--,15,31,32,43,29,39,33,20,65,--,Greedy,0.1
Episode,262,step,45,state,"(1, 4)",8,"(2, 4)",--,0.172,0.174,0.179,0.152,0.180,0.266,0.182,0.265,0.397,--,8,4,15,3,6,25,90,23,12,--,Greedy,0.1
Episode,262,step,46,state,"(2, 4)",5,"(2, 0)",--,0.458,0.415,0.431,0.347,0.354,0.536,0.462,0.417,0.446,--,23,41,19,31,21,58,50,87,54,--,Greedy,0.4
Episode,262,step,49,state,"(2, 0)",3,"(1, 0)",--,0.180,0.230,0.212,0.210,0.236,0.198,0.227,0.235,0.232,--,598,528,640,749,671,498,369,329,358,--,Epsilon = 0.32,0.1
Episode,262,step,50,state,"(1, 0)",2,"(0, 0)",--,0.228,0.223,0.234,0.225,-0.031,0.209,0.085,0.215,0.227,--,403,497,490,615,638,647,611,584,603,--,Greedy,0.1
Episode,262,step,53,state,"(0, 0)",1,"(0, 4)",--,0.153,0.112,0.139,0.085,0.198,0.211,0.103,0.182,0.144,--,291,275,287,366,465,483,479,643,542,--,Epsilon = 0.32,-0.12
Episode,262,step,54,state,"(0, 4)",5,"(0, 20)",--,0.062,0.069,0.056,0.062,0.053,0.185,0.043,0.078,0.066,--,15,31,32,43,29,40,33,20,65,--,Greedy,-0.12
Episode,262,step,55,state,"(0, 20)",7,"(1, 20)",--,0.258,0.258,0.256,0.255,0.213,0.257,0.265,0.266,0.200,--,57,46,66,60,66,134,159,164,177,--,Greedy,0.1
Episode,262,step,56,state,"(1, 20)",3,"(2, 20)",--,0.254,0.267,0.263,0.267,-0.017,0.272,-0.077,0.272,0.171,--,36,35,41,48,51,107,108,160,231,--,Epsilon = 0.32,0.1
Episode,262,step,57,state,"(2, 20)",3,"(1, 20)",--,0.284,0.297,0.279,0.471,0.288,0.005,0.295,0.287,0.229,--,147,84,175,177,151,183,204,266,278,--,Greedy,0.1
Episode,262,step,58,state,"(1, 20)",4,"(0, 20)",--,0.254,0.267,0.263,0.312,-0.017,0.272,-0.077,0.272,0.171,--,36,35,41,49,51,107,108,160,231,--,Epsilon = 0.32,0.1
Episode,262,step,59,state,"(0, 20)",6,"(1, 20)",--,0.258,0.258,0.256,0.255,0.213,0.257,0.265,0.262,0.200,--,57,46,66,60,66,134,159,165,177,--,Greedy,0.1
Episode,262,step,60,state,"(1, 20)",3,"(2, 20)",--,0.254,0.267,0.263,0.312,0.097,0.272,-0.077,0.272,0.171,--,36,35,41,49,52,107,108,160,231,--,Greedy,0.1
Episode,262,step,61,state,"(2, 20)",3,"(1, 20)",--,0.284,0.297,0.279,0.391,0.288,0.005,0.295,0.287,0.229,--,147,84,175,178,151,183,204,266,278,--,Greedy,0.1
Episode,262,step,62,state,"(1, 20)",3,"(0, 20)",--,0.254,0.267,0.263,0.318,0.097,0.272,-0.077,0.272,0.171,--,36,35,41,50,52,107,108,160,231,--,Greedy,0.1
Episode,262,step,65,state,"(0, 20)",7,"(1, 20)",--,0.258,0.258,0.256,0.255,0.213,0.257,0.266,0.262,0.200,--,57,47,66,60,66,134,161,165,177,--,Epsilon = 0.32,0.1
Episode,262,step,66,state,"(1, 20)",5,"(2, 20)",--,0.254,0.267,0.263,0.293,0.097,0.272,-0.077,0.272,0.171,--,36,35,41,51,52,107,108,160,231,--,Epsilon = 0.32,0.1
Episode,262,step,67,state,"(2, 20)",3,"(1, 20)",--,0.284,0.297,0.279,0.346,0.288,0.005,0.295,0.287,0.229,--,147,84,175,179,151,183,204,266,278,--,Greedy,0.1
Episode,262,step,68,state,"(1, 20)",3,"(0, 20)",--,0.254,0.267,0.263,0.293,0.097,0.284,-0.077,0.272,0.171,--,36,35,41,51,52,108,108,160,231,--,Greedy,0.1
Episode,262,step,69,state,"(0, 20)",6,"(1, 20)",--,0.258,0.258,0.256,0.255,0.213,0.257,0.266,0.265,0.200,--,57,47,66,60,66,134,161,166,177,--,Greedy,0.1
Episode,262,step,70,state,"(1, 20)",5,"(2, 20)",--,0.254,0.267,0.263,0.277,0.097,0.284,-0.077,0.272,0.171,--,36,35,41,52,52,108,108,160,231,--,Greedy,0.1
Episode,262,step,72,state,"(2, 20)",3,"(1, 20)",--,0.284,0.297,0.279,0.301,0.288,0.005,0.295,0.287,0.229,--,147,84,175,181,151,183,204,266,278,--,Greedy,0.1
Episode,262,step,75,state,"(1, 20)",5,"(1, 24)",--,0.254,0.267,0.263,0.270,0.097,0.275,-0.077,0.272,0.171,--,36,35,41,53,52,110,108,160,231,--,Greedy,-0.8
Episode,262,step,76,state,"(1, 24)",0,"(0, 40)",--,-0.182,-0.136,-0.136,0.345,-0.197,-0.341,-0.258,-0.145,-0.110,--,2,2,1,5,1,4,2,3,2,--,Epsilon = 0.32,-0.4
Episode,262,step,79,state,"(0, 40)",7,"(1, 40)",--,-0.291,-0.301,-0.291,-0.286,-0.396,-0.336,-0.280,-0.272,-0.409,--,5,5,5,4,2,5,10,5,6,--,Greedy,-0.2
Episode,262,step,81,state,"(1, 40)",7,"(1, 41)",--,-0.262,-0.285,-0.288,-0.220,-0.510,-0.408,-0.341,-0.168,-0.215,--,5,3,4,4,3,7,6,10,4,--,Greedy,-0.2
Episode,262,step,82,state,"(1, 41)",4,"(2, 41)",--,-0.577,-0.555,-0.438,-0.437,-0.431,-0.644,-0.441,-0.477,-0.439,--,16,6,22,9,15,14,8,20,9,--,Greedy,-0.2
Episode,262,step,83,state,"(2, 41)",6,"(2, 40)",--,-0.399,-0.635,-0.400,-0.396,-0.411,-0.392,-0.160,-0.399,-0.647,--,14,24,26,17,13,12,25,11,12,--,Greedy,-0.2
Episode,262,step,85,state,"(2, 40)",3,"(1, 40)",--,-0.323,-0.227,-0.318,-0.193,-0.249,-0.553,-0.244,-0.509,-0.315,--,6,9,3,15,26,17,7,6,5,--,Greedy,-0.2
Episode,262,step,86,state,"(1, 40)",8,"(2, 40)",--,-0.262,-0.285,-0.288,-0.220,-0.510,-0.408,-0.341,-0.287,-0.215,--,5,3,4,4,3,7,6,11,4,--,Greedy,-0.2
Episode,262,step,90,state,"(2, 40)",4,"(1, 40)",--,-0.323,-0.271,-0.318,-0.289,-0.249,-0.553,-0.285,-0.509,-0.315,--,6,10,3,17,26,17,8,6,5,--,Greedy,-0.2
Episode,262,step,92,state,"(1, 40)",3,"(0, 32)",--,-0.262,-0.285,-0.288,-0.265,-0.510,-0.408,-0.341,-0.287,-0.264,--,5,3,4,5,3,7,6,11,5,--,Epsilon = 0.32,0.15
Episode,262,step,94,state,"(0, 32)",7,"(2, 32)",--,-0.004,-0.004,-0.005,-0.006,-0.008,-0.001,-0.004,0.235,-0.010,--,0,0,0,0,0,0,0,2,0,--,Greedy,-0.2
Episode,262,step,96,state,"(2, 32)",4,"(1, 32)",--,-0.009,-0.085,-0.215,-0.007,-0.002,-0.006,-0.002,-0.005,-0.003,--,0,1,1,0,0,0,0,0,0,--,Greedy,-0.2
Episode,262,step,97,state,"(1, 32)",8,"(2, 0)",--,-0.089,-0.008,-0.088,-0.087,-0.085,-0.009,-0.088,-0.009,-0.007,--,1,0,1,1,1,0,1,0,0,--,Greedy,0.8
Episode,262,step,99,state,"(2, 0)",4,"(2, 32)",--,0.180,0.230,0.212,0.221,0.236,0.198,0.227,0.235,0.234,--,598,528,640,750,671,498,369,329,359,--,Greedy,-0.8
Episode,262,step,100,state,"(2, 32)",6,"(2, 40)",--,-0.009,-0.085,-0.215,-0.007,-0.087,-0.006,-0.002,-0.005,-0.003,--,0,1,1,0,1,0,0,0,0,--,Greedy,-0.4
Episode,262,step,102,state,"(2, 40)",4,"(1, 40)",--,-0.323,-0.307,-0.318,-0.289,-0.282,-0.553,-0.285,-0.509,-0.315,--,6,11,3,17,27,17,8,6,5,--,Greedy,-0.2
Episode,262,step,104,state,"(1, 40)",1,"(0, 40)",--,-0.262,-0.285,-0.288,-0.081,-0.510,-0.408,-0.341,-0.287,-0.264,--,5,3,4,7,3,7,6,11,5,--,Epsilon = 0.32,-0.2
Episode,262,step,106,state,"(0, 40)",7,"(1, 40)",--,-0.291,-0.301,-0.291,-0.286,-0.396,-0.336,-0.314,-0.283,-0.409,--,5,5,5,4,2,5,11,6,6,--,Greedy,-0.2
Episode,262,step,110,state,"(1, 40)",6,"(2, 40)",--,-0.262,-0.317,-0.288,-0.151,-0.416,-0.357,-0.341,-0.287,-0.264,--,5,4,4,8,4,8,6,11,5,--,Epsilon = 0.32,-0.2
Episode,262,step,112,state,"(2, 40)",0,"(1, 40)",--,-0.323,-0.307,-0.329,-0.289,-0.247,-0.553,-0.285,-0.509,-0.315,--,6,11,4,17,28,17,8,6,5,--,Epsilon = 0.32,-0.2
Episode,262,step,113,state,"(1, 40)",3,"(0, 41)",--,-0.262,-0.317,-0.288,-0.151,-0.416,-0.357,-0.342,-0.287,-0.264,--,5,4,4,8,4,8,7,11,5,--,Greedy,-0.2
Episode,262,step,118,state,"(0, 41)",8,"(0, 33)",--,-0.447,-0.797,-0.605,-0.451,-0.526,-0.539,-0.590,-0.652,-0.443,--,9,20,14,9,15,56,8,21,26,--,Greedy,0.15
Episode,262,step,119,state,"(0, 33)",6,"(2, 33)",--,-0.171,-0.009,-0.007,-0.009,0.323,-0.005,0.413,-0.087,-0.007,--,1,0,1,0,2,0,5,1,0,--,Greedy,-0.2
Episode,262,step,120,state,"(2, 33)",0,"(1, 33)",--,-0.008,-0.084,0.235,-0.010,-0.007,0.681,-0.005,-0.005,-0.191,--,0,1,3,0,0,6,0,0,2,--,Epsilon = 0.32,-0.2
Episode,262,step,121,state,"(1, 33)",2,"(0, 33)",--,0.055,0.240,0.780,-0.009,-0.006,-0.001,-0.006,-0.007,-0.008,--,1,3,4,0,0,0,0,0,0,--,Greedy,-0.2
Episode,262,step,122,state,"(0, 33)",3,"(0, 2)",--,-0.171,-0.009,-0.007,-0.009,0.323,-0.005,0.321,-0.087,-0.007,--,1,0,1,0,2,0,6,1,0,--,Epsilon = 0.32,-0.2
Episode,262,step,128,state,"(0, 2)",2,"(0, 0)",--,-0.268,-0.479,-0.099,-0.660,-0.417,-0.394,-0.337,-0.328,-0.538,--,22,36,55,19,58,19,41,18,27,--,Greedy,-1
end
