 , , ,log2019-04-25_09-30-30,ep ,67,step ,138,r ,12.280
 , , ,,,s,a,s_,--,"Q[s, a0]","Q[s, a1]","Q[s, a2]","Q[s, a3]","Q[s, a4]","Q[s, a5]","Q[s, a6]","Q[s, a7]","Q[s, a8]",--,"ST[s, a0]","ST[s, a1]","ST[s, a2]","ST[s, a3]","ST[s, a4]","ST[s, a5]","ST[s, a6]","ST[s, a7]","ST[s, a8]",--,policy,reward
Episode,67,step,1,state,"(1, 0)",6,"(1, 0)",--,0.226,0.229,0.229,0.220,0.226,0.202,0.232,0.232,0.224,--,166,107,138,91,167,184,194,147,151,--,Greedy,0
Episode,67,step,7,state,"(1, 0)",6,"(2, 0)",--,0.230,0.229,0.232,0.220,0.226,0.202,0.235,0.232,0.224,--,167,107,139,91,167,184,198,147,151,--,Greedy,0.1
Episode,67,step,9,state,"(2, 0)",1,"(1, 0)",--,0.162,0.218,0.206,0.134,0.183,0.194,0.148,0.198,-0.236,--,139,174,176,187,172,141,104,80,92,--,Greedy,0.1
Episode,67,step,10,state,"(1, 0)",5,"(0, 0)",--,0.230,0.229,0.232,0.220,0.226,0.202,0.230,0.232,0.224,--,167,107,139,91,167,184,199,147,151,--,Epsilon = 0.32,0.1
Episode,67,step,11,state,"(0, 0)",8,"(1, 0)",--,0.184,0.181,0.111,0.123,0.149,0.100,0.184,0.146,0.236,--,61,33,54,96,200,156,144,116,149,--,Greedy,0.1
Episode,67,step,13,state,"(1, 0)",2,"(0, 0)",--,0.230,0.229,0.233,0.220,0.226,0.217,0.230,0.232,0.224,--,167,107,140,91,167,185,199,147,151,--,Greedy,0.1
Episode,67,step,15,state,"(0, 0)",5,"(1, 0)",--,0.184,0.181,0.111,0.123,0.149,0.100,0.184,0.146,0.236,--,61,33,54,96,200,156,144,116,151,--,Epsilon = 0.32,0.1
Episode,67,step,17,state,"(1, 0)",2,"(0, 0)",--,0.230,0.229,0.235,0.220,0.226,0.217,0.230,0.232,0.224,--,167,107,142,91,167,185,199,147,151,--,Greedy,0.1
Episode,67,step,20,state,"(0, 0)",5,"(1, 0)",--,0.184,0.204,0.111,0.123,0.149,0.157,0.184,0.146,0.236,--,61,34,54,96,200,157,144,116,152,--,Epsilon = 0.32,0.1
Episode,67,step,22,state,"(1, 0)",2,"(0, 0)",--,0.230,0.229,0.236,0.220,0.226,0.217,0.230,0.232,0.224,--,167,107,144,91,167,185,199,147,151,--,Greedy,0.1
