 , , ,log2019-04-26_17-11-43,ep ,182,step ,27,r ,-2.420
 , , ,,,s,a,s_,--,"Q[s, a0]","Q[s, a1]","Q[s, a2]","Q[s, a3]","Q[s, a4]","Q[s, a5]","Q[s, a6]","Q[s, a7]","Q[s, a8]",--,"ST[s, a0]","ST[s, a1]","ST[s, a2]","ST[s, a3]","ST[s, a4]","ST[s, a5]","ST[s, a6]","ST[s, a7]","ST[s, a8]",--,policy,reward
Episode,182,step,1,state,"(1, 0)",8,"(1, 0)",--,0.232,0.113,0.233,0.234,0.207,0.230,0.224,0.181,0.232,--,237,277,311,387,474,454,411,378,431,--,Epsilon = 0.32,0
Episode,182,step,5,state,"(1, 0)",8,"(2, 0)",--,0.232,0.113,0.233,0.235,0.207,0.232,0.224,0.181,0.232,--,237,277,311,389,474,455,411,378,432,--,Epsilon = 0.32,0.1
Episode,182,step,11,state,"(2, 0)",8,"(2, 1)",--,0.098,0.183,0.155,-0.061,0.133,0.184,0.115,0.119,0.228,--,379,332,467,478,376,388,260,201,243,--,Greedy,-0.12
Episode,182,step,16,state,"(2, 1)",3,"(1, 2)",--,-0.031,-0.021,-0.005,0.257,-0.379,-0.162,-0.088,0.105,-0.192,--,78,60,56,87,60,41,44,42,63,--,Greedy,-0.8
Episode,182,step,18,state,"(1, 2)",3,"(2, 18)",--,-0.275,-0.425,-0.247,-0.281,-0.248,-0.287,-0.288,-0.241,-0.265,--,20,24,16,12,12,10,7,24,8,--,Epsilon = 0.32,-0.2
Episode,182,step,19,state,"(2, 18)",2,"(0, 18)",--,-0.106,-0.136,-0.085,-0.102,-0.088,-0.119,-0.127,-0.119,-0.144,--,1,2,1,5,1,1,1,5,1,--,Greedy,-0.2
Episode,182,step,22,state,"(0, 18)",4,"(1, 18)",--,-0.086,-0.009,-0.006,-0.148,0.261,-0.086,-0.086,-0.135,-0.007,--,1,0,0,2,4,1,1,1,0,--,Greedy,-0.2
Episode,182,step,23,state,"(1, 18)",7,"(2, 22)",--,-0.089,-0.134,-0.120,-0.045,-0.093,-0.088,-0.089,0.295,-0.107,--,1,2,3,2,1,1,1,2,1,--,Greedy,-0.2
Episode,182,step,24,state,"(2, 22)",6,"(2, 20)",--,-0.297,-0.319,-0.295,-0.263,-0.272,-0.262,-0.283,-0.391,-0.259,--,13,6,5,11,11,5,4,3,3,--,Epsilon = 0.32,0.8
Episode,182,step,25,state,"(2, 20)",6,"(2, 36)",--,0.309,0.270,-0.093,0.019,0.347,0.059,0.400,0.273,0.089,--,110,35,114,118,90,114,100,132,172,--,Greedy,-0.8
Episode,182,step,26,state,"(2, 36)",5,"(2, 40)",--,-0.269,-0.227,-0.251,-0.686,-0.370,-0.183,-0.185,-0.219,-0.367,--,2,2,2,2,1,2,2,2,1,--,Greedy,-0.4
Episode,182,step,27,state,"(2, 40)",4,"(2, 40)",--,-0.323,-0.239,-0.332,-0.463,0.510,-0.553,-0.244,-0.509,-0.408,--,6,7,2,10,10,17,7,6,4,--,Greedy,-1
end
