 , , ,log2019-04-26_17-26-48,ep ,271,step ,27,r ,-2.820
 , , ,,,s,a,s_,--,"Q[s, a0]","Q[s, a1]","Q[s, a2]","Q[s, a3]","Q[s, a4]","Q[s, a5]","Q[s, a6]","Q[s, a7]","Q[s, a8]",--,"ST[s, a0]","ST[s, a1]","ST[s, a2]","ST[s, a3]","ST[s, a4]","ST[s, a5]","ST[s, a6]","ST[s, a7]","ST[s, a8]",--,policy,reward
Episode,271,step,1,state,"(1, 0)",3,"(1, 0)",--,0.228,0.232,0.196,0.230,0.189,0.228,0.186,0.150,0.238,--,405,499,495,616,646,650,614,594,691,--,Epsilon = 0.32,0
Episode,271,step,5,state,"(1, 0)",8,"(2, 0)",--,0.228,0.235,0.196,0.230,0.189,0.228,0.208,0.150,0.238,--,405,500,495,617,646,650,615,594,692,--,Greedy,0.1
Episode,271,step,12,state,"(2, 0)",7,"(2, 1)",--,0.166,0.210,0.134,0.194,-0.098,0.185,0.142,0.229,0.203,--,632,538,667,783,677,513,372,345,367,--,Greedy,-0.12
Episode,271,step,16,state,"(2, 1)",6,"(2, 2)",--,-0.158,-0.234,-0.061,-0.035,0.104,-0.020,-0.101,0.062,-0.023,--,101,121,111,124,90,48,58,67,77,--,Epsilon = 0.32,-0.8
Episode,271,step,17,state,"(2, 2)",1,"(1, 2)",--,-0.358,0.042,-0.316,-0.345,-0.038,-0.406,-0.425,-0.296,-0.337,--,26,33,28,25,27,35,25,61,13,--,Greedy,-0.2
Episode,271,step,18,state,"(1, 2)",8,"(1, 18)",--,-0.348,-0.389,-0.556,-0.652,-0.383,-0.652,-0.377,-0.352,-0.194,--,40,25,20,21,20,12,22,28,16,--,Greedy,-0.2
Episode,271,step,19,state,"(1, 18)",3,"(2, 22)",--,-0.089,-0.183,-0.120,0.175,-0.093,-0.088,-0.089,-0.168,-0.107,--,1,3,3,4,1,1,1,5,1,--,Greedy,-0.2
Episode,271,step,20,state,"(2, 22)",5,"(1, 22)",--,-0.335,-0.319,-0.295,-0.273,-0.272,-0.262,-0.291,-0.562,-0.569,--,14,6,5,12,11,5,11,5,11,--,Greedy,-0.2
Episode,271,step,21,state,"(1, 22)",5,"(2, 22)",--,-0.150,-0.174,-0.067,-0.087,-0.132,-0.231,-0.157,-0.139,0.600,--,3,1,3,1,2,2,3,4,4,--,Epsilon = 0.32,-0.2
Episode,271,step,24,state,"(2, 22)",5,"(2, 36)",--,-0.335,-0.319,-0.295,-0.273,-0.272,-0.214,-0.291,-0.562,-0.569,--,14,6,5,12,11,8,11,5,11,--,Epsilon = 0.32,-0.2
Episode,271,step,25,state,"(2, 36)",7,"(2, 40)",--,-0.269,-0.227,-0.251,-0.686,-0.370,-0.293,-0.522,-0.219,-0.367,--,2,2,2,2,1,4,3,2,1,--,Greedy,-0.4
Episode,271,step,27,state,"(2, 40)",5,"(2, 0)",--,-0.308,-0.307,-0.329,-0.289,-0.287,-0.553,-0.285,-0.509,-0.315,--,7,11,4,17,29,17,8,6,5,--,Epsilon = 0.32,-1
end
