 , , ,log2019-04-26_17-01-02,ep ,106,step ,140,r ,13.080
 , , ,,,s,a,s_,--,"Q[s, a0]","Q[s, a1]","Q[s, a2]","Q[s, a3]","Q[s, a4]","Q[s, a5]","Q[s, a6]","Q[s, a7]","Q[s, a8]",--,"ST[s, a0]","ST[s, a1]","ST[s, a2]","ST[s, a3]","ST[s, a4]","ST[s, a5]","ST[s, a6]","ST[s, a7]","ST[s, a8]",--,policy,reward
Episode,106,step,1,state,"(1, 0)",3,"(1, 0)",--,0.229,0.237,0.235,0.238,0.237,0.232,0.233,0.207,0.235,--,139,199,176,199,294,311,232,265,162,--,Greedy,0
Episode,106,step,4,state,"(1, 0)",3,"(0, 0)",--,0.229,0.237,0.235,0.238,0.237,0.232,0.233,0.207,0.235,--,139,199,176,202,294,311,232,265,162,--,Greedy,0.1
Episode,106,step,8,state,"(0, 0)",2,"(0, 4)",--,0.182,0.178,0.229,0.169,0.210,0.174,0.191,0.192,0.171,--,96,104,115,184,160,188,145,201,258,--,Greedy,-0.12
Episode,106,step,9,state,"(0, 4)",6,"(0, 20)",--,0.038,0.049,0.050,0.048,0.039,-0.017,0.198,-0.031,0.043,--,7,18,20,7,23,25,11,1,4,--,Greedy,-0.12
Episode,106,step,10,state,"(0, 20)",4,"(1, 20)",--,0.252,0.098,-0.005,0.251,0.140,-0.003,0.241,0.080,0.299,--,34,21,31,32,14,41,23,91,105,--,Epsilon = 0.32,0.1
Episode,106,step,12,state,"(1, 20)",8,"(2, 20)",--,0.274,0.268,0.273,0.296,0.283,0.276,-0.160,0.293,0.318,--,20,14,21,30,27,64,62,115,26,--,Greedy,0.1
Episode,106,step,14,state,"(2, 20)",8,"(2, 0)",--,0.052,0.126,-0.154,0.035,0.282,0.011,0.289,-0.067,0.474,--,65,20,80,92,31,59,47,97,113,--,Greedy,0.4
Episode,106,step,19,state,"(2, 0)",3,"(1, 0)",--,0.192,0.111,-0.100,0.211,0.200,0.194,0.125,0.180,0.138,--,242,118,278,318,195,230,135,137,109,--,Greedy,0.1
Episode,106,step,20,state,"(1, 0)",1,"(0, 0)",--,0.229,0.237,0.235,0.234,0.237,0.232,0.233,0.207,0.235,--,139,199,176,203,294,311,232,265,162,--,Greedy,0.1
Episode,106,step,23,state,"(0, 0)",4,"(1, 0)",--,0.182,0.178,0.131,0.169,0.219,0.174,0.191,0.192,0.171,--,96,104,116,184,162,188,145,201,258,--,Greedy,0.1
Episode,106,step,28,state,"(1, 0)",4,"(0, 0)",--,0.229,0.234,0.235,0.234,0.237,0.232,0.233,0.207,0.235,--,139,201,176,203,297,311,232,265,162,--,Greedy,0.1
Episode,106,step,30,state,"(0, 0)",4,"(1, 0)",--,0.182,0.178,0.131,0.169,0.229,0.174,0.191,0.192,0.171,--,96,104,116,184,164,188,145,201,258,--,Greedy,0.1
Episode,106,step,32,state,"(1, 0)",8,"(2, 0)",--,0.229,0.234,0.235,0.234,0.235,0.232,0.233,0.207,0.236,--,139,201,176,203,298,311,232,265,163,--,Greedy,0.1
Episode,106,step,34,state,"(2, 0)",3,"(1, 0)",--,0.192,0.111,-0.100,0.225,0.200,0.194,0.125,0.180,0.138,--,242,118,278,320,195,230,135,137,109,--,Greedy,0.1
Episode,106,step,35,state,"(1, 0)",0,"(0, 0)",--,0.229,0.234,0.235,0.234,0.235,0.232,0.233,0.207,0.233,--,139,201,176,203,298,311,232,265,164,--,Epsilon = 0.32,0.1
Episode,106,step,37,state,"(0, 0)",4,"(1, 0)",--,0.182,0.178,0.131,0.169,0.233,0.174,0.191,0.192,0.171,--,96,104,116,184,166,188,145,201,258,--,Greedy,0.1
Episode,106,step,38,state,"(1, 0)",2,"(0, 0)",--,0.231,0.234,0.235,0.234,0.235,0.232,0.233,0.207,0.233,--,140,201,176,203,298,311,232,265,164,--,Greedy,0.1
Episode,106,step,40,state,"(0, 0)",5,"(1, 0)",--,0.182,0.178,0.131,0.169,0.235,0.174,0.191,0.192,0.171,--,96,104,116,184,168,188,145,201,258,--,Epsilon = 0.32,0.1
Episode,106,step,42,state,"(1, 0)",2,"(0, 0)",--,0.231,0.234,0.236,0.234,0.235,0.232,0.233,0.207,0.233,--,140,201,178,203,298,311,232,265,164,--,Greedy,0.1
Episode,106,step,45,state,"(0, 0)",4,"(1, 0)",--,0.182,0.178,0.131,0.169,0.236,0.200,0.191,0.192,0.171,--,96,104,116,184,170,189,145,201,258,--,Greedy,0.1
Episode,106,step,47,state,"(1, 0)",3,"(0, 4)",--,0.231,0.234,0.236,0.234,0.235,0.232,0.233,0.207,0.233,--,140,201,180,203,298,311,232,265,164,--,Epsilon = 0.32,-0.12
