 , , ,log2019-04-25_09-55-41,ep ,227,step ,50,r ,1.060
 , , ,,,s,a,s_,--,"Q[s, a0]","Q[s, a1]","Q[s, a2]","Q[s, a3]","Q[s, a4]","Q[s, a5]","Q[s, a6]","Q[s, a7]","Q[s, a8]",--,"ST[s, a0]","ST[s, a1]","ST[s, a2]","ST[s, a3]","ST[s, a4]","ST[s, a5]","ST[s, a6]","ST[s, a7]","ST[s, a8]",--,policy,reward
Episode,227,step,1,state,"(1, 0)",3,"(1, 0)",--,0.212,0.146,0.232,0.237,0.228,0.227,0.234,0.217,0.164,--,453,290,507,479,662,543,549,609,514,--,Epsilon = 0.32,0
Episode,227,step,5,state,"(1, 0)",3,"(0, 0)",--,0.212,0.146,0.232,0.238,0.228,0.227,0.234,0.217,0.164,--,453,290,507,483,662,543,549,609,514,--,Greedy,0.1
Episode,227,step,6,state,"(0, 0)",8,"(1, 0)",--,0.201,0.074,0.221,0.209,0.221,0.104,0.208,-0.225,0.237,--,190,181,186,269,516,469,453,555,366,--,Greedy,0.1
Episode,227,step,10,state,"(1, 0)",3,"(0, 0)",--,0.212,0.146,0.232,0.238,0.235,0.227,0.234,0.217,0.164,--,453,290,507,485,664,543,549,609,514,--,Greedy,0.1
Episode,227,step,11,state,"(0, 0)",8,"(1, 0)",--,0.201,0.074,0.221,0.209,0.221,0.104,0.208,-0.225,0.237,--,190,181,186,269,516,469,453,555,367,--,Greedy,0.1
Episode,227,step,13,state,"(1, 0)",3,"(0, 0)",--,0.212,0.146,0.232,0.238,0.235,0.227,0.234,0.217,0.164,--,453,290,507,487,664,543,549,609,514,--,Greedy,0.1
Episode,227,step,14,state,"(0, 0)",8,"(1, 0)",--,0.201,0.074,0.221,0.209,0.221,0.104,0.208,-0.225,0.238,--,190,181,186,269,516,469,453,555,368,--,Greedy,0.1
Episode,227,step,16,state,"(1, 0)",3,"(0, 0)",--,0.212,0.146,0.232,0.238,0.235,0.227,0.234,0.217,0.164,--,453,290,507,489,664,543,549,609,514,--,Greedy,0.1
Episode,227,step,17,state,"(0, 0)",8,"(1, 0)",--,0.201,0.074,0.221,0.209,0.221,0.104,0.208,-0.225,0.238,--,190,181,186,269,516,469,453,555,369,--,Greedy,0.1
Episode,227,step,19,state,"(1, 0)",2,"(0, 0)",--,0.212,0.146,0.232,0.238,0.235,0.227,0.234,0.217,0.164,--,453,290,507,491,664,543,549,609,514,--,Epsilon = 0.32,0.1
Episode,227,step,20,state,"(0, 0)",8,"(1, 0)",--,0.201,0.074,0.221,0.209,0.221,0.104,0.208,-0.225,0.238,--,190,181,186,269,516,469,453,555,370,--,Greedy,0.1
Episode,227,step,21,state,"(1, 0)",5,"(1, 4)",--,0.212,0.146,0.235,0.238,0.235,0.227,0.234,0.217,0.164,--,453,290,508,491,664,543,549,609,514,--,Epsilon = 0.32,-0.12
Episode,227,step,22,state,"(1, 4)",6,"(2, 4)",--,0.139,0.236,0.238,0.201,0.137,0.230,0.377,0.249,0.196,--,10,12,10,22,30,8,49,35,69,--,Greedy,0.1
Episode,227,step,23,state,"(2, 4)",7,"(2, 0)",--,0.429,0.366,0.411,0.285,0.457,0.431,0.429,0.518,0.469,--,24,81,17,35,13,32,94,63,16,--,Greedy,0.4
Episode,227,step,33,state,"(2, 0)",3,"(2, 1)",--,0.207,0.162,0.128,0.175,-0.242,0.145,0.231,0.216,0.140,--,444,715,593,612,449,384,324,328,240,--,Epsilon = 0.32,-0.12
Episode,227,step,40,state,"(2, 1)",5,"(2, 2)",--,-0.095,-0.059,-0.230,-0.087,-0.298,0.144,-0.373,-0.097,-0.121,--,43,100,56,138,75,79,75,64,45,--,Greedy,-0.8
Episode,227,step,41,state,"(2, 2)",8,"(2, 18)",--,-0.306,-0.312,-0.288,-0.411,-0.318,-0.654,-0.592,-0.406,-0.233,--,8,21,38,19,32,22,30,48,55,--,Epsilon = 0.32,-0.2
Episode,227,step,42,state,"(2, 18)",2,"(2, 22)",--,-0.156,-0.088,-0.058,-0.144,-0.134,-0.130,-0.087,-0.125,0.028,--,2,6,3,2,1,1,1,3,6,--,Epsilon = 0.32,-0.2
Episode,227,step,43,state,"(2, 22)",3,"(1, 22)",--,-0.297,-0.212,-0.360,0.115,-0.281,-0.208,-0.237,-0.487,-0.288,--,9,12,3,16,7,8,8,4,8,--,Greedy,-0.2
Episode,227,step,44,state,"(1, 22)",2,"(0, 22)",--,-0.136,-0.116,-0.105,-0.107,-0.130,-0.513,-0.169,-0.466,-0.106,--,2,3,2,11,6,6,1,4,2,--,Greedy,-0.2
Episode,227,step,47,state,"(0, 22)",4,"(0, 18)",--,-0.086,-0.089,-0.088,-0.102,-0.061,-0.180,-0.104,-0.198,-0.134,--,2,1,2,13,1,4,2,8,3,--,Greedy,-0.2
Episode,227,step,48,state,"(0, 18)",3,"(0, 2)",--,-0.110,-0.010,-0.006,-0.008,-0.085,-0.003,0.334,-0.009,-0.008,--,1,0,0,0,1,1,1,0,0,--,Epsilon = 0.32,-0.2
Episode,227,step,49,state,"(0, 2)",4,"(0, 0)",--,-0.370,-0.333,-0.446,-0.353,-0.379,-0.426,-0.283,-0.347,-0.498,--,30,26,20,29,31,20,23,14,24,--,Epsilon = 0.32,0.8
Episode,227,step,50,state,"(0, 0)",8,"(1, 0)",--,0.201,0.074,0.221,0.209,0.221,0.104,0.208,-0.225,0.238,--,190,181,186,269,516,469,453,555,371,--,Greedy,-1
end
