 , , ,log2019-04-25_09-26-31,ep ,45,step ,97,r ,7.880
 , , ,,,s,a,s_,--,"Q[s, a0]","Q[s, a1]","Q[s, a2]","Q[s, a3]","Q[s, a4]","Q[s, a5]","Q[s, a6]","Q[s, a7]","Q[s, a8]",--,"ST[s, a0]","ST[s, a1]","ST[s, a2]","ST[s, a3]","ST[s, a4]","ST[s, a5]","ST[s, a6]","ST[s, a7]","ST[s, a8]",--,policy,reward
Episode,45,step,1,state,"(1, 0)",3,"(1, 0)",--,0.212,0.196,0.212,0.221,0.202,0.214,0.140,0.119,0.221,--,151,73,101,57,90,134,140,96,68,--,Greedy,0
Episode,45,step,5,state,"(1, 0)",3,"(0, 0)",--,0.212,0.196,0.212,0.229,0.202,0.214,0.140,0.119,0.221,--,151,73,101,61,90,134,140,96,68,--,Greedy,0.1
Episode,45,step,9,state,"(0, 0)",4,"(1, 4)",--,0.140,0.035,0.095,0.106,0.236,0.085,0.126,0.101,0.148,--,38,24,38,36,130,141,121,77,103,--,Greedy,-0.12
Episode,45,step,10,state,"(1, 4)",7,"(2, 4)",--,-0.013,0.096,0.167,0.255,0.289,0.206,0.282,0.332,0.195,--,4,3,4,4,16,3,34,6,5,--,Greedy,0.1
Episode,45,step,11,state,"(2, 4)",1,"(1, 4)",--,0.292,0.464,0.340,-0.002,0.055,0.220,0.367,0.331,0.311,--,3,45,3,0,1,1,18,23,2,--,Greedy,0.1
Episode,45,step,12,state,"(1, 4)",7,"(2, 4)",--,-0.013,0.096,0.167,0.255,0.289,0.206,0.282,0.347,0.195,--,4,3,4,4,16,3,34,7,5,--,Greedy,0.1
Episode,45,step,13,state,"(2, 4)",1,"(1, 0)",--,0.292,0.396,0.340,-0.002,0.055,0.220,0.367,0.331,0.311,--,3,46,3,0,1,1,18,23,2,--,Greedy,0.4
Episode,45,step,15,state,"(1, 0)",3,"(0, 4)",--,0.212,0.196,0.212,0.233,0.202,0.214,0.140,0.119,0.221,--,151,73,101,63,90,134,140,96,68,--,Greedy,-0.12
Episode,45,step,17,state,"(0, 4)",5,"(1, 20)",--,0.016,-0.000,0.025,0.042,-0.017,0.083,0.007,0.059,0.076,--,2,3,4,7,2,8,1,23,16,--,Greedy,-0.12
Episode,45,step,18,state,"(1, 20)",7,"(2, 4)",--,0.258,0.276,0.258,0.272,0.253,0.262,0.203,0.285,0.259,--,10,9,8,5,31,48,9,56,82,--,Greedy,0.4
Episode,45,step,19,state,"(2, 4)",6,"(2, 0)",--,0.292,0.454,0.340,-0.002,0.055,0.220,0.367,0.331,0.311,--,3,47,3,0,1,1,18,23,2,--,Epsilon = 0.32,0.4
Episode,45,step,21,state,"(2, 0)",3,"(1, 0)",--,0.213,0.124,0.210,0.236,0.222,0.217,0.226,0.221,0.225,--,104,144,111,96,106,58,71,47,62,--,Greedy,0.1
