 , , ,log2019-04-26_17-26-38,ep ,269,step ,65,r ,5.320
 , , ,,,s,a,s_,--,"Q[s, a0]","Q[s, a1]","Q[s, a2]","Q[s, a3]","Q[s, a4]","Q[s, a5]","Q[s, a6]","Q[s, a7]","Q[s, a8]",--,"ST[s, a0]","ST[s, a1]","ST[s, a2]","ST[s, a3]","ST[s, a4]","ST[s, a5]","ST[s, a6]","ST[s, a7]","ST[s, a8]",--,policy,reward
Episode,269,step,1,state,"(1, 0)",8,"(1, 0)",--,0.228,0.229,0.196,0.230,0.225,0.226,0.186,0.162,0.236,--,405,498,495,616,644,649,614,591,664,--,Greedy,0
Episode,269,step,4,state,"(1, 0)",8,"(2, 0)",--,0.228,0.229,0.196,0.230,0.225,0.226,0.186,0.162,0.237,--,405,498,495,616,644,649,614,591,667,--,Greedy,0.1
Episode,269,step,6,state,"(2, 0)",3,"(1, 0)",--,0.218,0.157,0.190,0.230,-0.098,0.147,0.086,0.166,0.184,--,621,536,666,766,677,512,370,338,366,--,Greedy,0.1
Episode,269,step,7,state,"(1, 0)",8,"(2, 0)",--,0.228,0.229,0.196,0.230,0.225,0.226,0.186,0.162,0.235,--,405,498,495,616,644,649,614,591,668,--,Greedy,0.1
Episode,269,step,9,state,"(2, 0)",3,"(1, 0)",--,0.218,0.157,0.190,0.234,-0.098,0.147,0.086,0.166,0.184,--,621,536,666,768,677,512,370,338,366,--,Greedy,0.1
Episode,269,step,11,state,"(1, 0)",8,"(2, 0)",--,0.228,0.229,0.196,0.230,0.225,0.226,0.186,0.193,0.235,--,405,498,495,616,644,649,614,592,669,--,Greedy,0.1
Episode,269,step,13,state,"(2, 0)",1,"(1, 0)",--,0.218,0.157,0.190,0.235,-0.098,0.147,0.086,0.166,0.184,--,621,536,666,770,677,512,370,338,366,--,Epsilon = 0.32,0.1
Episode,269,step,15,state,"(1, 0)",8,"(2, 0)",--,0.228,0.229,0.196,0.230,0.225,0.226,0.186,0.193,0.236,--,405,498,495,616,644,649,614,592,671,--,Greedy,0.1
Episode,269,step,17,state,"(2, 0)",3,"(1, 0)",--,0.218,0.191,0.190,0.236,-0.098,0.147,0.086,0.166,0.184,--,621,537,666,771,677,512,370,338,366,--,Greedy,0.1
Episode,269,step,18,state,"(1, 0)",8,"(2, 0)",--,0.228,0.229,0.196,0.230,0.225,0.226,0.186,0.193,0.236,--,405,498,495,616,644,649,614,592,672,--,Greedy,0.1
Episode,269,step,20,state,"(2, 0)",3,"(0, 0)",--,0.226,0.191,0.190,0.236,-0.098,0.147,0.086,0.166,0.184,--,622,537,666,772,677,512,370,338,366,--,Greedy,0.1
Episode,269,step,23,state,"(0, 0)",5,"(1, 0)",--,0.209,0.059,0.218,0.146,0.214,0.238,0.211,0.219,0.183,--,293,276,290,367,466,515,482,645,543,--,Greedy,0.1
Episode,269,step,24,state,"(1, 0)",8,"(2, 0)",--,0.228,0.229,0.196,0.230,0.225,0.226,0.186,0.193,0.237,--,405,498,495,616,644,649,614,592,673,--,Greedy,0.1
Episode,269,step,26,state,"(2, 0)",3,"(1, 0)",--,0.226,0.191,0.190,0.237,-0.098,0.147,0.086,0.166,0.184,--,622,537,666,774,677,512,370,338,366,--,Greedy,0.1
Episode,269,step,27,state,"(1, 0)",8,"(2, 0)",--,0.228,0.229,0.196,0.230,0.225,0.226,0.186,0.193,0.237,--,405,498,495,616,644,649,614,592,674,--,Greedy,0.1
Episode,269,step,29,state,"(2, 0)",3,"(1, 0)",--,0.226,0.191,0.190,0.237,-0.098,0.147,0.086,0.166,0.184,--,622,537,666,776,677,512,370,338,366,--,Greedy,0.1
Episode,269,step,30,state,"(1, 0)",1,"(0, 0)",--,0.228,0.229,0.196,0.230,0.225,0.226,0.186,0.193,0.237,--,405,498,495,616,644,649,614,592,675,--,Epsilon = 0.32,0.1
Episode,269,step,32,state,"(0, 0)",5,"(1, 0)",--,0.209,0.059,0.218,0.146,0.214,0.238,0.211,0.219,0.183,--,293,276,290,367,466,517,482,645,543,--,Greedy,0.1
Episode,269,step,33,state,"(1, 0)",8,"(2, 0)",--,0.228,0.232,0.196,0.230,0.225,0.226,0.186,0.193,0.237,--,405,499,495,616,644,649,614,592,675,--,Greedy,0.1
Episode,269,step,36,state,"(2, 0)",6,"(2, 1)",--,0.226,0.191,0.190,0.238,-0.098,0.147,0.086,0.196,0.184,--,622,537,666,778,677,512,370,339,366,--,Epsilon = 0.32,-0.12
Episode,269,step,38,state,"(2, 1)",1,"(0, 1)",--,-0.377,0.291,-0.061,-0.035,-0.102,-0.020,-0.101,0.002,-0.245,--,100,111,111,124,88,48,58,66,76,--,Greedy,0.1
Episode,269,step,42,state,"(0, 1)",6,"(0, 0)",--,-0.110,0.313,0.318,0.052,-0.260,0.293,0.277,0.282,0.293,--,81,130,100,152,76,52,72,47,57,--,Epsilon = 0.32,0.4
Episode,269,step,43,state,"(0, 0)",5,"(1, 0)",--,0.209,0.059,0.218,0.146,0.214,0.238,0.211,0.219,0.183,--,293,276,290,367,466,518,482,645,543,--,Greedy,0.1
Episode,269,step,44,state,"(1, 0)",8,"(2, 0)",--,0.228,0.232,0.196,0.230,0.225,0.226,0.186,0.193,0.237,--,405,499,495,616,644,649,614,592,676,--,Greedy,0.1
Episode,269,step,46,state,"(2, 0)",3,"(1, 0)",--,0.226,0.191,0.190,0.238,-0.098,0.147,0.073,0.196,0.184,--,622,537,666,779,677,512,371,339,366,--,Greedy,0.1
Episode,269,step,48,state,"(1, 0)",4,"(2, 1)",--,0.228,0.232,0.196,0.230,0.225,0.226,0.186,0.193,0.238,--,405,499,495,616,644,649,614,592,678,--,Epsilon = 0.32,-0.12
Episode,269,step,49,state,"(2, 1)",1,"(0, 1)",--,-0.377,0.304,-0.061,-0.035,-0.102,-0.020,-0.101,0.002,-0.245,--,100,112,111,124,88,48,58,66,76,--,Greedy,0.1
Episode,269,step,50,state,"(0, 1)",6,"(1, 1)",--,-0.110,0.313,0.318,0.052,-0.260,0.293,0.386,0.282,0.293,--,81,130,100,152,76,52,73,47,57,--,Greedy,0.1
Episode,269,step,52,state,"(1, 1)",1,"(0, 1)",--,0.273,0.310,-0.206,0.044,0.240,0.226,0.217,0.217,0.208,--,51,95,123,59,28,30,38,30,43,--,Greedy,0.1
Episode,269,step,53,state,"(0, 1)",6,"(0, 0)",--,-0.110,0.313,0.318,0.052,-0.260,0.293,0.345,0.282,0.293,--,81,130,100,152,76,52,74,47,57,--,Greedy,0.4
Episode,269,step,54,state,"(0, 0)",5,"(1, 0)",--,0.209,0.059,0.218,0.146,0.214,0.238,0.211,0.219,0.183,--,293,276,290,367,466,519,482,645,543,--,Greedy,0.1
Episode,269,step,55,state,"(1, 0)",7,"(2, 0)",--,0.228,0.232,0.196,0.230,0.154,0.226,0.186,0.193,0.238,--,405,499,495,616,645,649,614,592,678,--,Epsilon = 0.32,0.1
Episode,269,step,57,state,"(2, 0)",2,"(1, 1)",--,0.226,0.191,0.190,0.238,-0.098,0.147,0.073,0.196,0.184,--,622,537,666,781,677,512,371,339,366,--,Epsilon = 0.32,-0.12
Episode,269,step,58,state,"(1, 1)",1,"(0, 0)",--,0.273,0.306,-0.206,0.044,0.240,0.226,0.217,0.217,0.208,--,51,96,123,59,28,30,38,30,43,--,Greedy,0.4
Episode,269,step,60,state,"(0, 0)",5,"(1, 0)",--,0.209,0.059,0.218,0.146,0.214,0.238,0.211,0.219,0.183,--,293,276,290,367,466,521,482,645,543,--,Greedy,0.1
Episode,269,step,61,state,"(1, 0)",8,"(2, 0)",--,0.228,0.232,0.196,0.230,0.154,0.226,0.186,0.212,0.238,--,405,499,495,616,645,649,614,593,678,--,Greedy,0.1
Episode,269,step,63,state,"(2, 0)",3,"(2, 1)",--,0.226,0.191,0.134,0.238,-0.098,0.147,0.073,0.214,0.184,--,622,537,667,781,677,512,371,340,366,--,Greedy,-0.12
Episode,269,step,64,state,"(2, 1)",1,"(1, 1)",--,-0.377,0.312,-0.061,-0.035,-0.102,-0.020,-0.101,0.002,-0.245,--,100,113,111,124,88,48,58,66,76,--,Greedy,0.1
Episode,269,step,65,state,"(1, 1)",0,"(0, 1)",--,0.273,0.403,-0.206,0.044,0.240,0.226,0.217,0.217,0.208,--,51,97,123,59,28,30,38,30,43,--,Epsilon = 0.32,-1
end
