 , , ,log2019-04-25_09-27-10,ep ,47,step ,326,r ,16.610
 , , ,,,s,a,s_,--,"Q[s, a0]","Q[s, a1]","Q[s, a2]","Q[s, a3]","Q[s, a4]","Q[s, a5]","Q[s, a6]","Q[s, a7]","Q[s, a8]",--,"ST[s, a0]","ST[s, a1]","ST[s, a2]","ST[s, a3]","ST[s, a4]","ST[s, a5]","ST[s, a6]","ST[s, a7]","ST[s, a8]",--,policy,reward
Episode,47,step,1,state,"(1, 0)",8,"(1, 0)",--,0.219,0.196,0.222,0.103,0.217,0.224,0.140,0.119,0.234,--,152,73,102,64,91,135,140,96,87,--,Greedy,0
Episode,47,step,3,state,"(1, 0)",8,"(2, 0)",--,0.219,0.196,0.222,0.103,0.217,0.224,0.140,0.119,0.234,--,152,73,102,64,91,135,140,96,89,--,Greedy,0.1
Episode,47,step,5,state,"(2, 0)",0,"(1, 0)",--,0.183,0.199,0.216,0.124,0.228,0.154,0.226,0.136,0.177,--,106,146,113,114,107,73,71,54,69,--,Epsilon = 0.32,0.1
Episode,47,step,6,state,"(1, 0)",8,"(0, 0)",--,0.219,0.196,0.222,0.103,0.217,0.224,0.140,0.119,0.233,--,152,73,102,64,91,135,140,96,90,--,Greedy,0.1
Episode,47,step,7,state,"(0, 0)",4,"(1, 0)",--,0.171,0.035,0.095,0.184,0.236,0.148,0.156,0.101,0.148,--,39,24,38,39,144,142,122,77,103,--,Greedy,0.1
Episode,47,step,8,state,"(1, 0)",8,"(2, 0)",--,0.219,0.196,0.222,0.103,0.217,0.224,0.140,0.119,0.235,--,152,73,102,64,91,135,140,96,91,--,Greedy,0.1
Episode,47,step,12,state,"(2, 0)",4,"(1, 0)",--,0.205,0.199,0.216,0.124,0.231,0.187,0.226,0.136,0.177,--,107,146,113,114,109,74,71,54,69,--,Greedy,0.1
Episode,47,step,13,state,"(1, 0)",8,"(2, 0)",--,0.219,0.196,0.222,0.103,0.217,0.224,0.140,0.119,0.234,--,152,73,102,64,91,135,140,96,92,--,Greedy,0.1
Episode,47,step,16,state,"(2, 0)",3,"(1, 0)",--,0.205,0.199,0.216,0.124,0.235,0.187,0.226,0.136,0.177,--,107,146,113,114,112,74,71,54,69,--,Epsilon = 0.32,0.1
Episode,47,step,17,state,"(1, 0)",3,"(0, 0)",--,0.219,0.196,0.222,0.103,0.217,0.224,0.140,0.119,0.234,--,152,73,102,64,91,135,140,96,93,--,Epsilon = 0.32,0.1
Episode,47,step,19,state,"(0, 0)",4,"(1, 0)",--,0.171,0.035,0.095,0.184,0.236,0.186,0.156,0.101,0.148,--,39,24,38,39,145,143,122,77,103,--,Greedy,0.1
Episode,47,step,20,state,"(1, 0)",8,"(2, 0)",--,0.219,0.196,0.222,0.159,0.217,0.224,0.140,0.119,0.234,--,152,73,102,65,91,135,140,96,93,--,Greedy,0.1
Episode,47,step,23,state,"(2, 0)",4,"(1, 0)",--,0.205,0.199,0.216,0.171,0.236,0.187,0.226,0.136,0.177,--,107,146,113,115,114,74,71,54,69,--,Greedy,0.1
