2019-04-25_09-27-32,episodes,50,avg_step,90.00,avg_reward,5.94,Epsilon,0.32,Explored %,0.000%
,ScanSlice,12,StateSlice,3,LaunchNums,3,ALPHA,0.42,GAMMA,0.58,SLEEP_TIME,0.05,ActionNums,9
,angularSpeed,1.28,linearSpeed,0.32,,OLD_DATA,Err
,Crush thre,0.26,Sensing thre,0.72,1.2

,,State_om,State_dist,Action 0,Action 1,Action 2,Action 3,Action 4,Action 5,Action 6,Action 7,Action 8,Action Taken 0,A T 1,A T 2,A T 3,A T 4,A T 5,A T 6,A T 7,A T 8
,state,0.0,0.0,0.15796,0.11855,0.20258,0.22567,0.20292,0.21948,0.23593,0.15801,0.18565,49.0,25.0,41.0,42.0,172.0,145.0,138.0,78.0,104.0
,state,0.0,1.0,0.46511,0.28766,0.12262,0.26278,0.25187,0.19099,0.38359,-0.18047,0.31156,57.0,4.0,11.0,2.0,19.0,2.0,14.0,7.0,7.0
,state,0.0,2.0,-0.21025,-0.2505,-0.25517,-0.22812,0.27202,-0.21506,-0.21436,-0.4106,-0.456,4.0,9.0,4.0,4.0,4.0,4.0,5.0,1.0,5.0
,state,0.0,4.0,0.01643,0.01227,0.02523,0.03411,-0.01682,0.06727,0.00658,0.05856,0.21557,2.0,4.0,4.0,8.0,2.0,9.0,1.0,23.0,19.0
,state,0.0,5.0,-0.00836,-0.00778,-0.00569,-0.0072,-0.00287,0.08406,-0.00486,-0.00899,-0.00574,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
,state,0.0,16.0,-0.00275,-0.00411,-0.00576,-0.00527,-0.3272,-0.0067,-0.00221,-0.00681,-0.00618,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
,state,0.0,17.0,0.07881,-0.00306,-0.00524,-0.00452,-0.00085,-0.00959,-0.00313,-0.00133,-0.00392,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,state,0.0,18.0,-0.00336,-0.00987,-0.00577,-0.00752,-0.08457,-0.00016,-0.00226,-0.00884,-0.00845,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
,state,0.0,20.0,0.09775,-0.17577,0.22322,-0.19555,0.18699,-0.17973,0.22476,0.24556,0.29389,40.0,7.0,10.0,28.0,37.0,21.0,4.0,59.0,38.0
,state,0.0,21.0,-0.33629,0.08691,-0.5317,-0.00882,0.1324,0.20688,-0.34328,-0.09846,-0.00311,1.0,1.0,2.0,0.0,2.0,14.0,1.0,2.0,0.0
,state,0.0,22.0,-0.00689,-0.00664,-0.0016,-0.08497,-0.00524,-0.08477,-0.08456,-0.00309,-0.00677,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
,state,0.0,24.0,-0.00724,-0.00974,-0.20936,-0.19037,-0.16961,-0.00951,-0.00739,-0.22432,-0.17122,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0
,state,0.0,25.0,-0.00086,-0.16882,-0.00625,-0.00764,-0.00139,-0.00506,-0.19217,-0.00431,-0.00353,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
,state,0.0,32.0,-0.00326,-0.00399,-0.00708,-0.00231,-0.00059,-0.00947,0.3929,-0.00214,-0.00781,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
,state,0.0,33.0,-0.00584,-0.00248,-0.00991,0.33467,-0.00589,-0.00906,-0.00183,0.39132,-0.00312,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
,state,0.0,34.0,-0.00702,-0.00941,-0.00569,-0.00733,-0.00822,0.0624,-0.00737,-0.00961,-0.00222,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
,state,0.0,40.0,-0.21188,-0.21191,-0.2022,-0.19477,-0.24397,-0.22433,-0.36685,-0.21128,-0.20062,3.0,3.0,3.0,2.0,3.0,4.0,2.0,3.0,3.0
,state,0.0,41.0,-0.35316,-0.36597,-0.61115,-0.35759,-0.46805,-0.50457,0.03022,-0.73804,-0.39894,7.0,3.0,3.0,8.0,7.0,3.0,10.0,6.0,3.0
,state,1.0,0.0,0.22526,0.13848,0.1016,0.1034,0.22416,0.2256,0.17763,0.2134,0.11927,153.0,81.0,107.0,82.0,92.0,147.0,141.0,99.0,122.0
