2019-04-25_09-18-28,episodes,1,avg_step,27.00,avg_reward,-0.44,Epsilon,0.32,Explored %,0.000%
,ScanSlice,12,StateSlice,3,LaunchNums,3,ALPHA,0.42,GAMMA,0.58,SLEEP_TIME,0.05,ActionNums,9
,angularSpeed,1.28,linearSpeed,0.32,,OLD_DATA,Err
,Crush thre,0.26,Sensing thre,0.72,1.2

,,State_om,State_dist,Action 0,Action 1,Action 2,Action 3,Action 4,Action 5,Action 6,Action 7,Action 8,Action Taken 0,A T 1,A T 2,A T 3,A T 4,A T 5,A T 6,A T 7,A T 8
,state,0.0,0.0,-0.00452,-0.00866,0.08382,-0.00966,0.06138,-0.00046,-0.02718,-0.00741,-0.00973,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0
,state,0.0,4.0,-0.00981,-0.0082,-0.00536,-0.00822,-0.00937,-0.00309,-0.00785,-0.00742,-0.05166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
,state,0.0,20.0,0.12937,-0.00366,0.04784,0.05089,0.03978,0.05671,-0.00686,-0.00929,-0.00522,4.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
,state,0.0,21.0,-0.33629,-0.00433,-0.00164,-0.00882,-0.00748,-0.00231,-0.00976,-0.00171,-0.00311,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,state,0.0,41.0,-0.00779,-0.00445,-0.00144,-0.00238,-0.08426,-0.00765,-0.00728,-0.00664,-0.08511,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
,state,1.0,0.0,0.10283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
,state,1.0,4.0,-0.00709,-0.00852,-0.00387,-0.0032,0.04095,-0.00772,0.03665,-0.00632,-0.00849,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
,state,2.0,4.0,-0.00147,0.06534,-0.00163,-0.00222,-0.00951,-0.00897,-0.00338,-0.00247,-0.00205,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
