2019-04-26_16-52-19,episodes,50,avg_step,63.00,avg_reward,3.90,Epsilon,0.32,Explored %,0.000%
,ScanSlice,12,StateSlice,3,LaunchNums,3,ALPHA,0.42,GAMMA,0.58,SLEEP_TIME,0.05,ActionNums,9
,angularSpeed,1.28,linearSpeed,0.32,,OLD_DATA,Err
,Crush thre,0.26,Sensing thre,0.72,1.2

,,State_om,State_dist,Action 0,Action 1,Action 2,Action 3,Action 4,Action 5,Action 6,Action 7,Action 8,Action Taken 0,A T 1,A T 2,A T 3,A T 4,A T 5,A T 6,A T 7,A T 8
,state,1.0,41.0,-0.25033,-0.23219,-0.21533,-0.23117,-0.20655,-0.23394,-0.24068,-0.24356,-0.25259,3.0,5.0,3.0,3.0,2.0,3.0,4.0,3.0,4.0
,state,2.0,0.0,0.22379,0.20519,0.23218,0.21956,0.1888,0.15914,0.21244,0.13191,0.14118,108.0,39.0,115.0,125.0,65.0,84.0,76.0,78.0,47.0
,state,2.0,1.0,-0.18627,0.07579,0.00202,0.20745,0.17793,-0.24471,0.09185,-0.26772,-0.26548,22.0,17.0,17.0,19.0,6.0,17.0,5.0,17.0,14.0
,state,2.0,2.0,-0.1756,-0.44726,-0.45222,-0.40773,-0.49275,-0.23523,-0.30906,-0.1732,-0.22041,6.0,3.0,3.0,3.0,2.0,4.0,11.0,2.0,6.0
,state,2.0,4.0,0.05657,0.21427,0.35264,0.21652,0.14226,0.51999,0.34499,0.42688,-0.00132,1.0,21.0,2.0,8.0,1.0,20.0,2.0,4.0,0.0
,state,2.0,8.0,-0.00206,-0.00454,-0.00176,-0.00594,-0.37235,-0.0044,-0.00632,-0.00516,-0.00628,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
,state,2.0,18.0,-0.10602,-0.0054,-0.08495,-0.0032,-0.0048,-0.00386,-0.00834,-0.00899,-0.00922,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
,state,2.0,20.0,0.16101,0.2724,0.35665,0.30314,0.3233,0.28388,0.33862,0.35768,0.59741,56.0,4.0,48.0,36.0,10.0,4.0,12.0,16.0,59.0
,state,2.0,21.0,0.09785,-0.00995,0.07397,-0.00629,0.09697,0.15633,0.09469,-0.24948,-0.00324,1.0,0.0,1.0,0.0,1.0,2.0,1.0,10.0,0.0
,state,2.0,22.0,-0.16936,-0.1736,-0.13504,-0.0892,0.01312,-0.08691,-0.18241,-0.08962,-0.08849,1.0,1.0,2.0,1.0,4.0,1.0,2.0,1.0,1.0
,state,2.0,24.0,0.08722,-0.01749,-0.00513,-0.00643,0.22509,-0.00438,-0.00514,-0.12563,-0.00212,4.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0
,state,2.0,36.0,-0.26859,-0.08692,-0.00389,-0.00892,-0.003,-0.17018,-0.00843,-0.08915,-0.00759,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
,state,2.0,38.0,-0.0008,-0.00149,-0.42119,-0.00877,-0.42188,-0.00742,-0.42027,-0.05622,-0.00482,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
,state,2.0,40.0,-0.33168,-0.08919,-0.33181,-0.07649,-0.03594,0.39157,-0.0888,-0.08328,-0.08841,2.0,1.0,2.0,2.0,2.0,6.0,1.0,4.0,1.0
,state,2.0,41.0,-0.27303,-0.26554,-0.29368,-0.2535,-0.26087,-0.26516,-0.23548,-0.23679,-0.26027,5.0,5.0,6.0,4.0,4.0,4.0,4.0,4.0,4.0
