2017-08-23_17-24-36,episodes,1140,avg_step,147.82,avg_reward,-543.86,Epsilon,0.01,Explored State,170
,ScanSlice,12,StateSlice,3,LaunchNums,3,ALPHA,0.1,GAMMA,0.2,sleep_time,0.12,ActionNums,5
,angularSpeed,0.7,linearSpeed,0.3,,,,,OLD_DATA,"[1000, 134.77, -545.5, 1000]","[12, 3, 3, 0.1, 0.2, 0.12, 5]","[0.7, 0.3]","[0.36, 0.8, 1.45]"
,Crush thre,0.36,Sensing thre,0.8,1.45

,,State_om,State_dist,Action 0,Action 1,Action 2,Action 3,Action 4,Action Taken 0,A T 1,A T 2,A T 3,A T 4
,state,1.0,24.0,-2,-267,-267,-260,-207,69,22,53,2,14
,state,1.0,25.0,-394,-277,-268,-302,-157,38,17,11,8,36
,state,1.0,26.0,-320,-438,-611,-618,-482,142,34,67,52,155
,state,1.0,27.0,-385,-381,-227,-366,-382,12,6,51,16,6
,state,1.0,28.0,-380,-379,-364,-365,-265,8,6,6,8,25
,state,1.0,29.0,-9,-39,-255,-258,-10,0,1,7,2,0
,state,1.0,30.0,-270,-326,-259,-303,-322,11,8,2,13,11
,state,1.0,31.0,-9,-8,-2,-8,-10,0,0,0,0,0
,state,1.0,32.0,0,-95,-166,-76,-95,2050,672,562,110,79
,state,1.0,33.0,0,-95,-255,-95,-12,343,934,56,55,42
,state,1.0,36.0,-295,0,-41,-136,-22,176,2271,103,57,23
,state,1.0,37.0,-507,-520,-238,-2,-377,86,143,77,83,33
,state,1.0,38.0,-8,-126,-7,-10,-9,0,4,0,0,0
,state,1.0,40.0,-514,-14,-281,-286,-298,47,243,65,24,39
,state,1.0,41.0,-88,-365,-334,-382,-328,308,172,36,26,31
,state,1.0,42.0,-940,-831,-900,-937,-902,23,12,10,12,16
,state,1.0,43.0,-5,-4,-8,-6,-6,0,0,0,0,0
,state,1.0,44.0,-256,-273,-258,-334,-252,4,72,2,10,4
,state,1.0,45.0,-3,-8,-95,-9,-8,0,0,7,0,0
,state,1.0,46.0,-8,-5,-8,-4,-1,0,0,0,0,0
,state,1.0,47.0,-3,-4,-9,-3,-7,0,0,0,0,0
,state,1.0,48.0,0,-95,-257,-41,-258,262,312,2,5,38
,state,1.0,49.0,-26,-10,-85,0,-96,10,21,130,81,22
,state,1.0,52.0,0,-22,-10,-255,-6,81,125,53,13,20
,state,1.0,53.0,0,-27,-7,-10,-17,49,36,0,0,2
,state,1.0,56.0,-72,-178,-255,-255,-255,50,22,5,6,9
,state,1.0,57.0,-479,-150,-380,-366,-380,53,85,6,6,6
,state,1.0,58.0,-259,-8,-256,-256,-3,2,0,2,2,0
,state,1.0,59.0,-2,-10,-4,-8,-10,0,0,0,0,0
,state,1.0,60.0,-3,-3,-7,-3,-5,0,0,0,0,0
,state,1.0,61.0,-157,-256,-7,-6,-8,1,2,0,0,0
,state,1.0,62.0,-3,-4,-5,-9,-1,0,0,0,0,0
,state,1.0,63.0,-4,-4,-6,-255,-8,0,0,0,2,0
,state,2.0,0.0,-5,-27,0,-2,-5,1311,681,4952,1415,312
,state,2.0,1.0,0,-3,-4,-1,-4,1380,2430,929,1764,147
,state,2.0,2.0,-61,-144,-61,-76,0,89,88,1698,157,1399
,state,2.0,3.0,-95,-12,-95,-95,-181,68,56,262,389,36
,state,2.0,4.0,-13,-21,0,-16,-9,82,89,1780,589,162
,state,2.0,5.0,-6,-74,0,-7,-8,169,48,1897,452,417
,state,2.0,6.0,-76,-61,-83,0,-10,40,44,307,1751,1513
,state,2.0,7.0,-37,-95,-95,-95,0,4,19,34,236,56
,state,2.0,8.0,-174,-214,-276,-294,0,125,283,340,327,1175
,state,2.0,9.0,-257,-255,-59,-256,-12,15,3,15,12,40
,state,2.0,10.0,-109,-110,-206,-115,0,25,9,31,16,397
,state,2.0,11.0,-101,-110,-255,0,-255,4,13,15,104,17
,state,2.0,12.0,-362,-339,-404,-382,-265,39,43,15,4,27
